,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2
332,5.38,7.30,1.92,7.30,4.52,6.19,1.67,0.13,5.16,9.38,5.00,422.43,4.39,6.57
333,5.48,6.45,0.97,6.45,4.63,5.57,0.94,0.00,6.66,11.17,5.50,450.50,4.74,6.12
334,5.22,6.32,1.10,6.32,4.31,5.42,1.11,0.00,5.23,10.20,5.75,496.71,4.29,5.72
335,6.76,5.37,1.39,6.76,5.81,4.39,1.42,0.02,6.30,11.31,5.96,501.16,6.12,4.51
336,5.54,4.88,0.66,5.54,4.69,4.12,0.57,0.00,7.72,14.02,7.45,629.51,4.80,4.13
337,5.17,5.11,0.06,5.17,4.42,4.26,0.16,0.00,6.19,12.05,6.79,585.96,4.67,4.48
338,5.10,5.27,0.16,5.27,4.37,4.34,0.03,0.00,7.88,14.39,7.70,651.80,4.31,4.28
339,5.31,5.92,0.60,5.92,4.40,5.02,0.62,0.00,7.53,13.40,7.00,586.68,4.54,5.22
340,5.65,5.24,0.41,5.65,4.61,4.33,0.28,0.00,6.82,12.88,7.08,605.23,4.88,4.42
341,6.99,5.15,1.84,6.99,5.90,4.35,1.55,0.11,9.55,13.90,5.78,435.19,6.33,4.45
342,6.82,4.94,1.88,6.82,5.82,3.86,1.96,0.00,8.90,14.07,6.50,516.69,6.08,4.12
343,6.46,5.19,1.27,6.46,5.42,4.38,1.04,0.00,6.73,11.64,5.91,490.16,5.89,4.49
344,6.70,6.67,0.03,6.70,5.58,5.65,0.07,0.00,6.21,9.85,4.57,363.58,5.93,5.97
345,5.32,7.21,1.89,7.21,4.49,6.15,1.66,0.02,6.36,10.93,5.53,457.69,4.27,6.62
346,5.09,5.68,0.59,5.68,4.37,4.62,0.25,0.00,7.56,13.43,7.01,587.26,4.39,4.64
347,5.45,5.17,0.28,5.45,4.60,4.11,0.50,0.00,6.16,12.16,6.93,600.64,4.64,4.06
348,7.02,5.37,1.65,7.02,6.02,4.36,1.66,0.02,8.45,12.97,5.79,452.14,6.29,4.47
349,6.83,5.40,1.44,6.83,5.88,4.48,1.40,0.01,8.07,12.99,6.13,492.36,6.54,4.54
350,5.49,5.19,0.30,5.49,4.48,4.31,0.17,0.00,5.88,12.03,7.03,614.88,4.57,4.68
351,5.88,5.35,0.53,5.88,4.75,4.40,0.35,0.01,8.32,14.07,7.00,575.33,4.90,4.68
352,6.21,5.43,0.79,6.21,5.01,4.63,0.39,0.00,8.86,13.81,6.28,495.29,5.11,4.66
353,4.79,5.14,0.35,5.14,3.99,4.39,0.41,0.00,7.24,13.42,7.27,617.97,4.05,4.44
354,5.46,5.26,0.19,5.46,4.57,4.46,0.11,0.00,7.19,13.58,7.47,638.88,4.37,4.48
355,6.05,7.04,0.98,7.04,5.17,6.03,0.85,0.07,7.00,10.78,4.83,378.47,5.28,6.19
356,6.94,5.32,1.62,6.94,5.92,4.41,1.51,0.08,7.69,12.17,5.63,448.08,6.18,4.47
357,5.69,4.79,0.90,5.69,4.62,3.97,0.65,0.00,6.01,12.26,7.15,624.66,4.68,4.04
358,6.67,5.93,0.73,6.67,5.41,5.16,0.25,0.05,6.37,10.38,4.96,400.87,6.09,5.39
359,6.64,6.81,0.17,6.81,5.59,6.07,0.48,0.02,8.41,12.47,5.32,405.35,5.75,6.20
360,5.24,6.67,1.43,6.67,4.47,5.71,1.24,0.04,6.49,10.61,5.10,412.30,4.64,6.25
361,5.97,5.53,0.43,5.97,5.09,4.86,0.23,0.00,6.35,11.77,6.37,541.93,5.00,4.65
362,5.82,6.84,1.02,6.84,4.95,5.76,0.81,0.02,7.18,11.33,5.22,414.10,5.27,6.18
363,5.30,6.66,1.36,6.66,4.41,5.79,1.37,0.04,6.90,11.97,6.10,506.86,4.44,5.78
364,4.89,5.69,0.79,5.69,4.16,4.90,0.74,0.00,6.81,12.28,6.49,547.02,4.31,4.97
365,6.37,5.96,0.40,6.37,5.62,4.82,0.80,0.01,8.69,12.98,5.59,428.93,5.88,5.01
366,5.20,5.00,0.21,5.20,4.10,4.36,0.26,0.00,6.86,12.94,7.11,608.18,4.18,4.50
367,7.43,5.06,2.36,7.43,6.10,4.18,1.93,0.03,6.69,11.38,5.69,468.61,6.69,4.34
368,7.01,6.25,0.76,7.01,5.82,5.39,0.43,0.04,7.85,11.05,4.37,319.62,6.21,5.61
369,6.78,6.91,0.13,6.91,5.81,5.87,0.06,0.00,7.25,10.70,4.54,345.30,5.80,6.30
370,5.25,6.40,1.15,6.40,4.45,5.28,0.83,0.00,6.51,11.43,5.90,492.57,4.53,5.46
371,5.64,5.19,0.45,5.64,4.87,4.31,0.56,0.00,7.30,13.22,7.01,591.99,4.70,4.59
372,6.69,6.66,0.03,6.69,5.73,5.70,0.03,0.02,4.83,8.14,4.04,331.09,6.13,6.27
373,5.61,6.78,1.17,6.78,4.84,5.75,0.91,0.02,4.55,8.61,4.74,406.15,5.01,6.20
374,5.67,6.68,1.01,6.68,4.57,5.65,1.08,0.00,8.63,13.33,5.99,469.95,4.65,5.97
375,5.47,5.62,0.15,5.62,4.51,4.55,0.05,0.00,7.15,13.37,7.30,622.30,4.53,4.58
376,6.97,6.60,0.38,6.97,5.90,5.72,0.18,0.01,8.63,12.07,4.74,344.03,6.06,6.12
377,7.17,5.62,1.55,7.17,6.04,4.76,1.28,0.04,5.55,10.14,5.42,458.70,6.53,4.83
378,5.47,7.06,1.60,7.06,4.49,5.96,1.47,0.01,8.86,13.32,5.79,446.01,4.68,6.27
379,5.24,6.46,1.22,6.46,4.47,5.54,1.07,0.00,6.14,10.86,5.64,472.34,4.49,5.81
380,7.17,5.32,1.85,7.17,6.09,4.50,1.59,0.01,6.57,10.69,5.10,411.78,6.40,4.67
381,5.21,5.44,0.23,5.44,4.36,4.73,0.37,0.00,5.68,11.84,7.02,616.95,4.27,4.80
382,4.98,6.77,1.79,6.77,4.19,5.83,1.64,0.02,7.42,12.13,5.83,471.45,4.35,6.23
383,6.30,7.07,0.77,7.07,5.42,5.82,0.40,0.02,8.23,11.99,5.00,376.69,5.45,6.29
384,5.29,5.28,0.02,5.29,4.30,4.51,0.20,0.00,6.80,13.21,7.44,641.62,4.46,4.67
385,6.83,5.06,1.77,6.83,5.92,4.21,1.71,0.03,8.04,12.66,5.83,462.74,6.56,4.69
386,7.07,5.79,1.28,7.07,5.86,4.77,1.09,0.05,6.30,9.98,4.62,367.91,6.18,5.09
387,6.97,7.00,0.03,7.00,5.98,6.05,0.07,0.09,6.36,9.13,3.73,277.77,6.52,6.23
388,6.64,6.43,0.21,6.64,5.75,5.36,0.39,0.11,9.01,12.61,4.95,360.15,6.39,5.77
389,5.63,6.80,1.17,6.80,4.91,5.87,0.96,0.02,6.78,10.83,5.07,404.96,4.99,6.44
390,5.82,6.60,0.78,6.60,4.95,5.61,0.66,0.01,8.48,13.19,5.98,471.36,4.94,5.81
391,4.91,6.65,1.74,6.65,4.20,5.76,1.56,0.04,6.52,11.42,5.88,490.22,4.16,6.23
392,7.29,6.31,0.99,7.29,6.13,5.40,0.74,0.04,6.68,10.43,4.75,374.75,6.53,5.54
393,5.40,6.89,1.49,6.89,4.58,5.90,1.32,0.02,7.61,11.97,5.51,436.37,4.43,6.18
394,6.55,7.08,0.53,7.08,5.65,5.98,0.33,0.02,6.89,10.12,4.26,322.63,6.06,6.31
395,5.10,6.39,1.30,6.39,4.23,5.37,1.14,0.00,6.88,12.38,6.53,549.39,4.07,5.73
396,5.03,4.86,0.16,5.03,4.26,3.96,0.30,0.00,7.75,14.62,8.03,686.26,4.35,4.00
397,5.27,5.60,0.33,5.60,4.43,4.51,0.08,0.00,6.32,12.47,7.10,615.52,4.33,4.84
398,4.84,5.25,0.41,5.25,3.98,4.45,0.46,0.00,7.04,13.39,7.40,634.76,4.07,4.36
399,5.67,6.68,1.01,6.68,4.48,5.85,1.37,0.07,7.12,11.27,5.22,415.66,4.69,6.12
400,6.45,4.98,1.47,6.45,5.43,4.14,1.28,0.02,7.93,13.15,6.41,521.95,5.77,4.29
401,5.36,5.17,0.19,5.36,4.48,4.21,0.26,0.00,6.36,12.62,7.22,626.30,4.53,4.38
402,5.15,5.01,0.14,5.15,4.25,4.20,0.05,0.00,6.36,12.68,7.27,632.02,4.41,4.28
403,6.81,5.25,1.56,6.81,5.74,4.27,1.47,0.04,6.98,11.64,5.71,466.28,6.26,4.45
404,6.81,5.14,1.67,6.81,5.80,4.40,1.40,0.00,8.64,13.31,5.97,467.11,5.96,4.47
405,5.52,6.95,1.44,6.95,4.69,5.88,1.19,0.05,6.64,11.10,5.46,446.67,4.67,6.23
406,5.85,5.63,0.23,5.85,4.88,4.57,0.30,0.00,6.86,12.10,6.27,524.48,5.08,4.86
407,6.73,6.93,0.21,6.93,5.70,5.76,0.06,0.07,7.61,10.98,4.52,337.44,6.14,5.84
408,5.41,5.40,0.02,5.41,4.43,4.57,0.14,0.02,9.84,15.65,7.29,581.27,4.43,4.50
409,5.96,6.10,0.13,6.10,4.89,5.10,0.21,0.01,6.86,11.80,5.96,493.48,5.19,5.21
410,5.28,6.68,1.41,6.68,4.48,5.77,1.29,0.01,7.44,12.25,5.93,481.33,4.50,6.11
411,4.92,5.74,0.81,5.74,3.96,4.76,0.80,0.00,7.90,14.16,7.45,626.27,4.26,4.85
412,6.67,5.30,1.37,6.67,5.71,4.43,1.28,0.03,5.64,10.40,5.60,475.18,6.06,4.42
413,4.82,5.50,0.67,5.50,3.97,4.44,0.47,0.00,8.95,14.95,7.34,599.92,4.14,4.45
414,5.18,5.51,0.34,5.51,4.49,4.67,0.18,0.00,6.43,12.44,6.97,600.96,4.45,4.78
415,5.83,6.53,0.70,6.53,4.95,5.76,0.81,0.00,6.63,11.42,5.78,478.51,4.92,5.96
416,5.10,5.60,0.50,5.60,4.18,4.64,0.45,0.00,6.73,12.73,7.01,600.02,4.31,4.64
417,5.81,7.37,1.56,7.37,4.87,6.25,1.38,0.06,7.05,11.05,5.05,399.14,5.27,6.49
418,7.10,6.91,0.19,7.10,6.08,6.03,0.05,0.06,7.29,10.89,4.69,359.58,6.15,6.14
419,6.86,6.56,0.31,6.86,6.07,5.46,0.61,0.01,8.91,12.60,5.03,369.83,6.12,5.82
420,5.45,6.28,0.83,6.28,4.63,5.36,0.73,0.06,8.33,13.17,6.09,484.32,4.68,5.68
421,5.22,6.38,1.16,6.38,4.27,5.50,1.23,0.00,7.44,12.83,6.50,538.34,4.19,5.52
422,5.48,5.30,0.18,5.48,4.53,4.48,0.06,0.00,7.58,13.51,7.07,592.93,4.41,4.46
423,5.37,5.47,0.10,5.47,4.43,4.67,0.24,0.00,7.86,13.41,6.73,555.01,4.55,4.98
424,5.51,5.45,0.06,5.51,4.49,4.51,0.01,0.00,9.51,15.88,7.80,637.25,4.57,4.69
425,5.58,5.11,0.47,5.58,4.69,4.32,0.37,0.00,7.89,13.81,7.10,591.88,4.78,4.54
426,5.44,5.24,0.20,5.44,4.50,4.44,0.06,0.00,5.47,12.13,7.48,666.34,4.32,4.53
427,6.87,6.91,0.04,6.91,5.79,5.91,0.12,0.03,6.30,10.16,4.80,385.55,5.87,6.42
428,5.25,7.00,1.76,7.00,4.47,6.07,1.59,0.08,8.37,12.63,5.52,426.57,4.67,6.48
429,5.96,6.30,0.34,6.30,4.95,5.30,0.35,0.00,6.41,11.50,6.06,509.45,5.04,5.83
430,7.05,5.33,1.73,7.05,6.12,4.44,1.68,0.01,6.16,10.95,5.71,478.94,6.38,4.51
431,5.50,5.49,0.01,5.50,4.70,4.71,0.01,0.00,6.14,12.12,6.90,598.20,4.72,4.51
432,5.40,6.47,1.08,6.47,4.55,5.61,1.06,0.01,6.29,11.56,6.22,527.74,4.49,5.89
433,5.46,5.30,0.16,5.46,4.65,4.52,0.14,0.00,6.95,13.04,7.13,608.92,4.59,4.50
434,5.10,5.41,0.31,5.41,4.16,4.56,0.40,0.00,8.74,14.75,7.32,601.39,4.28,4.53
435,6.22,5.16,1.06,6.22,5.46,4.34,1.12,0.00,6.57,11.93,6.34,535.92,5.50,4.60
436,7.02,4.97,2.06,7.02,6.00,4.09,1.91,0.03,7.94,12.80,6.05,485.44,6.25,4.18
437,5.42,5.46,0.03,5.46,4.65,4.64,0.01,0.00,6.70,12.64,6.94,593.62,4.70,4.82
438,7.11,6.83,0.28,7.11,5.87,5.90,0.03,0.08,6.36,9.15,3.75,279.41,6.31,6.35
439,7.00,5.15,1.85,7.00,6.10,4.26,1.84,0.07,6.27,10.80,5.48,453.68,6.65,4.46
440,5.33,4.92,0.41,5.33,4.42,4.14,0.28,0.00,7.33,13.61,7.38,628.15,4.55,4.08
441,7.02,5.03,1.99,7.02,5.87,4.08,1.79,0.03,7.89,12.36,5.65,447.02,6.30,4.36
442,7.09,5.42,1.67,7.09,6.11,4.60,1.51,0.02,4.89,9.36,5.20,446.89,6.43,4.64
443,5.29,5.19,0.10,5.29,4.61,4.47,0.14,0.01,7.04,13.01,7.03,597.16,4.64,4.55
444,5.96,6.01,0.05,6.01,4.99,5.26,0.27,0.00,7.95,12.86,6.10,491.02,5.10,5.26
445,5.68,6.88,1.20,6.88,4.76,5.70,0.94,0.06,6.16,10.26,5.03,410.21,4.88,6.33
446,5.46,6.72,1.27,6.72,4.62,5.94,1.32,0.00,7.48,12.18,5.83,470.44,4.37,6.39
447,5.54,4.71,0.83,5.54,4.58,3.91,0.67,0.00,4.84,11.26,7.15,642.64,4.61,4.04
448,5.59,5.17,0.42,5.59,4.47,4.39,0.09,0.00,6.53,12.59,7.04,606.53,4.66,4.45
449,5.70,5.06,0.64,5.70,4.86,4.18,0.68,0.00,7.86,13.73,7.04,586.54,5.13,4.08
450,5.23,6.52,1.29,6.52,4.44,5.52,1.08,0.00,6.20,11.06,5.80,486.89,4.46,5.91
451,4.99,6.74,1.75,6.74,4.10,5.68,1.58,0.05,9.17,13.80,6.00,462.37,4.28,6.15
452,6.21,5.68,0.53,6.21,5.31,4.83,0.48,0.00,7.47,12.46,6.11,498.95,5.28,5.07
453,5.35,5.27,0.08,5.35,4.38,4.43,0.05,0.00,8.27,14.74,7.71,646.53,4.21,4.30
454,5.15,5.73,0.58,5.73,4.41,4.89,0.48,0.00,7.27,13.21,7.03,593.68,4.40,4.79
455,6.88,5.35,1.53,6.88,5.89,4.49,1.40,0.01,5.21,10.55,6.12,534.34,6.32,4.28
456,5.18,5.24,0.06,5.24,4.28,4.44,0.16,0.00,7.09,13.41,7.39,632.35,4.45,4.71
457,5.38,6.52,1.14,6.52,4.42,5.47,1.05,0.00,6.96,12.30,6.38,533.23,4.50,5.37
458,5.31,4.98,0.34,5.31,4.59,4.17,0.42,0.00,6.82,13.16,7.36,633.76,4.65,4.11
459,5.25,5.49,0.24,5.49,4.54,4.62,0.09,0.00,8.56,14.73,7.46,617.51,4.60,4.57
460,7.01,5.47,1.54,7.01,5.98,4.73,1.25,0.04,6.57,11.29,5.70,471.96,6.14,4.57
461,5.98,5.66,0.32,5.98,4.95,4.83,0.12,0.00,6.02,11.34,6.23,532.80,5.02,4.94
462,5.65,6.60,0.95,6.60,4.68,5.50,0.83,0.00,6.41,11.25,5.80,483.83,5.00,5.77
463,5.57,6.92,1.35,6.92,4.77,5.83,1.06,0.03,8.86,13.24,5.70,437.42,4.80,6.21
464,6.86,7.61,0.75,7.61,5.89,6.27,0.38,0.10,5.76,8.69,3.79,292.71,6.28,6.43
465,5.31,5.45,0.14,5.45,4.28,4.57,0.29,0.00,6.86,13.26,7.43,640.29,4.31,4.52
466,5.57,6.29,0.72,6.29,4.69,5.28,0.59,0.01,6.87,12.15,6.32,528.59,4.65,5.56
467,5.59,4.81,0.78,5.59,4.82,3.88,0.93,0.00,4.64,11.10,7.15,645.89,5.01,4.11
468,5.68,7.05,1.37,7.05,4.67,6.14,1.48,0.00,8.59,13.21,5.91,462.32,4.76,6.51
469,6.64,5.01,1.63,6.64,5.66,4.04,1.62,0.01,6.59,12.01,6.41,542.06,5.81,4.20
470,4.76,5.56,0.80,5.56,4.06,4.69,0.63,0.00,7.30,13.33,7.13,603.27,4.14,4.92
471,6.00,5.11,0.90,6.00,4.77,4.36,0.41,0.00,7.74,13.57,6.99,582.59,5.03,4.47
472,6.77,7.17,0.40,7.17,5.75,6.10,0.36,0.06,6.36,9.13,3.72,276.72,6.50,6.57
473,5.38,5.17,0.21,5.38,4.44,4.49,0.05,0.00,7.36,13.41,7.16,605.33,4.36,4.87
474,5.39,5.25,0.14,5.39,4.59,4.33,0.26,0.00,7.44,13.07,6.75,563.35,4.78,4.43
475,5.24,6.77,1.53,6.77,4.46,5.87,1.41,0.06,7.35,11.77,5.52,442.02,4.49,6.07
476,5.83,5.83,0.00,5.83,4.96,4.83,0.13,0.00,6.73,11.66,5.94,493.08,4.97,4.74
477,5.23,7.16,1.93,7.16,4.36,6.09,1.74,0.03,7.80,12.25,5.62,444.82,4.35,6.72
478,6.90,6.73,0.17,6.90,5.85,6.00,0.15,0.03,5.44,8.88,4.26,343.91,6.20,6.11
479,5.60,5.52,0.08,5.60,4.84,4.66,0.18,0.00,6.58,12.13,6.54,555.14,4.52,4.80
480,7.01,5.39,1.61,7.01,5.82,4.52,1.30,0.01,8.10,12.64,5.75,453.86,6.16,4.84
481,6.17,5.37,0.80,6.17,5.34,4.57,0.77,0.02,9.04,14.08,6.40,504.51,5.70,4.63
482,6.59,6.75,0.17,6.75,5.77,5.79,0.02,0.01,5.88,9.35,4.35,347.18,6.25,6.23
483,6.20,6.84,0.64,6.84,5.34,5.70,0.36,0.05,5.98,9.62,4.53,363.54,5.58,6.06
484,5.52,6.95,1.43,6.95,4.63,5.92,1.29,0.01,4.89,9.63,5.47,474.04,4.87,6.24
485,7.14,6.87,0.27,7.14,5.92,5.88,0.05,0.05,8.47,11.90,4.71,343.49,6.26,6.26
486,5.31,4.88,0.43,5.31,4.39,4.27,0.11,0.00,6.33,12.41,7.03,608.19,4.61,4.14
487,6.99,6.94,0.05,6.99,5.93,5.86,0.07,0.04,7.25,10.34,4.18,309.43,6.26,6.39
488,6.38,5.29,1.09,6.38,5.39,4.46,0.93,0.00,6.29,11.64,6.29,534.42,5.41,4.52
489,5.22,5.07,0.15,5.22,4.54,4.24,0.30,0.00,8.21,14.40,7.42,619.33,4.51,4.24
490,6.58,5.25,1.33,6.58,5.59,4.38,1.21,0.01,7.76,12.83,6.23,506.49,5.74,4.56
491,6.78,5.20,1.59,6.78,5.90,4.50,1.40,0.01,7.33,12.33,6.10,499.73,6.04,4.66
492,5.60,5.73,0.13,5.73,4.57,4.81,0.23,0.01,7.49,13.13,6.76,564.00,4.63,4.82
493,6.82,6.33,0.48,6.82,5.91,5.12,0.79,0.01,6.02,9.55,4.43,352.45,6.27,5.45
494,5.24,6.06,0.82,6.06,4.31,4.98,0.67,0.01,7.63,13.16,6.68,553.66,4.34,5.34
495,5.58,7.02,1.44,7.02,4.83,5.95,1.12,0.03,7.51,11.76,5.37,424.56,4.90,6.20
496,5.08,5.03,0.04,5.08,4.33,4.33,0.01,0.01,5.92,12.15,7.12,622.89,4.26,4.46
497,6.96,5.57,1.39,6.96,5.76,4.74,1.02,0.06,5.79,9.76,4.84,396.77,6.23,4.73
498,6.81,5.86,0.96,6.81,5.71,4.80,0.91,0.01,7.92,12.67,5.94,475.10,6.24,4.69
499,5.84,7.10,1.26,7.10,5.15,5.82,0.67,0.09,5.72,9.38,4.52,365.88,5.39,6.19
500,5.37,5.14,0.22,5.37,4.46,4.34,0.12,0.00,6.65,13.41,7.75,675.69,4.48,4.46
501,7.13,4.60,2.53,7.13,5.90,3.80,2.11,0.16,7.96,12.62,5.85,465.73,6.51,3.94
502,7.07,6.93,0.14,7.07,6.21,6.04,0.17,0.13,7.68,10.99,4.46,330.65,6.51,6.23
503,7.01,6.74,0.27,7.01,5.86,5.83,0.03,0.09,5.18,8.08,3.67,289.34,6.51,6.11
504,6.81,6.17,0.64,6.81,5.70,5.44,0.26,0.01,6.35,10.23,4.83,387.24,6.13,5.65
505,4.88,7.03,2.15,7.03,4.06,6.03,1.97,0.07,8.32,13.53,6.46,521.60,4.20,6.29
506,5.33,5.87,0.54,5.87,4.43,4.93,0.49,0.00,7.03,12.83,6.86,580.44,4.43,4.87
507,5.97,5.63,0.33,5.97,4.95,4.69,0.26,0.01,6.76,11.85,6.10,508.75,5.25,4.70
508,4.93,6.56,1.63,6.56,4.13,5.52,1.40,0.05,6.17,10.86,5.62,469.28,4.42,6.07
509,5.36,5.61,0.25,5.61,4.50,4.80,0.30,0.01,6.22,11.72,6.43,550.06,4.64,4.85
510,6.59,5.47,1.12,6.59,5.36,4.63,0.73,0.00,7.11,12.53,6.49,542.47,5.21,4.85
511,5.24,5.57,0.32,5.57,4.46,4.77,0.31,0.00,6.67,12.39,6.72,572.31,4.56,4.83
512,6.95,6.12,0.83,6.95,5.95,5.38,0.56,0.10,9.42,13.06,5.05,364.07,6.16,5.39
513,4.96,6.92,1.96,6.92,4.32,5.91,1.59,0.05,8.78,13.50,6.03,471.58,4.50,6.36
514,5.51,7.07,1.56,7.07,4.37,5.80,1.43,0.02,6.56,11.17,5.60,461.18,4.39,6.22
515,6.17,5.22,0.95,6.17,5.23,4.57,0.66,0.00,6.47,11.90,6.41,543.49,5.58,4.65
516,6.92,5.02,1.90,6.92,5.93,4.30,1.62,0.04,5.57,9.95,5.22,438.19,6.40,4.41
517,6.89,6.44,0.44,6.89,5.78,5.53,0.25,0.08,7.75,11.14,4.56,339.38,6.25,5.59
518,5.27,5.43,0.16,5.43,4.44,4.43,0.01,0.00,7.06,13.10,7.10,603.69,4.55,4.39
519,5.57,6.92,1.36,6.92,4.64,6.04,1.40,0.07,6.46,10.67,5.18,421.27,4.67,6.32
520,5.38,4.93,0.44,5.38,4.40,4.21,0.19,0.00,6.69,12.87,7.18,618.13,4.45,4.37
521,5.20,6.85,1.65,6.85,4.31,5.80,1.48,0.01,7.09,11.40,5.38,431.66,4.51,6.36
522,6.14,5.09,1.04,6.14,5.26,4.19,1.07,0.00,6.60,12.48,6.88,588.56,5.15,4.19
523,5.76,5.55,0.21,5.76,4.90,4.52,0.38,0.00,7.10,12.26,6.22,515.96,4.97,4.78
524,6.92,6.73,0.19,6.92,5.76,5.93,0.17,0.09,8.35,12.03,4.93,367.94,6.11,6.15
525,6.27,5.52,0.75,6.27,5.28,4.56,0.72,0.00,6.39,11.79,6.35,539.63,5.53,4.59
526,7.03,5.46,1.57,7.03,6.07,4.69,1.38,0.04,6.43,10.66,5.20,423.32,6.55,4.85
527,4.91,6.78,1.87,6.78,4.17,5.85,1.68,0.01,6.17,10.71,5.46,453.75,4.42,6.17
528,6.91,5.10,1.81,6.91,5.89,4.13,1.76,0.01,7.65,11.88,5.38,423.15,6.61,4.52
529,6.84,5.67,1.17,6.84,5.88,4.78,1.10,0.01,7.18,12.27,6.17,509.79,6.09,4.79
530,7.28,5.00,2.28,7.28,6.15,4.23,1.92,0.02,6.46,11.57,6.08,510.91,6.31,4.24
531,5.80,5.50,0.30,5.80,4.88,4.53,0.35,0.00,6.63,12.12,6.48,548.22,4.87,4.62
532,6.94,5.40,1.54,6.94,5.82,4.34,1.48,0.05,5.79,10.14,5.22,434.80,6.50,4.56
533,5.46,6.28,0.82,6.28,4.45,5.28,0.83,0.00,6.55,11.74,6.18,519.26,4.41,5.42
534,6.84,5.87,0.97,6.84,5.81,5.01,0.80,0.02,7.41,11.69,5.39,427.77,6.14,5.18
535,4.76,6.65,1.88,6.65,4.10,5.72,1.62,0.04,7.44,12.39,6.07,495.06,4.21,6.04
536,6.77,6.84,0.07,6.84,5.75,5.89,0.15,0.05,8.54,12.20,4.94,365.90,5.97,6.05
537,5.31,5.47,0.16,5.47,4.44,4.62,0.18,0.00,6.50,12.43,6.90,592.37,4.61,4.46
538,7.22,5.50,1.73,7.22,6.09,4.53,1.56,0.02,6.78,11.12,5.36,434.24,6.46,4.61
539,5.21,5.71,0.49,5.71,4.39,4.68,0.29,0.00,9.37,15.27,7.30,589.73,4.72,4.66
540,5.27,7.07,1.80,7.07,4.35,6.01,1.66,0.02,6.37,11.17,5.76,480.57,4.40,6.46
541,5.06,6.80,1.73,6.80,4.23,5.81,1.58,0.08,6.45,11.04,5.56,459.56,4.38,6.47
542,6.86,5.63,1.23,6.86,5.62,4.66,0.95,0.06,7.10,11.33,5.30,423.03,6.05,4.81
543,5.43,4.85,0.59,5.43,4.61,4.13,0.48,0.00,8.31,14.47,7.41,616.30,4.79,4.43
544,5.89,6.81,0.92,6.81,4.93,5.77,0.84,0.05,6.40,10.55,5.12,415.56,5.01,6.11
545,5.88,5.25,0.63,5.88,5.11,4.46,0.65,0.00,5.96,11.48,6.42,552.26,5.17,4.90
546,6.73,5.82,0.91,6.73,5.65,4.90,0.75,0.03,5.52,9.49,4.80,397.72,6.09,5.09
547,5.07,5.10,0.03,5.10,4.35,4.18,0.17,0.00,7.42,14.24,7.93,681.97,4.34,4.15
548,6.88,5.10,1.78,6.88,5.91,4.29,1.62,0.04,5.50,10.61,5.93,510.40,6.08,4.16
549,6.43,5.64,0.79,6.43,5.51,4.74,0.77,0.03,6.73,12.01,6.29,527.92,5.70,4.65
550,6.60,7.08,0.48,7.08,5.54,5.92,0.38,0.10,7.67,11.11,4.59,344.01,5.97,6.37
551,5.62,7.03,1.42,7.03,4.73,5.82,1.09,0.05,9.10,13.28,5.54,417.55,4.69,6.17
552,5.17,5.73,0.57,5.73,4.13,4.61,0.48,0.00,5.37,11.52,6.96,615.50,4.21,4.64
553,6.35,4.82,1.53,6.35,5.31,3.98,1.33,0.00,6.37,12.04,6.63,567.40,5.68,4.06
554,6.70,6.50,0.21,6.70,5.77,5.52,0.25,0.07,6.89,10.64,4.79,375.63,6.24,5.44
555,6.88,5.31,1.57,6.88,5.86,4.42,1.44,0.04,6.66,11.47,5.80,480.22,6.30,4.69
556,5.10,5.04,0.06,5.10,4.25,4.32,0.07,0.00,6.50,13.66,8.14,716.57,4.32,4.51
557,6.44,6.74,0.30,6.74,5.43,5.65,0.22,0.05,6.88,10.29,4.44,340.69,5.74,6.07
558,6.99,5.16,1.83,6.99,5.87,4.09,1.78,0.05,7.57,12.53,6.09,495.90,6.06,4.21
559,7.44,5.16,2.29,7.44,6.31,4.32,1.99,0.04,10.22,15.06,6.37,484.04,6.47,4.37
560,5.08,5.54,0.47,5.54,4.27,4.69,0.42,0.00,7.52,13.93,7.54,641.16,4.34,4.74
561,5.27,6.64,1.37,6.64,4.36,5.76,1.40,0.00,6.98,12.75,6.81,576.46,4.19,5.91
562,7.18,6.56,0.63,7.18,6.22,5.74,0.47,0.03,7.54,11.47,5.07,393.64,6.45,5.60
563,7.46,5.04,2.42,7.46,6.19,4.14,2.05,0.02,8.29,13.57,6.52,527.81,6.53,4.20
564,4.90,5.31,0.41,5.31,4.19,4.49,0.30,0.00,6.19,12.58,7.32,638.92,4.29,4.58
565,5.50,5.20,0.30,5.50,4.79,4.20,0.59,0.00,6.82,12.86,7.07,604.37,4.80,4.30
566,5.03,5.49,0.46,5.49,4.24,4.44,0.20,0.00,8.28,14.16,7.13,588.74,4.40,4.90
567,5.45,6.84,1.39,6.84,4.70,5.82,1.11,0.01,7.02,11.67,5.70,464.79,4.69,6.27
568,5.72,5.66,0.06,5.72,4.75,4.83,0.08,0.01,7.27,12.68,6.49,540.40,4.99,4.80
569,5.97,7.02,1.05,7.02,4.95,5.94,0.99,0.00,9.50,13.50,5.43,400.34,5.22,6.45
570,6.98,5.18,1.80,6.98,6.02,4.39,1.63,0.03,6.32,11.38,6.01,506.05,6.07,4.40
