,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2
155,5.04,6.90,1.85,6.90,4.36,6.06,1.70,0.02,8.00,13.20,6.40,520.46,4.39,6.14
156,5.34,5.94,0.59,5.94,4.47,4.98,0.51,0.00,7.05,12.87,6.87,581.54,4.65,5.10
157,7.22,7.06,0.16,7.22,6.25,6.12,0.13,0.11,7.66,10.52,4.02,286.66,6.81,6.33
158,6.19,5.70,0.49,6.19,5.23,4.88,0.35,0.00,9.00,13.70,6.06,470.76,5.62,4.93
159,4.98,5.77,0.79,5.77,4.15,5.16,1.01,0.00,7.06,12.77,6.76,570.53,4.29,5.25
160,6.72,6.72,0.00,6.72,5.62,5.84,0.22,0.03,5.98,9.57,4.49,359.17,6.02,6.07
161,5.61,6.92,1.30,6.92,4.79,5.96,1.17,0.00,7.36,12.18,5.92,481.49,4.69,6.21
162,6.32,6.03,0.29,6.32,5.42,4.97,0.45,0.00,9.03,13.76,6.09,473.57,5.41,5.16
163,5.33,7.03,1.70,7.03,4.41,6.15,1.74,0.04,6.86,11.27,5.44,440.96,4.50,6.49
164,5.92,5.38,0.54,5.92,5.21,4.47,0.74,0.01,7.41,12.87,6.57,545.58,5.11,4.69
165,6.94,5.35,1.59,6.94,6.00,4.27,1.74,0.03,5.76,10.20,5.30,443.67,6.26,4.50
166,5.36,5.41,0.05,5.41,4.70,4.39,0.31,0.00,5.71,11.37,6.51,565.49,4.81,4.42
167,4.99,5.36,0.37,5.36,4.19,4.49,0.30,0.00,7.28,13.93,7.74,664.57,4.43,4.60
168,5.12,6.92,1.80,6.92,4.31,5.91,1.60,0.04,8.93,13.82,6.23,489.14,4.39,6.13
169,5.53,6.65,1.11,6.65,4.73,5.52,0.79,0.00,5.96,11.34,6.28,538.60,4.66,5.81
170,5.57,6.22,0.64,6.22,4.52,5.29,0.77,0.01,6.26,11.57,6.24,530.13,4.77,5.57
171,6.05,5.08,0.97,6.05,5.05,4.09,0.96,0.00,5.60,11.36,6.60,576.31,5.46,4.23
172,7.15,5.12,2.03,7.15,5.81,4.37,1.44,0.06,6.24,10.80,5.49,455.51,6.43,4.56
173,5.31,5.44,0.13,5.44,4.57,4.70,0.14,0.00,6.91,12.62,6.75,571.04,4.74,4.80
174,7.02,6.86,0.16,7.02,6.00,5.80,0.20,0.03,7.70,10.66,4.12,296.45,6.35,6.24
175,5.89,5.17,0.72,5.89,5.01,4.25,0.75,0.00,8.24,13.86,6.85,561.16,5.16,4.50
176,4.70,5.44,0.74,5.44,3.98,4.48,0.50,0.00,7.02,13.57,7.60,654.53,4.08,4.46
177,5.52,5.52,0.00,5.52,4.65,4.59,0.07,0.00,7.76,13.55,6.96,579.56,4.65,4.70
178,6.88,6.18,0.70,6.88,5.80,5.39,0.41,0.01,5.81,9.39,4.44,357.13,6.16,5.53
179,5.00,4.90,0.09,5.00,4.25,4.13,0.12,0.00,7.26,14.05,7.88,679.56,4.31,4.19
180,5.39,6.96,1.57,6.96,4.53,5.95,1.42,0.11,8.44,12.30,5.13,386.02,4.70,6.45
181,5.40,5.34,0.06,5.40,4.60,4.50,0.11,0.00,7.11,13.34,7.30,623.01,4.48,4.70
182,5.67,5.53,0.14,5.67,4.75,4.52,0.23,0.00,6.43,12.08,6.62,565.52,4.69,4.78
183,6.70,5.18,1.52,6.70,5.65,4.49,1.16,0.06,8.78,13.32,5.86,454.01,5.88,4.56
184,4.93,5.31,0.38,5.31,3.98,4.48,0.50,0.00,7.71,13.56,7.01,584.98,4.16,4.51
185,5.89,5.34,0.54,5.89,5.03,4.49,0.54,0.00,7.69,13.33,6.79,564.16,5.21,4.43
186,5.26,5.03,0.24,5.26,4.53,4.19,0.34,0.00,6.68,13.37,7.69,668.88,4.53,4.18
187,6.10,5.75,0.34,6.10,5.27,4.71,0.56,0.00,6.15,11.38,6.14,522.15,5.43,4.76
188,5.72,6.80,1.08,6.80,4.75,5.68,0.93,0.01,7.44,12.04,5.71,459.61,4.82,5.89
189,5.36,6.14,0.78,6.14,4.56,5.20,0.65,0.00,7.75,12.99,6.41,524.64,4.54,5.38
190,5.87,5.42,0.45,5.87,5.06,4.60,0.46,0.00,8.61,14.69,7.37,608.15,5.15,4.66
191,5.38,5.15,0.23,5.38,4.47,4.22,0.25,0.00,6.63,12.41,6.77,577.48,4.54,4.42
192,5.48,5.00,0.48,5.48,4.49,4.29,0.20,0.00,5.11,11.31,6.97,620.49,4.52,4.57
