,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
514,36.23,38.80,2.57,38.80,29.45,31.89,2.44,31.89,25.98,27.69,1.71,0.07,30.22,55.72,27.01,0.85,0.86,-22.11,-25.55
515,38.55,40.21,1.65,40.21,29.89,31.17,1.28,31.17,26.10,27.73,1.62,0.07,21.98,49.88,29.00,0.86,0.90,-22.18,-26.85
516,34.21,38.19,3.98,38.19,26.99,30.14,3.15,30.14,23.80,26.15,2.35,0.06,24.46,53.09,29.85,0.86,0.91,-19.92,-25.20
517,43.43,24.38,19.05,43.43,28.68,21.91,6.77,28.68,24.86,17.85,7.01,0.07,31.42,69.41,39.57,0.88,0.86,-18.94,-15.03
518,35.27,33.37,1.90,35.27,28.35,26.64,1.71,28.35,25.94,24.05,1.89,0.06,26.33,56.93,31.92,0.82,0.86,-20.63,-20.60
519,40.15,35.90,4.25,40.15,29.74,28.73,1.02,29.74,26.84,24.77,2.07,0.06,20.45,52.40,32.97,0.89,0.90,-23.71,-23.58
520,37.46,31.56,5.90,37.46,29.60,28.27,1.33,29.60,26.13,23.81,2.31,0.06,20.69,50.30,30.64,0.87,0.84,-24.09,-19.56
521,37.60,41.10,3.50,41.10,29.91,31.52,1.62,31.52,24.54,26.03,1.49,0.09,35.38,65.55,31.94,0.85,0.86,-21.23,-23.21
522,39.76,38.02,1.75,39.76,30.12,30.17,0.05,30.17,27.49,25.11,2.38,0.07,17.70,45.33,28.51,0.88,0.83,-24.95,-20.74
523,31.08,36.27,5.19,36.27,26.93,30.74,3.81,30.74,23.85,26.22,2.38,0.03,24.29,53.81,30.74,0.82,0.86,-18.75,-23.62
524,40.42,35.52,4.89,40.42,32.94,27.03,5.91,32.94,28.34,23.61,4.73,0.07,24.99,54.23,30.49,0.90,0.82,-27.28,-18.44
525,40.83,34.92,5.91,40.83,31.16,29.57,1.59,31.16,26.46,24.33,2.13,0.06,18.29,50.82,33.44,0.83,0.84,-21.72,-19.89
526,35.29,35.78,0.49,35.78,28.66,27.07,1.59,28.66,24.97,24.37,0.60,0.06,16.98,47.57,31.44,0.86,0.86,-21.44,-21.61
527,39.72,41.88,2.16,41.88,27.42,33.12,5.71,33.12,24.78,26.98,2.20,0.12,27.24,58.83,32.96,0.86,0.87,-19.99,-23.83
528,36.17,36.35,0.18,36.35,30.19,28.84,1.35,30.19,26.34,25.49,0.85,0.09,18.12,46.06,28.85,0.90,0.89,-25.52,-23.56
529,36.57,36.90,0.32,36.90,31.84,30.42,1.42,31.84,26.15,26.03,0.12,0.02,17.29,47.85,31.42,0.85,0.88,-20.84,-24.32
530,34.32,34.89,0.57,34.89,29.95,27.42,2.53,29.95,25.72,23.42,2.30,0.02,47.61,77.79,32.56,0.86,0.87,-22.73,-20.57
531,34.67,35.63,0.96,35.63,29.67,29.79,0.11,29.79,26.42,25.17,1.24,0.02,19.28,47.83,29.51,0.85,0.84,-22.75,-21.13
532,31.21,39.12,7.92,39.12,27.09,30.62,3.52,30.62,22.91,26.67,3.76,0.03,20.54,53.66,34.15,0.86,0.91,-19.15,-25.53
533,40.97,31.84,9.13,40.97,30.79,27.15,3.64,30.79,26.45,23.08,3.37,0.04,21.46,52.40,32.02,0.87,0.86,-22.33,-20.72
534,34.46,37.36,2.91,37.36,29.61,29.41,0.20,29.61,25.53,24.88,0.64,0.09,40.16,70.26,32.10,0.91,0.83,-25.90,-19.21
535,36.49,36.83,0.34,36.83,29.49,30.13,0.63,30.13,22.73,25.23,2.50,0.03,22.56,58.52,37.10,0.76,0.89,-12.94,-23.41
536,33.90,36.78,2.88,36.78,25.71,29.32,3.60,29.32,23.31,25.82,2.51,0.10,33.12,64.80,33.33,0.83,0.87,-17.76,-22.88
537,34.74,37.45,2.71,37.45,25.50,28.50,3.00,28.50,22.98,24.95,1.97,0.08,18.57,51.86,34.22,0.82,0.86,-17.67,-20.32
538,35.21,38.66,3.44,38.66,29.82,26.51,3.31,29.82,25.12,23.54,1.57,0.10,21.01,52.80,32.84,0.90,0.83,-24.37,-17.78
539,37.71,38.38,0.66,38.38,32.76,31.69,1.08,32.76,27.05,26.04,1.01,0.04,29.02,58.61,31.04,0.86,0.82,-24.04,-20.98
540,33.91,33.83,0.08,33.91,28.59,28.07,0.52,28.59,25.85,24.79,1.06,0.04,22.29,52.08,30.90,0.92,0.89,-25.41,-22.27
541,39.75,37.65,2.11,39.75,30.86,28.30,2.56,30.86,26.95,24.81,2.14,0.07,23.11,52.07,30.12,0.88,0.82,-25.29,-19.80
542,40.26,33.07,7.19,40.26,29.83,28.09,1.73,29.83,26.87,23.86,3.01,0.07,24.20,52.96,29.97,0.87,0.83,-22.79,-20.73
543,38.25,33.04,5.21,38.25,31.70,27.47,4.24,31.70,27.76,24.43,3.32,0.04,28.82,60.21,32.83,0.89,0.85,-24.70,-20.82
544,32.84,33.14,0.30,33.14,26.73,28.93,2.20,28.93,23.33,24.62,1.30,0.05,26.64,56.92,31.62,0.89,0.86,-22.19,-20.81
545,35.30,35.70,0.40,35.70,30.95,29.33,1.62,30.95,25.91,24.58,1.33,0.03,20.28,49.08,29.81,0.91,0.84,-26.41,-20.32
546,36.78,30.91,5.86,36.78,28.01,25.51,2.50,28.01,25.65,22.05,3.60,0.05,30.93,62.76,33.38,0.91,0.86,-23.10,-19.03
