,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
980,32.80,29.14,3.65,32.80,25.27,25.22,0.05,25.27,23.65,22.50,1.15,0.03,57.39,90.00,35.48,26.03,25.74
981,34.45,36.52,2.07,36.52,27.56,28.33,0.77,28.33,24.76,25.53,0.77,0.04,58.85,90.00,34.09,28.38,28.65
982,34.58,36.60,2.02,36.60,25.74,26.17,0.44,26.17,23.81,24.20,0.39,0.03,48.91,90.00,43.54,25.76,26.01
983,26.65,30.63,3.98,30.63,21.12,27.15,6.03,27.15,19.71,24.53,4.82,0.05,57.73,90.00,35.16,21.96,27.89
984,34.23,32.78,1.45,34.23,26.33,26.08,0.25,26.33,24.05,24.64,0.58,0.04,54.29,90.00,38.43,24.94,26.68
985,32.41,31.82,0.59,32.41,26.41,28.60,2.19,28.60,23.98,24.23,0.25,0.02,56.79,90.00,36.05,26.83,28.43
986,33.87,33.94,0.06,33.94,30.38,30.47,0.10,30.47,25.99,25.79,0.20,0.02,64.66,90.00,28.57,30.39,31.24
987,36.30,36.48,0.18,36.48,28.12,25.66,2.46,28.12,25.99,24.37,1.62,0.05,49.51,90.00,42.96,27.69,25.33
988,32.52,32.17,0.35,32.52,26.45,27.33,0.88,27.33,24.63,24.58,0.05,0.04,58.44,90.00,34.48,27.93,27.49
989,32.70,37.60,4.90,37.60,25.46,26.70,1.24,26.70,24.01,25.08,1.08,0.04,56.87,90.00,35.97,26.27,27.24
990,34.50,32.50,2.00,34.50,26.67,24.03,2.64,26.67,24.70,22.59,2.12,0.05,57.37,90.00,35.50,27.06,25.13
991,31.16,33.29,2.13,33.29,24.71,26.42,1.71,26.42,23.09,23.67,0.58,0.04,52.07,90.00,40.53,25.35,25.57
992,33.65,36.76,3.11,36.76,23.20,24.25,1.05,24.25,22.49,23.87,1.38,0.08,56.15,90.00,36.66,23.98,25.65
993,34.60,31.28,3.32,34.60,25.66,21.21,4.45,25.66,23.94,20.20,3.74,0.06,53.70,90.00,38.98,26.23,21.24
994,41.31,36.50,4.80,41.31,28.56,28.07,0.48,28.56,26.15,26.49,0.34,0.06,50.92,90.00,41.62,25.77,27.29
995,31.94,31.52,0.42,31.94,24.77,24.56,0.21,24.77,22.18,22.66,0.48,0.04,55.40,90.00,37.37,26.02,25.54
996,37.07,36.99,0.07,37.07,27.67,28.74,1.07,28.74,26.23,25.70,0.54,0.08,58.23,90.00,34.68,27.97,28.63
997,28.71,31.61,2.90,31.61,23.13,25.28,2.15,25.28,21.80,23.22,1.41,0.03,60.61,90.00,32.42,24.52,26.62
998,37.17,32.98,4.19,37.17,26.63,24.94,1.69,26.63,24.87,23.36,1.51,0.06,54.92,90.00,37.82,25.99,25.45
999,40.57,33.04,7.53,40.57,29.67,22.70,6.97,29.67,28.23,22.62,5.61,0.05,53.81,90.00,38.88,29.26,23.63
