,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
200,37.82,38.30,0.49,38.30,31.90,30.01,1.89,31.90,27.06,25.33,1.73,0.03,61.88,90.00,31.22,0.84,0.81,-23.38,-20.44
201,35.24,37.19,1.95,37.19,29.05,30.90,1.85,30.90,24.65,26.43,1.78,0.05,63.94,90.00,29.26,0.82,0.87,-20.42,-25.22
202,38.60,39.41,0.81,39.41,29.90,30.84,0.94,30.84,25.23,26.47,1.24,0.12,63.34,90.00,29.83,0.81,0.85,-20.20,-23.74
203,37.61,38.37,0.76,38.37,30.72,33.10,2.38,33.10,27.47,28.02,0.55,0.04,63.83,90.00,29.37,0.83,0.85,-23.29,-24.94
204,38.63,41.46,2.83,41.46,29.35,34.09,4.75,34.09,26.11,29.11,3.00,0.06,59.12,90.00,33.83,0.84,0.84,-21.03,-23.73
205,39.82,38.47,1.35,39.82,32.49,30.30,2.18,32.49,27.67,26.44,1.22,0.04,60.65,90.00,32.38,0.82,0.82,-22.17,-21.41
206,35.03,34.71,0.32,35.03,30.48,27.55,2.94,30.48,24.86,24.82,0.04,0.04,58.81,90.00,34.13,0.89,0.90,-22.67,-22.23
207,42.60,42.82,0.22,42.82,31.98,31.89,0.09,31.98,27.16,27.11,0.05,0.06,62.17,90.00,30.94,0.92,0.86,-27.39,-23.70
208,40.88,40.84,0.04,40.88,32.61,31.94,0.68,32.61,27.56,27.36,0.20,0.06,58.36,90.00,34.56,0.87,0.87,-24.06,-23.78
209,36.22,36.30,0.08,36.30,27.51,28.37,0.85,28.37,24.50,23.73,0.78,0.06,57.78,90.00,35.11,0.89,0.86,-22.15,-19.51
210,40.79,39.97,0.82,40.79,30.87,31.81,0.93,31.81,26.25,26.58,0.33,0.09,61.09,90.00,31.97,0.88,0.88,-23.94,-24.83
211,40.17,42.07,1.90,42.07,30.65,30.85,0.21,30.85,26.28,27.77,1.50,0.06,58.74,90.00,34.19,0.83,0.85,-20.26,-23.05
212,41.19,36.70,4.49,41.19,31.41,32.85,1.43,32.85,27.43,27.08,0.35,0.07,59.16,90.00,33.80,0.84,0.83,-21.27,-21.71
213,33.78,36.67,2.89,36.67,28.54,29.61,1.07,29.61,24.29,25.09,0.80,0.02,61.71,90.00,31.37,0.86,0.88,-22.16,-23.38
214,39.17,41.18,2.01,41.18,32.16,35.05,2.89,35.05,25.84,27.95,2.11,0.02,59.50,90.00,33.48,0.79,0.85,-18.99,-24.38
215,40.31,41.53,1.22,41.53,28.64,27.99,0.65,28.64,24.96,25.97,1.01,0.07,53.47,90.00,39.20,0.84,0.84,-18.98,-19.77
216,33.37,31.70,1.67,33.37,29.05,28.01,1.04,29.05,24.74,23.52,1.22,0.02,57.77,84.60,29.72,0.84,0.84,-21.59,-20.51
217,37.86,35.00,2.86,37.86,32.55,30.42,2.14,32.55,27.02,25.59,1.43,0.06,69.12,89.60,23.94,0.84,0.82,-26.00,-23.36
218,33.65,43.33,9.68,43.33,27.05,30.34,3.29,30.34,23.91,27.63,3.72,0.06,57.71,90.00,35.18,0.84,0.87,-19.27,-23.30
219,35.91,33.56,2.34,35.91,28.71,28.25,0.46,28.71,24.47,24.31,0.17,0.06,64.09,90.00,29.12,0.85,0.84,-21.72,-20.99
220,42.62,39.70,2.93,42.62,31.58,31.55,0.03,31.58,27.81,26.38,1.43,0.06,64.77,90.00,28.47,0.83,0.81,-23.79,-21.82
221,37.98,35.81,2.16,37.98,31.34,30.09,1.26,31.34,26.11,25.05,1.06,0.03,57.13,90.00,35.73,0.86,0.85,-22.03,-20.87
222,36.55,39.33,2.78,39.33,28.25,32.58,4.33,32.58,24.97,27.15,2.17,0.04,61.80,90.00,31.29,0.83,0.85,-20.84,-24.00
223,38.48,36.17,2.30,38.48,30.17,26.12,4.04,30.17,25.71,22.99,2.72,0.04,57.41,90.00,35.46,0.83,0.77,-20.32,-14.69
224,35.64,34.64,1.00,35.64,28.42,29.73,1.31,29.73,24.75,25.39,0.64,0.04,59.21,90.00,33.75,0.85,0.88,-20.74,-22.71
225,36.56,33.95,2.61,36.56,29.18,28.58,0.60,29.18,25.64,24.59,1.05,0.03,57.21,86.89,32.54,0.80,0.83,-19.40,-21.21
226,40.87,36.04,4.83,40.87,31.00,27.52,3.48,31.00,27.47,25.24,2.23,0.07,61.40,90.00,31.67,0.87,0.84,-23.78,-20.64
227,31.30,31.92,0.62,31.92,27.08,29.02,1.94,29.02,23.12,24.58,1.46,0.01,56.97,84.93,30.80,0.87,0.88,-21.39,-22.36
228,38.99,40.77,1.78,40.77,27.14,28.49,1.35,28.49,24.65,24.74,0.08,0.08,52.98,90.00,39.67,0.85,0.89,-18.81,-20.43
229,34.74,36.22,1.48,36.22,29.38,30.54,1.16,30.54,25.19,26.36,1.17,0.04,57.52,90.00,35.35,0.84,0.85,-20.91,-21.19
230,35.41,36.89,1.48,36.89,27.53,28.54,1.01,28.54,24.26,25.55,1.28,0.04,56.67,90.00,36.16,0.85,0.89,-19.22,-22.73
231,34.72,36.30,1.57,36.30,30.08,31.25,1.17,31.25,25.10,25.94,0.84,0.06,69.80,90.00,23.69,0.87,0.86,-25.09,-25.35
232,37.29,36.63,0.66,37.29,30.13,30.92,0.79,30.92,24.91,24.97,0.06,0.04,56.61,90.00,36.22,0.88,0.89,-21.69,-23.28
233,37.11,33.68,3.43,37.11,29.27,27.49,1.79,29.27,25.60,23.21,2.39,0.05,59.77,90.00,33.22,0.87,0.84,-23.67,-18.83
234,39.35,36.42,2.93,39.35,31.99,29.85,2.15,31.99,25.50,24.31,1.19,0.06,65.27,90.00,27.99,0.86,0.89,-23.68,-24.76
235,33.68,34.30,0.63,34.30,27.92,29.81,1.88,29.81,24.00,25.02,1.02,0.06,58.96,81.92,25.91,0.81,0.86,-19.92,-24.12
236,36.98,35.50,1.49,36.98,31.77,31.00,0.77,31.77,26.90,26.82,0.08,0.02,61.90,89.38,30.57,0.86,0.82,-24.58,-22.37
237,41.12,39.74,1.39,41.12,31.90,31.56,0.34,31.90,27.28,26.86,0.43,0.16,64.69,90.00,28.54,0.84,0.83,-23.22,-23.52
238,34.62,35.79,1.17,35.79,29.31,28.87,0.44,29.31,25.68,24.81,0.86,0.03,58.84,90.00,34.11,0.87,0.87,-22.91,-21.65
239,39.96,39.58,0.38,39.96,29.96,32.31,2.34,32.31,26.07,26.09,0.02,0.06,54.68,90.00,38.06,0.89,0.85,-21.82,-19.88
240,36.95,38.26,1.31,38.26,28.02,31.13,3.10,31.13,24.91,27.23,2.33,0.04,59.61,90.00,33.37,0.83,0.86,-19.63,-23.08
241,40.48,40.55,0.07,40.55,33.93,31.16,2.77,33.93,28.51,27.31,1.21,0.06,57.20,90.00,35.66,0.85,0.85,-24.68,-21.92
242,36.12,38.30,2.18,38.30,30.63,32.73,2.10,32.73,25.28,28.14,2.86,0.03,58.49,90.00,34.43,0.83,0.88,-20.30,-25.21
243,36.05,39.00,2.95,39.00,30.89,31.04,0.15,31.04,26.64,26.41,0.23,0.05,66.07,90.00,27.24,0.83,0.80,-23.58,-21.04
244,34.90,34.69,0.21,34.90,28.46,28.10,0.37,28.46,25.32,24.59,0.72,0.06,64.31,90.00,28.91,0.86,0.85,-22.48,-21.50
245,34.86,34.32,0.53,34.86,29.35,25.25,4.11,29.35,24.95,22.55,2.41,0.02,55.48,90.00,37.30,0.90,0.84,-23.09,-17.70
246,38.89,35.80,3.09,38.89,29.24,28.23,1.01,29.24,25.24,23.97,1.26,0.05,62.04,90.00,31.06,0.85,0.82,-21.80,-19.82
247,37.27,37.52,0.25,37.52,30.23,31.72,1.50,31.72,25.10,25.66,0.56,0.06,66.55,89.49,26.26,0.83,0.82,-22.84,-23.36
248,34.13,34.11,0.02,34.13,29.99,29.72,0.27,29.99,24.95,25.40,0.45,0.02,60.78,85.55,27.81,0.83,0.84,-22.65,-22.72
249,37.27,41.04,3.77,41.04,27.97,30.34,2.38,30.34,24.75,26.74,1.99,0.08,60.56,90.00,32.47,0.80,0.84,-18.65,-21.01
250,34.15,36.31,2.16,36.31,28.71,32.50,3.79,32.50,24.72,26.73,2.02,0.01,60.95,90.00,32.09,0.83,0.88,-20.59,-25.04
251,37.89,39.37,1.47,39.37,28.16,27.99,0.16,28.16,24.45,24.38,0.07,0.06,57.13,90.00,35.73,0.88,0.87,-21.03,-20.99
252,36.99,34.48,2.51,36.99,31.57,29.35,2.22,31.57,26.42,25.32,1.10,0.03,65.69,90.00,27.59,0.80,0.82,-21.53,-22.07
253,38.32,38.91,0.59,38.91,33.07,32.94,0.13,33.07,27.48,26.98,0.50,0.06,64.82,90.00,28.42,0.84,0.79,-24.34,-21.08
254,36.91,35.81,1.11,36.91,33.29,29.87,3.42,33.29,27.10,25.64,1.46,0.01,55.46,85.89,33.20,0.86,0.83,-24.33,-20.98
255,39.54,36.18,3.37,39.54,30.87,30.05,0.82,30.87,26.18,25.81,0.37,0.06,63.71,90.00,29.48,0.83,0.87,-21.47,-23.11
256,32.98,32.12,0.86,32.98,29.64,27.09,2.55,29.64,24.12,23.78,0.34,0.01,59.68,90.00,33.31,0.85,0.86,-21.05,-20.47
257,39.00,41.38,2.39,41.38,31.71,31.45,0.26,31.71,26.56,26.27,0.29,0.08,61.13,90.00,31.93,0.85,0.82,-23.47,-20.87
258,35.81,44.06,8.25,44.06,29.19,29.89,0.70,29.89,24.99,27.26,2.27,0.05,57.00,90.00,35.85,0.80,0.81,-18.11,-19.66
259,35.99,36.73,0.74,36.73,29.87,29.57,0.29,29.87,25.22,26.12,0.90,0.05,64.96,90.00,28.29,0.86,0.85,-23.64,-22.88
260,35.61,39.73,4.12,39.73,29.92,34.09,4.16,34.09,25.11,28.60,3.49,0.03,58.06,90.00,34.84,0.84,0.88,-20.98,-26.60
261,44.44,37.87,6.57,44.44,30.39,28.74,1.65,30.39,25.90,24.92,0.98,0.07,59.92,90.00,33.07,0.84,0.83,-21.42,-21.27
262,36.87,38.01,1.14,38.01,28.59,29.56,0.97,29.56,25.08,25.89,0.81,0.05,62.95,90.00,30.20,0.85,0.85,-21.14,-21.81
263,39.34,40.96,1.62,40.96,35.51,34.94,0.56,35.51,28.74,27.94,0.80,0.06,55.14,83.20,30.82,0.86,0.83,-26.33,-23.46
264,43.71,37.80,5.91,43.71,31.74,30.33,1.41,31.74,28.14,25.94,2.20,0.05,56.76,90.00,36.08,0.87,0.86,-23.19,-21.39
265,38.38,36.38,2.00,38.38,28.22,27.17,1.06,28.22,25.69,24.57,1.13,0.05,60.91,90.00,32.14,0.85,0.84,-20.75,-20.39
266,34.77,36.13,1.35,36.13,28.61,30.61,2.00,30.61,24.56,25.22,0.66,0.03,62.15,86.84,27.80,0.79,0.79,-19.70,-20.86
267,39.35,36.34,3.01,39.35,33.70,32.07,1.63,33.70,27.07,25.63,1.44,0.06,59.26,86.44,30.14,0.79,0.78,-21.84,-20.15
268,41.60,39.46,2.15,41.60,33.12,32.25,0.87,33.12,27.51,26.46,1.05,0.07,59.57,88.58,31.99,0.83,0.81,-23.22,-21.56
269,39.29,38.66,0.63,39.29,29.39,30.18,0.78,30.18,25.28,25.18,0.10,0.04,62.91,90.00,30.24,0.82,0.85,-20.42,-22.96
270,35.46,35.51,0.06,35.51,29.33,29.25,0.08,29.33,24.66,24.90,0.23,0.05,61.08,89.09,31.06,0.83,0.86,-20.50,-22.95
271,39.04,40.77,1.73,40.77,31.42,32.11,0.69,32.11,26.91,26.70,0.21,0.08,60.66,90.00,32.38,0.85,0.84,-23.12,-23.43
272,33.84,34.57,0.73,34.57,29.76,27.97,1.79,29.76,25.89,24.79,1.11,0.06,59.90,87.02,30.12,0.87,0.84,-24.02,-20.88
273,40.42,39.86,0.56,40.42,32.19,31.43,0.76,32.19,27.78,27.12,0.66,0.08,66.80,90.00,26.54,0.87,0.86,-26.27,-24.91
274,40.55,38.15,2.41,40.55,31.27,30.07,1.20,31.27,27.05,26.50,0.55,0.08,62.83,90.00,30.31,0.87,0.85,-24.13,-22.91
275,44.26,43.39,0.87,44.26,32.59,31.84,0.75,32.59,27.46,27.55,0.09,0.06,60.28,90.00,32.73,0.83,0.84,-21.46,-22.66
276,45.72,41.91,3.82,45.72,29.20,28.38,0.82,29.20,25.67,25.79,0.12,0.09,63.44,90.00,29.74,0.85,0.88,-21.58,-23.37
277,39.32,37.77,1.55,39.32,32.37,30.51,1.86,32.37,27.92,26.45,1.47,0.10,64.62,90.00,28.62,0.84,0.86,-24.62,-24.60
278,40.45,37.14,3.30,40.45,33.74,33.76,0.02,33.76,29.02,28.42,0.60,0.03,57.66,86.78,32.00,0.82,0.82,-24.12,-23.07
279,37.53,39.45,1.91,39.45,30.16,29.85,0.31,30.16,26.12,26.22,0.10,0.08,64.20,90.00,29.01,0.81,0.79,-22.15,-20.19
280,40.00,42.66,2.66,42.66,29.56,32.42,2.85,32.42,27.32,28.06,0.73,0.08,62.22,90.00,30.90,0.88,0.84,-24.69,-23.65
281,34.84,35.97,1.12,35.97,25.30,28.54,3.24,28.54,23.29,24.64,1.34,0.10,60.91,90.00,32.14,0.83,0.84,-18.69,-20.64
282,34.60,41.19,6.59,41.19,29.51,33.30,3.79,33.30,25.37,27.31,1.94,0.04,63.72,90.00,29.47,0.85,0.87,-23.03,-25.60
283,33.95,38.34,4.39,38.34,28.09,30.94,2.86,30.94,24.46,26.28,1.82,0.05,63.07,90.00,30.09,0.84,0.86,-20.83,-23.77
284,39.13,36.59,2.54,39.13,32.87,29.56,3.31,32.87,27.91,25.15,2.77,0.03,60.76,90.00,32.27,0.89,0.84,-26.38,-21.53
285,42.52,40.43,2.09,42.52,32.13,30.89,1.24,32.13,28.13,26.95,1.18,0.09,62.26,90.00,30.85,0.88,0.88,-24.84,-23.83
286,33.61,38.18,4.57,38.18,26.99,30.13,3.14,30.13,23.51,25.43,1.92,0.05,60.27,90.00,32.74,0.84,0.84,-19.78,-21.82
287,35.48,41.47,5.99,41.47,29.21,30.19,0.98,30.19,24.64,26.49,1.85,0.05,56.89,90.00,35.95,0.84,0.87,-20.05,-22.50
288,38.60,37.50,1.10,38.60,32.64,30.31,2.32,32.64,27.00,25.02,1.98,0.08,59.98,90.00,33.02,0.86,0.82,-23.95,-19.89
