,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
43,4.72,5.47,0.74,5.47,5.18,5.57,0.39,5.57,4.33,4.78,0.45,0.00,3.27,9.34,6.23,4.40,4.79
44,5.61,5.86,0.25,5.86,5.96,6.11,0.16,6.11,4.81,5.12,0.31,0.00,3.16,8.10,5.10,5.09,5.28
45,5.44,6.93,1.49,6.93,5.39,6.91,1.52,6.91,4.48,5.93,1.45,0.03,3.54,7.75,4.39,4.53,6.26
46,4.86,5.92,1.06,5.92,5.09,5.93,0.84,5.93,4.26,5.22,0.96,0.01,2.72,8.16,5.57,4.43,5.15
47,4.92,6.25,1.32,6.25,5.21,6.50,1.29,6.50,4.25,5.42,1.18,0.01,4.11,9.61,5.70,4.21,5.57
48,4.94,5.43,0.49,5.43,5.33,5.50,0.17,5.50,4.42,4.68,0.26,0.00,2.35,8.29,6.06,4.45,4.63
49,5.15,7.01,1.87,7.01,5.20,7.12,1.91,7.12,4.31,6.24,1.92,0.07,2.55,7.08,4.67,4.39,6.42
50,5.03,6.83,1.81,6.83,5.32,6.95,1.63,6.95,4.44,5.93,1.49,0.02,3.34,8.00,4.83,4.61,6.37
51,6.18,5.37,0.80,6.18,6.16,5.46,0.70,6.16,5.26,4.44,0.82,0.00,3.89,8.98,5.28,5.49,4.57
52,4.53,4.95,0.41,4.95,4.79,5.23,0.44,5.23,4.00,4.37,0.37,0.00,3.35,9.78,6.59,4.02,4.66
53,5.59,6.49,0.89,6.49,5.70,6.60,0.90,6.60,4.92,5.61,0.70,0.01,3.87,8.00,4.32,5.06,6.06
54,4.78,5.52,0.73,5.52,5.37,5.53,0.15,5.53,4.56,4.53,0.03,0.00,3.15,9.23,6.24,4.45,4.46
55,5.78,6.36,0.57,6.36,5.91,6.54,0.63,6.54,4.99,5.56,0.57,0.04,3.39,7.92,4.71,5.15,5.85
56,5.21,5.40,0.19,5.40,5.44,5.38,0.06,5.44,4.51,4.64,0.13,0.00,2.56,8.86,6.42,4.36,4.76
57,4.71,5.37,0.66,5.37,5.05,5.53,0.47,5.53,4.07,4.58,0.51,0.00,3.73,9.46,5.91,4.26,4.71
58,5.04,6.65,1.62,6.65,5.31,6.90,1.59,6.90,4.30,5.70,1.40,0.00,4.01,8.76,4.95,4.44,6.19
59,5.04,4.77,0.27,5.04,5.46,5.03,0.43,5.46,4.43,4.09,0.34,0.00,2.20,8.81,6.71,4.42,4.23
60,6.80,4.82,1.99,6.80,6.87,4.90,1.97,6.87,5.95,4.07,1.88,0.02,3.02,7.96,5.09,6.18,4.31
61,5.25,5.09,0.16,5.25,5.08,5.31,0.24,5.31,4.18,4.61,0.43,0.00,2.46,8.53,6.20,4.37,4.74
62,7.36,4.37,2.99,7.36,7.23,4.62,2.61,7.23,6.08,3.75,2.32,0.04,2.67,8.00,5.46,6.48,3.94
63,5.77,5.33,0.43,5.77,5.62,5.23,0.39,5.62,4.52,4.37,0.14,0.00,4.04,9.99,6.15,4.59,4.32
64,6.76,6.72,0.04,6.76,7.09,6.81,0.28,7.09,6.00,5.70,0.29,0.07,3.96,7.05,3.29,6.46,6.10
65,4.94,4.80,0.15,4.94,5.27,4.96,0.32,5.27,4.47,4.08,0.39,0.00,2.84,9.05,6.35,4.59,4.21
66,7.15,5.25,1.89,7.15,6.90,5.10,1.80,6.90,5.93,4.40,1.52,0.09,3.20,8.00,4.96,6.53,4.44
67,7.16,4.55,2.61,7.16,6.89,4.74,2.15,6.89,6.07,3.87,2.20,0.05,2.76,7.89,5.26,6.31,3.90
68,5.45,6.32,0.87,6.32,5.70,6.82,1.13,6.82,4.92,5.85,0.93,0.02,3.12,7.32,4.36,4.92,6.11
69,4.52,7.36,2.84,7.36,5.03,7.07,2.04,7.07,4.05,5.87,1.82,0.10,3.06,8.00,5.10,4.24,6.33
70,5.14,5.21,0.08,5.21,6.00,5.18,0.82,6.00,4.95,4.37,0.58,0.00,3.60,9.39,5.97,4.83,4.46
71,5.44,4.87,0.57,5.44,5.55,5.57,0.02,5.57,4.56,4.60,0.04,0.00,3.98,9.78,6.00,4.49,4.66
72,5.72,4.96,0.76,5.72,5.86,5.31,0.55,5.86,4.89,4.45,0.44,0.00,4.45,10.06,5.84,4.74,4.55
73,5.73,5.80,0.08,5.80,5.75,5.93,0.19,5.93,4.85,5.07,0.22,0.00,2.59,7.66,5.20,5.04,5.08
74,4.66,6.69,2.03,6.69,5.24,6.63,1.39,6.63,4.47,5.82,1.35,0.03,3.12,8.00,5.04,4.63,6.11
75,6.61,5.21,1.40,6.61,6.79,5.12,1.67,6.79,5.73,4.40,1.34,0.00,3.34,8.33,5.15,5.91,4.53
76,4.98,6.83,1.85,6.83,5.14,7.06,1.91,7.06,4.29,6.07,1.78,0.01,2.77,7.54,4.91,4.57,6.48
77,5.15,7.36,2.20,7.36,5.48,7.18,1.70,7.18,4.67,5.84,1.17,0.03,3.39,8.00,4.78,4.68,6.32
78,6.76,6.76,0.00,6.76,6.56,7.18,0.62,7.18,5.51,6.10,0.59,0.09,4.43,8.00,3.79,5.82,6.43
79,7.40,6.22,1.18,7.40,7.49,6.09,1.40,7.49,6.30,5.25,1.05,0.03,3.66,7.04,3.57,6.65,5.42
80,5.36,5.01,0.35,5.36,5.62,5.23,0.39,5.62,4.81,4.45,0.36,0.00,2.85,8.79,6.08,4.76,4.42
81,5.22,6.64,1.41,6.64,5.45,6.68,1.24,6.68,4.53,5.69,1.16,0.02,3.43,8.06,4.80,4.73,5.90
82,7.03,4.69,2.35,7.03,7.10,4.83,2.27,7.10,5.98,3.99,1.99,0.05,3.16,8.14,5.14,6.27,4.14
83,6.89,5.12,1.78,6.89,6.75,5.28,1.47,6.75,5.86,4.44,1.43,0.04,3.17,8.00,4.99,6.32,4.42
84,6.26,5.10,1.16,6.26,6.21,5.03,1.18,6.21,5.20,4.20,1.00,0.00,2.90,8.00,5.24,5.52,4.55
85,6.63,5.44,1.19,6.63,6.82,5.51,1.30,6.82,5.82,4.69,1.13,0.01,2.68,7.00,4.45,6.23,4.81
86,5.17,6.71,1.54,6.71,5.33,6.80,1.48,6.80,4.51,5.94,1.43,0.04,3.28,8.00,4.88,4.65,5.93
87,4.98,6.43,1.45,6.43,5.32,6.52,1.20,6.52,4.39,5.70,1.31,0.01,3.13,7.89,4.92,4.64,5.88
88,4.78,6.73,1.95,6.73,4.96,6.97,2.01,6.97,4.04,5.97,1.93,0.00,3.09,8.20,5.26,4.17,6.36
89,5.41,5.24,0.17,5.41,5.51,5.21,0.30,5.51,4.80,4.50,0.30,0.00,4.90,10.89,6.24,4.78,4.66
90,5.13,5.80,0.67,5.80,5.43,5.63,0.20,5.63,4.58,4.74,0.16,0.00,2.99,8.88,6.04,4.47,4.79
91,6.93,5.15,1.78,6.93,7.01,5.07,1.95,7.01,5.75,4.26,1.49,0.02,3.04,8.00,5.11,6.25,4.35
92,5.61,5.51,0.10,5.61,5.45,5.44,0.01,5.45,4.54,4.39,0.15,0.00,4.44,10.60,6.39,4.67,4.48
93,5.76,5.24,0.53,5.76,6.09,5.40,0.69,6.09,5.21,4.41,0.80,0.01,3.38,8.62,5.42,5.36,4.47
94,5.46,4.85,0.61,5.46,5.23,5.16,0.07,5.23,4.43,4.44,0.01,0.00,2.60,8.81,6.34,4.32,4.51
95,6.64,7.20,0.56,7.20,6.93,7.34,0.41,7.34,5.85,6.04,0.19,0.06,4.68,7.96,3.52,6.15,6.36
96,4.84,5.19,0.35,5.19,5.12,5.15,0.04,5.15,4.20,4.36,0.16,0.00,2.86,9.14,6.42,4.24,4.64
97,5.50,6.54,1.03,6.54,5.69,6.84,1.15,6.84,4.78,5.81,1.02,0.02,3.54,8.00,4.64,4.86,6.09
98,5.45,5.01,0.44,5.45,5.56,5.21,0.36,5.56,4.47,4.30,0.17,0.00,2.67,9.08,6.54,4.55,4.28
99,6.77,6.76,0.02,6.77,6.80,6.78,0.01,6.80,5.75,5.90,0.15,0.04,3.45,6.95,3.67,6.21,6.27
100,5.94,5.34,0.60,5.94,6.01,5.69,0.32,6.01,4.85,4.88,0.03,0.00,3.18,8.52,5.50,4.97,4.90
101,5.26,5.11,0.15,5.26,5.23,5.37,0.14,5.37,4.37,4.66,0.29,0.00,2.63,9.03,6.53,4.41,4.74
102,5.63,5.52,0.11,5.63,5.33,5.91,0.58,5.91,4.43,4.85,0.42,0.01,2.96,8.43,5.62,4.44,4.95
103,7.10,5.23,1.87,7.10,7.13,5.38,1.76,7.13,6.02,4.59,1.43,0.09,3.77,8.00,4.42,6.50,4.55
104,6.65,6.00,0.66,6.65,6.86,5.76,1.10,6.86,5.82,4.89,0.93,0.01,3.03,7.31,4.43,6.25,5.10
105,7.08,5.61,1.47,7.08,7.28,5.53,1.75,7.28,6.09,4.50,1.59,0.02,3.35,8.00,4.82,6.18,4.55
106,5.75,4.94,0.82,5.75,6.31,5.16,1.16,6.31,5.26,4.38,0.88,0.00,2.89,8.46,5.71,5.53,4.33
107,5.07,6.79,1.72,6.79,5.21,6.64,1.43,6.64,4.50,5.77,1.26,0.02,3.24,8.03,4.95,4.60,5.90
108,6.92,5.72,1.20,6.92,6.93,6.04,0.89,6.93,5.64,5.14,0.50,0.04,3.29,7.49,4.36,6.20,5.27
109,6.72,6.44,0.27,6.72,6.89,6.95,0.06,6.95,5.66,5.92,0.26,0.05,4.88,8.00,3.36,6.17,6.27
110,6.06,5.51,0.55,6.06,5.91,5.74,0.17,5.91,5.11,4.80,0.31,0.00,3.09,8.35,5.42,5.18,4.79
111,7.24,6.47,0.77,7.24,7.33,6.74,0.59,7.33,6.28,5.46,0.82,0.11,3.06,6.19,3.28,6.45,5.78
112,5.67,4.77,0.90,5.67,5.83,5.29,0.54,5.83,4.89,4.32,0.57,0.00,2.73,8.12,5.52,5.05,4.65
113,5.52,6.64,1.12,6.64,5.60,6.57,0.97,6.57,4.62,5.47,0.85,0.00,3.13,8.00,5.02,4.70,5.73
114,5.19,6.86,1.68,6.86,5.47,6.82,1.36,6.82,4.59,5.92,1.33,0.09,3.43,8.00,4.74,4.81,6.16
115,6.90,6.68,0.22,6.90,7.02,6.92,0.10,7.02,5.99,5.76,0.24,0.04,3.50,6.77,3.44,6.37,5.93
116,6.50,5.39,1.11,6.50,6.69,5.58,1.10,6.69,5.68,4.68,1.01,0.00,3.25,8.00,4.91,5.93,4.85
117,5.53,5.04,0.49,5.53,5.26,5.45,0.20,5.45,4.53,4.59,0.07,0.00,3.22,9.31,6.25,4.52,4.48
118,5.44,6.86,1.41,6.86,5.90,6.93,1.03,6.93,5.08,5.70,0.61,0.01,3.45,8.00,4.72,5.16,6.31
119,6.59,5.57,1.02,6.59,6.96,5.42,1.54,6.96,5.80,4.74,1.05,0.01,3.19,8.00,4.97,6.07,4.72
120,4.78,5.49,0.71,5.49,5.44,5.47,0.03,5.47,4.58,4.73,0.15,0.00,2.47,8.41,6.07,4.68,4.73
121,5.44,4.94,0.50,5.44,5.83,5.21,0.62,5.83,4.83,4.24,0.59,0.00,2.48,8.46,6.10,5.01,4.42
122,7.00,6.83,0.17,7.00,7.13,6.94,0.19,7.13,6.07,5.89,0.17,0.09,3.27,6.49,3.39,6.39,6.01
123,4.36,5.29,0.92,5.29,4.79,5.42,0.63,5.42,3.98,4.55,0.57,0.00,4.10,10.64,6.74,3.91,4.62
124,5.00,6.21,1.21,6.21,5.26,6.49,1.23,6.49,4.57,5.44,0.87,0.01,3.24,8.00,4.92,4.67,5.72
125,4.88,5.45,0.57,5.45,4.85,5.73,0.88,5.73,3.97,4.75,0.78,0.00,2.62,8.76,6.26,4.19,4.88
126,5.78,5.50,0.28,5.78,6.40,5.47,0.93,6.40,5.45,4.71,0.74,0.00,2.52,7.27,4.87,5.63,4.68
127,6.48,5.28,1.20,6.48,7.25,5.50,1.76,7.25,6.09,4.60,1.48,0.01,3.68,8.29,4.79,6.35,4.66
128,5.84,5.50,0.34,5.84,6.15,5.63,0.52,6.15,5.15,4.78,0.37,0.03,3.01,8.00,5.14,5.42,4.92
129,5.44,6.49,1.05,6.49,5.51,6.64,1.12,6.64,4.66,5.78,1.12,0.00,2.99,7.65,4.81,4.56,6.02
130,6.77,6.10,0.67,6.77,6.67,6.14,0.53,6.67,5.66,5.26,0.39,0.09,3.18,7.53,4.51,5.75,5.24
131,5.50,4.82,0.68,5.50,5.50,5.06,0.44,5.50,4.69,4.18,0.51,0.00,3.17,9.10,6.09,4.72,4.41
132,6.78,4.78,1.99,6.78,6.74,5.22,1.53,6.74,5.79,4.43,1.36,0.09,3.12,8.00,5.03,6.37,4.46
133,6.87,7.07,0.20,7.07,6.83,6.70,0.12,6.83,5.80,5.77,0.04,0.06,4.60,8.00,3.63,6.39,6.06
134,5.81,7.26,1.46,7.26,5.78,7.31,1.53,7.31,4.79,6.04,1.25,0.06,3.63,8.00,4.55,4.75,6.40
135,5.92,5.08,0.84,5.92,6.07,5.32,0.75,6.07,5.15,4.53,0.61,0.01,2.77,8.14,5.51,5.20,4.45
136,4.94,5.89,0.95,5.89,5.00,6.06,1.06,6.06,4.14,5.18,1.04,0.01,2.86,8.20,5.48,4.32,5.20
137,4.21,4.57,0.35,4.57,4.72,4.61,0.11,4.72,3.77,3.90,0.13,0.00,2.52,9.51,7.12,4.06,4.19
138,5.01,6.62,1.61,6.62,5.00,6.87,1.87,6.87,4.40,5.71,1.31,0.01,3.39,8.00,4.77,4.40,6.21
139,6.69,5.23,1.46,6.69,7.00,5.24,1.76,7.00,5.97,4.27,1.70,0.05,3.54,8.41,5.05,6.32,4.21
140,6.83,7.16,0.33,7.16,7.04,7.07,0.03,7.07,6.03,6.10,0.08,0.06,3.97,7.08,3.31,6.20,6.52
141,5.56,5.49,0.07,5.56,5.77,5.52,0.25,5.77,4.97,4.57,0.40,0.00,2.97,8.00,5.18,5.39,4.79
142,5.18,6.50,1.32,6.50,5.23,6.59,1.36,6.59,4.32,5.65,1.32,0.00,3.92,8.88,5.15,4.57,5.66
143,6.65,5.38,1.27,6.65,6.83,5.68,1.15,6.83,5.99,4.78,1.20,0.01,4.24,8.84,4.81,6.36,4.61
144,4.87,6.33,1.47,6.33,5.35,6.63,1.28,6.63,4.50,5.79,1.29,0.00,3.24,8.00,4.92,4.73,6.07
