,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
525,33.51,32.73,0.78,33.51,26.17,26.30,0.12,26.30,24.17,23.88,0.29,0.03,54.65,90.00,38.08,26.05,27.00
526,36.81,30.53,6.28,36.81,27.70,25.97,1.73,27.70,25.96,21.87,4.09,0.03,60.80,90.00,32.24,27.49,27.01
527,36.44,34.62,1.82,36.44,26.43,27.03,0.59,27.03,24.62,23.90,0.73,0.06,51.94,86.23,36.89,27.20,26.42
528,32.13,33.07,0.95,33.07,25.77,26.88,1.11,26.88,23.76,24.96,1.20,0.07,53.78,84.03,32.94,26.82,27.82
529,31.36,35.15,3.79,35.15,24.59,28.75,4.15,28.75,22.73,25.76,3.03,0.03,55.46,90.00,37.31,24.31,29.40
530,32.24,37.72,5.48,37.72,24.12,27.60,3.48,27.60,22.24,25.29,3.05,0.07,55.35,89.63,37.05,24.69,27.50
531,30.21,35.59,5.38,35.59,22.31,26.69,4.39,26.69,20.40,23.79,3.39,0.07,56.79,90.00,36.05,23.69,27.27
532,27.43,29.17,1.74,29.17,19.05,22.30,3.25,22.30,18.23,20.85,2.62,0.03,50.30,90.00,42.22,19.39,23.18
533,32.01,29.25,2.76,32.01,24.81,26.79,1.98,26.79,23.16,23.27,0.11,0.03,50.01,81.86,34.35,26.01,27.14
534,34.49,37.96,3.47,37.96,22.63,29.11,6.48,29.11,21.04,26.24,5.19,0.08,54.77,90.00,37.97,21.89,28.57
535,42.99,31.91,11.08,42.99,26.71,26.37,0.34,26.71,26.39,23.95,2.44,0.09,52.50,85.29,35.41,27.28,26.78
536,35.74,34.98,0.76,35.74,27.46,26.51,0.95,27.46,24.93,24.41,0.52,0.06,56.70,90.00,36.13,27.68,25.89
537,35.15,34.83,0.32,35.15,26.65,25.58,1.07,26.65,24.75,24.37,0.38,0.07,53.25,90.00,39.41,26.79,25.65
538,34.71,37.14,2.43,37.14,27.14,24.84,2.30,27.14,24.60,23.97,0.64,0.08,55.02,90.00,37.73,27.38,25.52
539,30.74,34.52,3.78,34.52,25.83,24.63,1.20,25.83,23.78,21.93,1.85,0.10,56.91,89.30,35.23,26.86,24.23
540,36.04,38.36,2.32,38.36,25.33,28.12,2.79,28.12,24.41,26.74,2.33,0.06,54.34,90.00,38.37,25.02,28.91
541,31.62,30.33,1.29,31.62,25.75,25.44,0.31,25.75,23.99,23.38,0.61,0.03,52.27,85.83,36.18,26.60,27.06
542,34.75,41.54,6.78,41.54,26.55,31.44,4.89,31.44,24.24,26.87,2.63,0.09,55.00,83.71,31.46,27.12,31.65
543,34.46,32.35,2.11,34.46,28.60,27.93,0.67,28.60,25.59,24.02,1.57,0.02,48.61,81.73,35.55,28.72,27.77
544,38.31,34.10,4.22,38.31,30.37,28.10,2.27,30.37,27.84,25.66,2.18,0.09,55.53,85.22,32.46,31.00,28.08
545,34.84,35.45,0.61,35.45,25.06,25.96,0.90,25.96,23.15,24.26,1.12,0.08,58.60,90.00,34.33,25.09,27.18
546,39.16,37.84,1.32,39.16,27.54,25.60,1.95,27.54,25.54,25.00,0.54,0.09,53.67,90.00,39.02,26.92,26.09
547,29.28,37.67,8.39,37.67,24.99,26.98,1.99,26.98,23.19,25.63,2.44,0.07,54.34,90.00,38.37,26.07,27.43
548,29.37,32.63,3.26,32.63,26.69,25.71,0.98,26.69,23.65,23.42,0.23,0.02,50.01,81.86,34.34,27.80,25.59
549,35.91,33.72,2.19,35.91,25.68,25.69,0.02,25.69,24.13,23.69,0.44,0.06,56.70,90.00,36.13,26.43,26.30
550,32.68,30.66,2.01,32.68,26.32,24.09,2.23,26.32,24.57,22.10,2.47,0.05,45.22,80.39,37.43,27.25,23.72
551,34.29,33.01,1.28,34.29,27.34,25.53,1.81,27.34,25.30,24.04,1.26,0.07,55.59,89.32,36.51,28.40,25.91
552,32.03,35.58,3.55,35.58,25.95,28.84,2.89,28.84,24.13,25.81,1.68,0.05,55.97,90.00,36.83,26.41,28.38
553,40.91,34.17,6.73,40.91,27.16,28.63,1.47,28.63,26.48,25.09,1.38,0.10,49.04,79.35,32.76,27.84,29.59
554,32.10,34.77,2.67,34.77,25.76,28.47,2.71,28.47,24.21,25.42,1.21,0.03,55.92,88.06,34.93,26.81,28.95
555,36.26,38.99,2.73,38.99,28.26,24.92,3.35,28.26,24.98,24.71,0.28,0.10,53.22,88.88,38.32,26.66,25.43
556,32.59,37.98,5.40,37.98,27.86,28.54,0.68,28.54,24.83,25.79,0.96,0.06,54.58,89.97,38.12,28.07,26.67
557,37.66,34.25,3.40,37.66,27.11,25.96,1.16,27.11,25.36,23.31,2.05,0.05,54.58,88.21,36.36,26.29,26.41
558,35.17,33.03,2.14,35.17,28.27,22.07,6.20,28.27,25.45,21.50,3.95,0.05,54.45,90.00,38.27,28.56,22.42
559,32.65,30.20,2.45,32.65,27.76,26.95,0.81,27.76,25.31,23.34,1.97,0.02,50.34,78.97,31.15,28.17,27.25
560,36.27,33.68,2.60,36.27,27.39,26.34,1.05,27.39,25.77,24.48,1.29,0.08,51.42,82.52,33.68,27.94,26.59
561,31.03,33.82,2.79,33.82,26.24,25.73,0.51,26.24,22.82,24.20,1.38,0.07,55.91,89.19,36.08,26.03,26.68
562,38.41,32.32,6.09,38.41,27.97,26.73,1.24,27.97,25.68,23.12,2.56,0.09,59.97,90.00,33.03,28.35,26.98
563,37.27,32.51,4.76,37.27,29.50,28.73,0.77,29.50,26.17,25.80,0.37,0.06,65.24,90.00,28.02,30.03,30.21
564,33.36,36.84,3.48,36.84,28.58,27.98,0.61,28.58,25.84,24.75,1.08,0.05,57.94,90.00,34.95,28.84,27.88
565,33.37,29.82,3.55,33.37,25.32,26.92,1.60,26.92,23.35,24.16,0.81,0.01,50.18,83.51,35.84,25.44,27.88
566,31.21,33.06,1.85,33.06,26.44,24.28,2.16,26.44,23.63,21.95,1.68,0.04,60.00,90.00,33.00,26.98,24.71
567,34.52,32.61,1.91,34.52,26.01,25.86,0.15,26.01,24.07,24.03,0.04,0.03,41.63,77.68,38.13,26.03,26.57
568,36.24,30.38,5.86,36.24,27.31,24.07,3.24,27.31,24.82,22.04,2.77,0.04,50.00,81.37,33.88,28.03,24.69
569,36.70,34.68,2.02,36.70,25.28,26.75,1.47,26.75,23.66,24.67,1.01,0.10,51.01,85.49,37.03,25.23,26.98
570,30.40,32.02,1.62,32.02,26.73,28.12,1.40,28.12,23.50,24.99,1.49,0.02,39.70,69.02,31.31,27.91,28.11
571,40.39,34.98,5.42,40.39,26.87,28.72,1.86,28.72,26.02,26.82,0.80,0.08,57.11,90.00,35.75,26.38,29.27
572,35.60,36.54,0.94,36.54,26.81,28.73,1.92,28.73,24.35,25.06,0.70,0.09,54.33,86.83,35.22,26.78,27.37
573,34.10,35.67,1.57,35.67,25.34,28.15,2.81,28.15,22.85,25.16,2.30,0.07,44.16,81.21,39.26,24.02,27.17
574,29.61,33.83,4.23,33.83,24.18,26.83,2.65,26.83,22.95,24.32,1.37,0.05,52.00,83.92,34.52,25.34,26.79
575,28.43,28.08,0.35,28.43,24.30,23.69,0.62,24.30,22.25,20.90,1.35,0.03,54.98,90.00,37.77,25.45,23.85
576,31.10,31.52,0.42,31.52,28.40,27.22,1.18,28.40,24.29,24.32,0.02,0.03,62.78,90.00,30.36,28.76,28.53
