,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
843,35.50,36.54,1.04,36.54,29.41,31.41,2.01,31.41,25.19,26.23,1.04,0.03,46.27,77.39,33.43,0.83,0.90,-19.78,-25.58
844,36.02,33.37,2.65,36.02,30.81,28.76,2.05,30.81,26.66,24.22,2.44,0.03,43.65,75.39,33.93,0.87,0.83,-23.81,-19.31
845,28.24,34.41,6.17,34.41,22.44,28.05,5.62,28.05,21.14,24.86,3.72,0.07,48.12,83.28,37.56,0.87,0.86,-17.59,-20.10
846,36.61,35.44,1.17,36.61,29.18,30.98,1.80,30.98,24.31,25.94,1.63,0.04,56.61,87.91,34.13,0.84,0.84,-19.65,-22.56
847,35.67,35.23,0.43,35.67,28.55,28.98,0.44,28.98,25.18,25.48,0.31,0.09,43.92,73.54,31.81,0.90,0.90,-24.64,-23.47
848,33.65,38.77,5.13,38.77,29.32,28.49,0.83,29.32,25.84,24.43,1.41,0.08,43.17,76.76,35.75,0.93,0.81,-25.53,-17.45
849,33.91,34.23,0.32,34.23,27.60,27.91,0.31,27.91,24.25,24.15,0.09,0.05,57.18,90.00,35.68,0.88,0.88,-21.36,-20.69
850,40.40,34.14,6.26,40.40,31.85,27.25,4.61,31.85,27.32,24.30,3.02,0.03,53.55,86.69,35.82,0.81,0.89,-19.46,-22.26
851,36.90,34.40,2.49,36.90,29.02,27.15,1.87,29.02,24.51,24.66,0.14,0.06,48.12,80.48,34.76,0.84,0.88,-19.32,-22.07
852,40.14,38.79,1.35,40.14,30.54,28.80,1.74,30.54,26.62,26.10,0.51,0.09,56.59,87.87,34.12,0.89,0.91,-24.02,-23.84
853,42.87,39.26,3.61,42.87,31.22,29.49,1.73,31.22,26.58,25.52,1.06,0.08,45.64,77.46,34.09,0.82,0.82,-20.84,-19.78
854,33.25,36.07,2.82,36.07,26.86,31.34,4.49,31.34,23.85,26.86,3.01,0.04,34.41,62.93,30.24,0.88,0.91,-21.71,-25.91
855,34.12,36.94,2.83,36.94,28.21,31.10,2.89,31.10,22.86,26.74,3.88,0.05,50.60,77.73,29.65,0.81,0.88,-18.18,-25.47
856,39.68,33.23,6.46,39.68,30.02,27.91,2.10,30.02,25.76,24.91,0.85,0.06,57.62,85.79,31.05,0.84,0.90,-21.25,-24.20
857,35.68,35.23,0.45,35.68,30.87,27.77,3.10,30.87,25.88,24.30,1.58,0.04,53.69,80.33,29.33,0.87,0.83,-25.23,-20.07
858,32.73,38.88,6.15,38.88,27.71,28.79,1.08,28.79,23.14,25.19,2.05,0.09,56.59,90.00,36.23,0.90,0.89,-22.67,-20.70
859,33.21,32.28,0.92,33.21,26.83,28.73,1.91,28.73,24.23,24.37,0.15,0.02,62.36,89.71,30.47,0.87,0.87,-21.85,-23.50
