,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2
182,6.81,5.51,1.30,6.81,5.84,4.51,1.33,0.03,7.53,12.50,6.10,497.01,5.89,4.62
183,5.74,5.50,0.24,5.74,4.82,4.68,0.14,0.01,9.62,15.45,7.27,582.72,4.95,4.69
184,5.41,6.14,0.73,6.14,4.55,5.01,0.46,0.01,8.79,14.13,6.66,534.07,4.49,4.97
185,7.05,5.18,1.87,7.05,5.99,4.26,1.73,0.00,9.36,14.05,6.10,469.25,6.26,4.36
186,6.89,5.36,1.53,6.89,6.00,4.26,1.74,0.03,10.16,14.94,6.31,478.29,6.20,4.25
187,6.33,6.11,0.22,6.33,5.32,5.30,0.02,0.02,10.87,14.76,5.52,389.13,5.30,5.48
188,5.38,5.09,0.29,5.38,4.51,4.35,0.17,0.00,9.92,15.80,7.37,587.78,4.50,4.48
189,6.75,6.65,0.10,6.75,5.85,5.58,0.27,0.06,9.91,13.03,4.60,311.67,6.13,6.15
190,4.99,7.09,2.09,7.09,4.38,5.97,1.59,0.00,6.91,11.95,6.07,503.44,4.48,6.18
191,5.18,7.13,1.94,7.13,4.54,6.17,1.63,0.06,8.67,13.39,6.02,471.43,4.58,6.60
192,6.66,5.09,1.57,6.66,5.61,4.15,1.45,0.00,8.00,13.53,6.72,552.35,5.91,4.28
193,6.94,6.59,0.35,6.94,5.81,5.53,0.27,0.14,8.64,11.82,4.47,317.58,6.46,5.79
194,7.07,5.47,1.60,7.07,5.93,4.37,1.56,0.08,9.20,13.67,5.85,446.74,6.32,4.39
195,5.24,4.68,0.56,5.24,4.39,3.79,0.60,0.00,7.33,13.01,6.78,567.96,4.50,4.05
196,5.33,7.33,2.00,7.33,4.47,6.15,1.68,0.07,9.58,14.04,5.90,445.92,4.53,6.41
197,5.59,5.83,0.24,5.83,4.71,4.83,0.12,0.00,10.45,15.66,6.77,520.58,4.71,5.14
198,6.60,5.42,1.19,6.60,5.78,4.49,1.29,0.00,7.62,12.77,6.29,514.39,6.07,4.59
199,5.48,5.92,0.44,5.92,4.59,4.98,0.38,0.00,8.71,13.97,6.57,526.43,4.71,4.95
200,7.08,5.49,1.58,7.08,6.11,4.40,1.71,0.01,9.20,14.12,6.30,491.82,6.39,4.46
201,5.38,5.39,0.01,5.39,4.65,4.52,0.12,0.00,9.51,16.00,7.92,649.23,4.70,4.44
202,5.32,5.58,0.25,5.58,4.55,4.69,0.14,0.00,9.58,14.96,6.82,538.18,4.67,4.93
203,5.35,6.14,0.80,6.14,4.38,5.33,0.96,0.01,10.03,15.28,6.75,524.69,4.42,5.52
204,5.19,6.91,1.72,6.91,4.32,5.86,1.54,0.01,9.54,14.62,6.51,507.84,4.38,6.20
205,5.04,6.78,1.74,6.78,4.32,5.81,1.49,0.03,9.67,14.16,5.94,448.69,4.36,6.24
206,5.29,5.08,0.20,5.29,4.37,4.20,0.16,0.00,7.47,13.32,6.97,585.45,4.64,4.28
207,6.72,5.69,1.03,6.72,5.70,4.82,0.87,0.02,8.42,13.29,6.14,487.53,5.78,5.00
208,4.85,6.70,1.85,6.70,4.05,5.78,1.74,0.04,9.05,14.48,6.79,543.19,4.26,6.19
209,6.71,7.10,0.39,7.10,5.76,6.10,0.34,0.09,6.42,8.92,3.46,249.92,6.25,6.49
210,6.95,5.62,1.33,6.95,5.70,4.60,1.10,0.04,9.09,13.32,5.59,423.07,6.28,4.55
211,7.28,5.29,1.99,7.28,5.91,4.26,1.65,0.07,9.05,13.57,5.88,451.92,6.35,4.52
212,5.73,5.19,0.54,5.73,4.70,4.33,0.37,0.00,10.10,16.00,7.42,590.48,5.11,4.41
213,5.38,6.67,1.29,6.67,4.49,5.78,1.28,0.09,11.92,16.00,5.86,407.35,4.61,6.29
214,5.83,5.19,0.64,5.83,5.09,4.35,0.74,0.01,8.60,14.03,6.72,542.76,5.25,4.53
215,5.21,5.98,0.78,5.98,4.50,5.12,0.63,0.00,10.78,16.00,6.84,522.36,4.47,5.36
216,5.03,5.29,0.26,5.29,4.23,4.49,0.26,0.00,9.52,15.90,7.81,637.92,4.54,4.58
217,4.75,5.24,0.49,5.24,3.97,4.28,0.32,0.00,9.61,16.00,7.83,638.97,3.95,4.54
218,5.85,6.94,1.09,6.94,5.11,6.04,0.93,0.02,8.95,12.96,5.36,401.71,5.36,6.53
