NDVILocation,Season,Full Season,Preseason,PosZNDVI,NegZNDVI,PreNDVI,PostNDVI,Cluster,Location,Losses,HerdSize,MortalityRate,TotalInsured,SRSD,Good Regime
Maikona,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,2454084.385567913,849219.4830183561,1604864.9025495567,1604864.9025495567,Upper,TURBI,25.167599067599067,192.0,0.13108124514374514,5466.0,False,True
Maikona,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,311027.4178176526,2110046.678731312,-1799019.260913659,-1799019.260913659,Upper,BUBISA,178.19918677148277,180.5,0.9872531123073838,6756.0,False,False
Maikona,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,311027.4178176526,2110046.678731312,-1799019.260913659,-1799019.260913659,Upper,KALACHA,74.2994698284172,105.58333333333333,0.7037045287616468,5784.0,False,False
Maikona,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,311027.4178176526,2110046.678731312,-1799019.260913659,-1799019.260913659,Upper,TURBI,154.07683982683983,215.9,0.7136490960020372,6477.0,False,False
Maikona,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,1558936.0508883237,544533.1318110065,1014402.919077317,1014402.919077317,Upper,BUBISA,25.791666666666668,131.66666666666666,0.1958860759493671,2220.0,False,True
Maikona,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,1558936.0508883237,544533.1318110065,1014402.919077317,1014402.919077317,Upper,KALACHA,23.122432306255835,66.64285714285714,0.3469603990220597,3735.0,False,True
Maikona,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,1558936.0508883237,544533.1318110065,1014402.919077317,1014402.919077317,Upper,TURBI,33.03095238095238,87.83333333333333,0.37606397397668745,1957.0,False,True
Maikona,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,1590923.5738808415,633630.4723067844,957293.1015740572,957293.1015740572,Upper,BUBISA,34.55833333333333,124.8,0.2769097222222222,2698.0,False,True
Maikona,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,1590923.5738808415,633630.4723067844,957293.1015740572,957293.1015740572,Upper,KALACHA,21.58892838155996,65.78787878787878,0.3281596667855729,4851.0,False,True
Maikona,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,1590923.5738808415,633630.4723067844,957293.1015740572,957293.1015740572,Upper,TURBI,39.31547619047619,142.33333333333334,0.2762211441953831,2656.0,False,True
Maikona,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,952777.1254066412,1183558.4847032158,-230781.35929657452,-230781.35929657452,Upper,BUBISA,47.74444444444445,47.74444444444445,1.0,0.0,False,False
Maikona,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,952777.1254066412,1183558.4847032158,-230781.35929657452,-230781.35929657452,Upper,KALACHA,49.71821747856231,49.71821747856231,1.0,0.0,False,False
Maikona,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,952777.1254066412,1183558.4847032158,-230781.35929657452,-230781.35929657452,Upper,TURBI,35.24404761904762,35.24404761904762,1.0,0.0,False,False
Marsabit Central,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,67162.24957492258,64076.061706309054,3086.1878686135246,3086.1878686135246,Lower,DAKABARICHA,6.5,39.0,0.16666666666666666,113.0,False,True
Marsabit Central,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,8925.029592797348,134223.96795234864,-125298.93835955128,-125298.93835955128,Lower,DAKABARICHA,82.55,95.66666666666667,0.8628919860627177,787.0,False,False
Marsabit Central,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,178041.02948475187,7980.275061165621,170060.75442358624,170060.75442358624,Lower,DAKABARICHA,11.0,31.0,0.3548387096774194,90.0,False,True
Marsabit Central,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,135426.34776336286,16540.46783746273,118885.87992590012,118885.87992590012,Lower,DAKABARICHA,23.5,25.333333333333332,0.9276315789473685,138.0,False,True
Marsabit Central,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,28723.370237714396,50605.67372313935,-21882.30348542496,-21882.30348542496,Lower,DAKABARICHA,14.0,14.0,1.0,0.0,False,False
Sagante/Jaldesa,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,41916.445880697,119667.71176207931,-77751.26588138234,-77751.26588138234,Lower,DIRIB GOMBO,17.727218614718616,23.7,0.7479839077940345,614.0,False,False
Sagante/Jaldesa,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,41916.445880697,119667.71176207931,-77751.26588138234,-77751.26588138234,Lower,SAGANTE,14.0,40.0,0.35,62.0,False,False
Sagante/Jaldesa,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,2404.942696794045,218027.37765864405,-215622.43496185,-215622.43496185,Lower,DIRIB GOMBO,32.85024224806202,32.85024224806202,1.0,1108.0,False,False
Sagante/Jaldesa,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,2404.942696794045,218027.37765864405,-215622.43496185,-215622.43496185,Lower,SAGANTE,14.26388888888889,16.0,0.8914930555555556,192.0,False,False
Sagante/Jaldesa,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,133822.44087635397,11164.95811496437,122657.4827613896,122657.4827613896,Lower,DIRIB GOMBO,10.833333333333334,30.0,0.3611111111111111,231.0,False,True
Sagante/Jaldesa,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,133822.44087635397,11164.95811496437,122657.4827613896,122657.4827613896,Lower,SAGANTE,6.666666666666667,9.0,0.7407407407407408,52.0,False,True
Sagante/Jaldesa,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,208803.10199337505,21529.273272806782,187273.82872056824,187273.82872056824,Lower,DIRIB GOMBO,16.485714285714288,60.75,0.2713697824808936,574.0,False,True
Sagante/Jaldesa,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,208803.10199337505,21529.273272806782,187273.82872056824,187273.82872056824,Lower,SAGANTE,8.616666666666667,26.0,0.33141025641025645,173.0,False,True
Sagante/Jaldesa,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,54995.57702945349,60549.727719446586,-5554.150689993096,-5554.150689993096,Lower,DIRIB GOMBO,15.564285714285713,15.564285714285713,1.0,0.0,False,False
Sagante/Jaldesa,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,54995.57702945349,60549.727719446586,-5554.150689993096,-5554.150689993096,Lower,SAGANTE,15.5,15.5,1.0,0.0,False,False
