hhid,Cluster,NDVILocation,Season,HerdSize,LivestockLosses,MortalityRate
5022,Upper,Maikona,LRLD 2013,45.0,5.0,0.1111111111111111
5022,Upper,Maikona,SRSD 2009,42.0,9.0,0.21428571428571427
5022,Upper,Maikona,SRSD 2010,36.0,2.0,0.05555555555555555
5022,Upper,Maikona,SRSD 2011,53.0,5.0,0.09433962264150944
5024,Upper,Maikona,LRLD 2009,,10.0,
5024,Upper,Maikona,LRLD 2012,38.0,4.0,0.10526315789473684
5024,Upper,Maikona,LRLD 2013,60.0,2.0,0.03333333333333333
5024,Upper,Maikona,SRSD 2010,63.0,16.0,0.25396825396825395
5024,Upper,Maikona,SRSD 2014,20.0,20.0,1.0
5025,Upper,Maikona,LRLD 2009,,13.0,
5027,Upper,Maikona,SRSD 2009,25.0,9.0,0.36
5028,Upper,Maikona,LRLD 2009,,7.0,
5029,Upper,Maikona,LRLD 2009,,20.0,
5029,Upper,Maikona,SRSD 2008,,2.0,
5030,Upper,Maikona,LRLD 2009,,12.0,
5030,Upper,Maikona,LRLD 2011,59.0,43.0,0.7288135593220338
5030,Upper,Maikona,LRLD 2012,22.0,1.0,0.045454545454545456
5030,Upper,Maikona,LRLD 2013,39.0,2.0,0.05128205128205128
5030,Upper,Maikona,SRSD 2009,39.0,6.0,0.15384615384615385
5030,Upper,Maikona,SRSD 2010,59.0,12.0,0.2033898305084746
5030,Upper,Maikona,SRSD 2011,22.0,10.0,0.45454545454545453
5031,Upper,Maikona,LRLD 2009,,22.0,
5031,Upper,Maikona,LRLD 2010,49.0,34.0,0.6938775510204082
5031,Upper,Maikona,LRLD 2011,37.0,5.0,0.13513513513513514
5031,Upper,Maikona,LRLD 2012,38.0,4.0,0.10526315789473684
5031,Upper,Maikona,LRLD 2015,5.0,5.0,1.0
5031,Upper,Maikona,SRSD 2009,49.0,20.0,0.40816326530612246
5031,Upper,Maikona,SRSD 2011,38.0,2.0,0.05263157894736842
5031,Upper,Maikona,SRSD 2012,20.0,4.0,0.2
5031,Upper,Maikona,SRSD 2014,10.0,10.0,1.0
5034,Upper,Maikona,LRLD 2009,,13.0,
5034,Upper,Maikona,LRLD 2010,29.0,2.0,0.06896551724137931
5034,Upper,Maikona,SRSD 2008,,2.0,
5037,Upper,Maikona,LRLD 2011,53.0,29.0,0.5471698113207547
5037,Upper,Maikona,LRLD 2012,19.0,2.0,0.10526315789473684
5037,Upper,Maikona,LRLD 2013,35.0,6.0,0.17142857142857143
5037,Upper,Maikona,LRLD 2015,11.0,11.0,1.0
5037,Upper,Maikona,SRSD 2008,,5.0,
5037,Upper,Maikona,SRSD 2011,19.0,3.0,0.15789473684210525
5037,Upper,Maikona,SRSD 2012,35.0,11.0,0.3142857142857143
5037,Upper,Maikona,SRSD 2014,21.0,21.0,1.0
5038,Upper,Maikona,LRLD 2009,,36.0,
5038,Upper,Maikona,LRLD 2010,154.0,10.0,0.06493506493506493
5038,Upper,Maikona,LRLD 2011,154.0,34.0,0.22077922077922077
5038,Upper,Maikona,LRLD 2013,188.0,38.0,0.20212765957446807
5038,Upper,Maikona,SRSD 2009,154.0,1.0,0.006493506493506494
5038,Upper,Maikona,SRSD 2011,121.0,2.0,0.01652892561983471
5038,Upper,Maikona,SRSD 2012,188.0,6.0,0.031914893617021274
5041,Upper,Maikona,LRLD 2009,,30.0,
5041,Upper,Maikona,LRLD 2011,94.0,56.0,0.5957446808510638
5041,Upper,Maikona,SRSD 2009,82.0,82.0,1.0
5041,Upper,Maikona,SRSD 2012,49.0,1.0,0.02040816326530612
5041,Upper,Maikona,SRSD 2014,34.0,34.0,1.0
5042,Upper,Maikona,LRLD 2009,,27.0,
5042,Upper,Maikona,SRSD 2008,,4.0,
5043,Upper,Maikona,LRLD 2009,,21.0,
5043,Upper,Maikona,LRLD 2010,36.0,8.0,0.2222222222222222
5043,Upper,Maikona,LRLD 2011,33.0,7.0,0.21212121212121213
5043,Upper,Maikona,LRLD 2013,35.0,3.0,0.08571428571428572
5043,Upper,Maikona,LRLD 2015,5.0,5.0,1.0
5043,Upper,Maikona,SRSD 2008,,2.0,
5043,Upper,Maikona,SRSD 2011,45.0,9.0,0.2
5044,Upper,Maikona,LRLD 2010,27.0,2.0,0.07407407407407407
5045,Upper,Maikona,LRLD 2009,,21.0,
5045,Upper,Maikona,LRLD 2011,17.0,8.0,0.47058823529411764
5045,Upper,Maikona,LRLD 2012,16.0,1.0,0.0625
5045,Upper,Maikona,LRLD 2015,7.0,7.0,1.0
5045,Upper,Maikona,SRSD 2008,,2.0,
5045,Upper,Maikona,SRSD 2009,15.0,2.0,0.13333333333333333
5045,Upper,Maikona,SRSD 2010,17.0,2.0,0.11764705882352941
5045,Upper,Maikona,SRSD 2014,12.0,12.0,1.0
5046,Upper,Maikona,LRLD 2009,,33.0,
5046,Upper,Maikona,LRLD 2012,38.0,11.0,0.2894736842105263
5046,Upper,Maikona,LRLD 2015,6.0,6.0,1.0
5046,Upper,Maikona,SRSD 2008,,4.0,
5046,Upper,Maikona,SRSD 2009,12.0,2.0,0.16666666666666666
5046,Upper,Maikona,SRSD 2010,27.0,3.0,0.1111111111111111
5046,Upper,Maikona,SRSD 2011,38.0,11.0,0.2894736842105263
5046,Upper,Maikona,SRSD 2014,10.0,10.0,1.0
5047,Upper,Maikona,LRLD 2009,,24.0,
5047,Upper,Maikona,LRLD 2010,43.0,5.0,0.11627906976744186
5047,Upper,Maikona,LRLD 2011,45.0,3.0,0.06666666666666667
5047,Upper,Maikona,LRLD 2012,39.0,5.0,0.1282051282051282
5047,Upper,Maikona,LRLD 2013,38.0,2.0,0.05263157894736842
5047,Upper,Maikona,LRLD 2015,5.0,5.0,1.0
5047,Upper,Maikona,SRSD 2008,,4.0,
5047,Upper,Maikona,SRSD 2010,45.0,4.0,0.08888888888888889
5047,Upper,Maikona,SRSD 2011,39.0,5.0,0.1282051282051282
5047,Upper,Maikona,SRSD 2012,38.0,2.0,0.05263157894736842
5047,Upper,Maikona,SRSD 2014,4.0,4.0,1.0
5049,Upper,Maikona,LRLD 2009,,42.0,
5049,Upper,Maikona,LRLD 2010,57.0,1.0,0.017543859649122806
5049,Upper,Maikona,LRLD 2011,74.0,14.0,0.1891891891891892
5049,Upper,Maikona,LRLD 2013,42.0,4.0,0.09523809523809523
5049,Upper,Maikona,LRLD 2015,2.0,2.0,1.0
5049,Upper,Maikona,SRSD 2009,57.0,1.0,0.017543859649122806
5049,Upper,Maikona,SRSD 2010,74.0,4.0,0.05405405405405406
5049,Upper,Maikona,SRSD 2012,42.0,1.0,0.023809523809523808
5050,Upper,Maikona,LRLD 2008,,1.0,
5050,Upper,Maikona,LRLD 2009,,36.0,
5050,Upper,Maikona,LRLD 2011,25.0,3.0,0.12
5050,Upper,Maikona,LRLD 2015,7.0,7.0,1.0
5050,Upper,Maikona,SRSD 2008,,2.0,
5050,Upper,Maikona,SRSD 2009,17.0,3.0,0.17647058823529413
5050,Upper,Maikona,SRSD 2010,25.0,1.0,0.04
5050,Upper,Maikona,SRSD 2014,6.0,6.0,1.0
5051,Upper,Maikona,LRLD 2008,,3.0,
5051,Upper,Maikona,LRLD 2009,,21.0,
5051,Upper,Maikona,LRLD 2011,22.0,3.0,0.13636363636363635
5051,Upper,Maikona,LRLD 2013,14.0,2.0,0.14285714285714285
5051,Upper,Maikona,SRSD 2008,,2.0,
5051,Upper,Maikona,SRSD 2009,22.0,4.0,0.18181818181818182
5051,Upper,Maikona,SRSD 2010,22.0,3.0,0.13636363636363635
5052,Upper,Maikona,LRLD 2009,,23.0,
5052,Upper,Maikona,LRLD 2010,22.0,5.0,0.22727272727272727
5052,Upper,Maikona,LRLD 2011,14.0,2.0,0.14285714285714285
5052,Upper,Maikona,LRLD 2012,24.0,1.0,0.041666666666666664
5052,Upper,Maikona,LRLD 2013,43.0,2.0,0.046511627906976744
5052,Upper,Maikona,LRLD 2015,9.0,9.0,1.0
5052,Upper,Maikona,SRSD 2008,,5.0,
5052,Upper,Maikona,SRSD 2009,22.0,5.0,0.22727272727272727
5052,Upper,Maikona,SRSD 2011,24.0,2.0,0.08333333333333333
5052,Upper,Maikona,SRSD 2012,43.0,1.0,0.023255813953488372
5052,Upper,Maikona,SRSD 2014,21.0,21.0,1.0
5053,Upper,Maikona,LRLD 2010,67.0,3.0,0.04477611940298507
5053,Upper,Maikona,LRLD 2011,107.0,45.0,0.4205607476635514
5053,Upper,Maikona,LRLD 2012,95.0,8.0,0.08421052631578947
5053,Upper,Maikona,LRLD 2015,177.0,177.0,1.0
5053,Upper,Maikona,SRSD 2009,67.0,7.0,0.1044776119402985
5053,Upper,Maikona,SRSD 2011,95.0,2.0,0.021052631578947368
5053,Upper,Maikona,SRSD 2012,77.0,9.0,0.11688311688311688
5053,Upper,Maikona,SRSD 2014,2.0,2.0,1.0
5054,Upper,Maikona,LRLD 2009,,4.0,
5054,Upper,Maikona,LRLD 2015,1.0,1.0,1.0
5054,Upper,Maikona,SRSD 2008,,1.0,
5054,Upper,Maikona,SRSD 2009,18.0,5.0,0.2777777777777778
5054,Upper,Maikona,SRSD 2010,13.0,4.0,0.3076923076923077
5055,Upper,Maikona,LRLD 2009,,16.0,
5055,Upper,Maikona,LRLD 2012,64.0,5.0,0.078125
5055,Upper,Maikona,LRLD 2013,45.0,7.0,0.15555555555555556
5055,Upper,Maikona,LRLD 2015,10.0,10.0,1.0
5055,Upper,Maikona,SRSD 2009,39.0,8.0,0.20512820512820512
5055,Upper,Maikona,SRSD 2011,64.0,7.0,0.109375
5055,Upper,Maikona,SRSD 2012,45.0,10.0,0.2222222222222222
5056,Upper,Maikona,LRLD 2009,,7.0,
5056,Upper,Maikona,LRLD 2011,26.0,20.0,0.7692307692307693
5056,Upper,Maikona,LRLD 2012,27.0,1.0,0.037037037037037035
5056,Upper,Maikona,LRLD 2013,50.0,1.0,0.02
5056,Upper,Maikona,SRSD 2009,38.0,2.0,0.05263157894736842
5057,Upper,Maikona,LRLD 2008,,5.0,
5057,Upper,Maikona,LRLD 2009,,19.0,
5057,Upper,Maikona,LRLD 2012,101.0,3.0,0.0297029702970297
5057,Upper,Maikona,LRLD 2013,115.0,4.0,0.034782608695652174
5057,Upper,Maikona,LRLD 2015,12.0,12.0,1.0
5057,Upper,Maikona,SRSD 2009,30.0,1.0,0.03333333333333333
5057,Upper,Maikona,SRSD 2010,36.0,18.0,0.5
5057,Upper,Maikona,SRSD 2011,101.0,4.0,0.039603960396039604
5057,Upper,Maikona,SRSD 2012,115.0,10.0,0.08695652173913043
5057,Upper,Maikona,SRSD 2014,28.0,28.0,1.0
5058,Upper,Maikona,LRLD 2009,,32.0,
5061,Upper,Maikona,LRLD 2009,,4.0,
5061,Upper,Maikona,LRLD 2011,61.0,2.0,0.03278688524590164
5061,Upper,Maikona,LRLD 2012,50.0,4.0,0.08
5061,Upper,Maikona,LRLD 2013,81.0,4.0,0.04938271604938271
5061,Upper,Maikona,LRLD 2015,9.0,9.0,1.0
5061,Upper,Maikona,SRSD 2009,71.0,22.0,0.30985915492957744
5061,Upper,Maikona,SRSD 2011,50.0,3.0,0.06
5061,Upper,Maikona,SRSD 2012,81.0,5.0,0.06172839506172839
5066,Upper,Maikona,LRLD 2009,,10.0,
5066,Upper,Maikona,LRLD 2010,35.0,1.0,0.02857142857142857
5066,Upper,Maikona,LRLD 2011,29.0,7.0,0.2413793103448276
5066,Upper,Maikona,SRSD 2009,35.0,6.0,0.17142857142857143
5066,Upper,Maikona,SRSD 2011,25.0,6.0,0.24
5067,Upper,Maikona,SRSD 2009,108.0,27.0,0.25
5067,Upper,Maikona,SRSD 2014,13.0,13.0,1.0
5068,Upper,Maikona,LRLD 2009,,16.0,
5068,Upper,Maikona,LRLD 2011,38.0,1.0,0.02631578947368421
5068,Upper,Maikona,LRLD 2012,42.0,8.0,0.19047619047619047
5068,Upper,Maikona,SRSD 2009,59.0,13.0,0.22033898305084745
5068,Upper,Maikona,SRSD 2010,38.0,1.0,0.02631578947368421
5068,Upper,Maikona,SRSD 2011,42.0,8.0,0.19047619047619047
5069,Upper,Maikona,LRLD 2009,,19.0,
5069,Upper,Maikona,LRLD 2010,54.0,3.0,0.05555555555555555
5069,Upper,Maikona,SRSD 2009,54.0,9.0,0.16666666666666666
5071,Upper,Maikona,LRLD 2009,,26.0,
5072,Upper,Maikona,LRLD 2009,,11.0,
5072,Upper,Maikona,LRLD 2011,25.0,11.0,0.44
5072,Upper,Maikona,LRLD 2013,48.0,5.0,0.10416666666666667
5072,Upper,Maikona,SRSD 2009,43.0,20.0,0.46511627906976744
5072,Upper,Maikona,SRSD 2011,48.0,3.0,0.0625
5073,Upper,Maikona,LRLD 2009,,11.0,
5073,Upper,Maikona,LRLD 2011,37.0,37.0,1.0
5073,Upper,Maikona,LRLD 2013,16.0,1.0,0.0625
5073,Upper,Maikona,LRLD 2015,1.0,1.0,1.0
5073,Upper,Maikona,SRSD 2009,22.0,8.0,0.36363636363636365
5073,Upper,Maikona,SRSD 2011,95.0,54.0,0.5684210526315789
5073,Upper,Maikona,SRSD 2012,16.0,1.0,0.0625
5073,Upper,Maikona,SRSD 2014,3.0,3.0,1.0
6001,Upper,Maikona,LRLD 2009,,25.0,
6001,Upper,Maikona,LRLD 2011,3.0,3.0,1.0
6001,Upper,Maikona,LRLD 2012,22.0,7.0,0.3181818181818182
6001,Upper,Maikona,LRLD 2015,4.0,4.0,1.0
6001,Upper,Maikona,SRSD 2008,,95.0,
6001,Upper,Maikona,SRSD 2012,33.0,5.0,0.15151515151515152
6002,Upper,Maikona,LRLD 2010,28.0,4.0,0.14285714285714285
6002,Upper,Maikona,LRLD 2013,75.0,5.0,0.06666666666666667
6002,Upper,Maikona,LRLD 2015,2.0,2.0,1.0
6002,Upper,Maikona,SRSD 2008,,220.0,
6002,Upper,Maikona,SRSD 2009,28.0,6.0,0.21428571428571427
6002,Upper,Maikona,SRSD 2010,81.0,7.0,0.08641975308641975
6002,Upper,Maikona,SRSD 2011,80.0,25.0,0.3125
6002,Upper,Maikona,SRSD 2012,75.0,2.0,0.02666666666666667
6004,Upper,Maikona,LRLD 2009,,24.0,
6004,Upper,Maikona,LRLD 2010,88.0,6.0,0.06818181818181818
6004,Upper,Maikona,LRLD 2012,82.0,13.0,0.15853658536585366
6004,Upper,Maikona,LRLD 2013,95.0,1.0,0.010526315789473684
6004,Upper,Maikona,SRSD 2009,88.0,13.0,0.14772727272727273
6004,Upper,Maikona,SRSD 2010,131.0,5.0,0.03816793893129771
6004,Upper,Maikona,SRSD 2012,95.0,5.0,0.05263157894736842
6005,Upper,Maikona,LRLD 2009,,105.0,
6005,Upper,Maikona,LRLD 2010,266.0,9.0,0.03383458646616541
6005,Upper,Maikona,LRLD 2011,163.0,70.0,0.4294478527607362
6005,Upper,Maikona,LRLD 2013,120.0,11.0,0.09166666666666666
6005,Upper,Maikona,LRLD 2015,3.0,3.0,1.0
6005,Upper,Maikona,SRSD 2008,,28.0,
6005,Upper,Maikona,SRSD 2009,266.0,68.0,0.2556390977443609
6005,Upper,Maikona,SRSD 2010,163.0,3.0,0.018404907975460124
6005,Upper,Maikona,SRSD 2011,72.0,4.0,0.05555555555555555
6005,Upper,Maikona,SRSD 2014,14.0,14.0,1.0
6007,Upper,Maikona,LRLD 2009,,2.0,
6007,Upper,Maikona,LRLD 2012,22.0,1.0,0.045454545454545456
6007,Upper,Maikona,SRSD 2010,10.0,5.0,0.5
6007,Upper,Maikona,SRSD 2011,22.0,3.0,0.13636363636363635
6007,Upper,Maikona,SRSD 2012,20.0,1.0,0.05
6008,Upper,Maikona,LRLD 2008,,50.0,
6008,Upper,Maikona,LRLD 2009,,20.0,
6008,Upper,Maikona,LRLD 2010,20.0,2.0,0.1
6008,Upper,Maikona,LRLD 2011,24.0,9.0,0.375
6008,Upper,Maikona,LRLD 2012,10.0,1.0,0.1
6008,Upper,Maikona,LRLD 2015,11.0,11.0,1.0
6008,Upper,Maikona,SRSD 2010,24.0,6.0,0.25
6008,Upper,Maikona,SRSD 2014,20.0,20.0,1.0
6009,Upper,Maikona,LRLD 2010,68.0,26.0,0.38235294117647056
6009,Upper,Maikona,LRLD 2011,73.0,35.0,0.4794520547945205
6009,Upper,Maikona,LRLD 2015,3.0,3.0,1.0
6009,Upper,Maikona,SRSD 2008,,228.0,
6009,Upper,Maikona,SRSD 2010,73.0,1.0,0.0136986301369863
6009,Upper,Maikona,SRSD 2011,42.0,14.0,0.3333333333333333
6009,Upper,Maikona,SRSD 2014,3.0,3.0,1.0
6010,Upper,Maikona,LRLD 2009,,6.0,
6010,Upper,Maikona,LRLD 2012,7.0,2.0,0.2857142857142857
6010,Upper,Maikona,LRLD 2013,9.0,3.0,0.3333333333333333
6010,Upper,Maikona,SRSD 2008,,12.0,
6010,Upper,Maikona,SRSD 2009,4.0,1.0,0.25
6011,Upper,Maikona,LRLD 2012,31.0,6.0,0.1935483870967742
6011,Upper,Maikona,LRLD 2015,7.0,7.0,1.0
6011,Upper,Maikona,SRSD 2008,,180.0,
6011,Upper,Maikona,SRSD 2009,33.0,1.0,0.030303030303030304
6013,Upper,Maikona,LRLD 2009,,6.0,
6013,Upper,Maikona,LRLD 2011,2.0,1.0,0.5
6013,Upper,Maikona,LRLD 2013,7.0,2.0,0.2857142857142857
6014,Upper,Maikona,LRLD 2009,,4.0,
6014,Upper,Maikona,LRLD 2013,8.0,1.0,0.125
6014,Upper,Maikona,SRSD 2010,5.0,4.0,0.8
6014,Upper,Maikona,SRSD 2011,16.0,11.0,0.6875
6014,Upper,Maikona,SRSD 2012,8.0,4.0,0.5
6015,Upper,Maikona,LRLD 2009,,2.0,
6015,Upper,Maikona,LRLD 2015,1.0,1.0,1.0
6015,Upper,Maikona,SRSD 2011,27.0,7.0,0.25925925925925924
6016,Upper,Maikona,LRLD 2009,,35.0,
6016,Upper,Maikona,LRLD 2013,7.0,1.0,0.14285714285714285
6016,Upper,Maikona,SRSD 2011,4.0,2.0,0.5
6016,Upper,Maikona,SRSD 2014,5.0,5.0,1.0
6018,Upper,Maikona,LRLD 2009,,23.0,
6018,Upper,Maikona,LRLD 2011,37.0,11.0,0.2972972972972973
6018,Upper,Maikona,LRLD 2012,25.0,2.0,0.08
6018,Upper,Maikona,LRLD 2013,30.0,3.0,0.1
6018,Upper,Maikona,SRSD 2008,,46.0,
6018,Upper,Maikona,SRSD 2011,25.0,1.0,0.04
6018,Upper,Maikona,SRSD 2014,1.0,1.0,1.0
6019,Upper,Maikona,LRLD 2009,,9.0,
6019,Upper,Maikona,LRLD 2011,2.0,2.0,1.0
6019,Upper,Maikona,LRLD 2012,23.0,10.0,0.43478260869565216
6019,Upper,Maikona,LRLD 2015,9.0,9.0,1.0
6019,Upper,Maikona,SRSD 2008,,5.0,
6019,Upper,Maikona,SRSD 2012,24.0,7.0,0.2916666666666667
6019,Upper,Maikona,SRSD 2014,2.0,2.0,1.0
6020,Upper,Maikona,LRLD 2009,,4.0,
6020,Upper,Maikona,LRLD 2011,44.0,37.0,0.8409090909090909
6020,Upper,Maikona,LRLD 2012,219.0,18.0,0.0821917808219178
6020,Upper,Maikona,LRLD 2013,115.0,3.0,0.02608695652173913
6020,Upper,Maikona,SRSD 2009,46.0,12.0,0.2608695652173913
6020,Upper,Maikona,SRSD 2011,219.0,3.0,0.0136986301369863
6020,Upper,Maikona,SRSD 2012,115.0,5.0,0.043478260869565216
6020,Upper,Maikona,SRSD 2014,2.0,2.0,1.0
6021,Upper,Maikona,LRLD 2009,,7.0,
6021,Upper,Maikona,LRLD 2011,18.0,8.0,0.4444444444444444
6021,Upper,Maikona,LRLD 2013,24.0,5.0,0.20833333333333334
6021,Upper,Maikona,SRSD 2014,9.0,9.0,1.0
6022,Upper,Maikona,LRLD 2009,,5.0,
6022,Upper,Maikona,LRLD 2012,45.0,8.0,0.17777777777777778
6022,Upper,Maikona,LRLD 2013,58.0,6.0,0.10344827586206896
6022,Upper,Maikona,SRSD 2009,18.0,2.0,0.1111111111111111
6022,Upper,Maikona,SRSD 2010,36.0,1.0,0.027777777777777776
6022,Upper,Maikona,SRSD 2012,58.0,7.0,0.1206896551724138
6022,Upper,Maikona,SRSD 2014,2.0,2.0,1.0
6023,Upper,Maikona,LRLD 2011,6.0,6.0,1.0
6023,Upper,Maikona,LRLD 2013,36.0,1.0,0.027777777777777776
6023,Upper,Maikona,LRLD 2015,4.0,4.0,1.0
6023,Upper,Maikona,SRSD 2008,,4.0,
6023,Upper,Maikona,SRSD 2012,36.0,2.0,0.05555555555555555
6024,Upper,Maikona,LRLD 2009,,4.0,
6024,Upper,Maikona,SRSD 2011,14.0,2.0,0.14285714285714285
6024,Upper,Maikona,SRSD 2014,1.0,1.0,1.0
6025,Upper,Maikona,LRLD 2010,15.0,2.0,0.13333333333333333
6025,Upper,Maikona,LRLD 2012,10.0,5.0,0.5
6025,Upper,Maikona,SRSD 2009,15.0,3.0,0.2
6027,Upper,Maikona,LRLD 2009,,15.0,
6027,Upper,Maikona,LRLD 2011,120.0,37.0,0.30833333333333335
6027,Upper,Maikona,LRLD 2013,76.0,7.0,0.09210526315789473
6027,Upper,Maikona,LRLD 2015,1.0,1.0,1.0
6027,Upper,Maikona,SRSD 2009,88.0,5.0,0.056818181818181816
6027,Upper,Maikona,SRSD 2011,68.0,12.0,0.17647058823529413
6027,Upper,Maikona,SRSD 2012,76.0,5.0,0.06578947368421052
6028,Upper,Maikona,LRLD 2009,,15.0,
6028,Upper,Maikona,LRLD 2010,38.0,3.0,0.07894736842105263
6028,Upper,Maikona,LRLD 2013,53.0,3.0,0.05660377358490566
6028,Upper,Maikona,LRLD 2015,4.0,4.0,1.0
6028,Upper,Maikona,SRSD 2009,38.0,2.0,0.05263157894736842
6028,Upper,Maikona,SRSD 2010,50.0,8.0,0.16
6028,Upper,Maikona,SRSD 2012,53.0,2.0,0.03773584905660377
6029,Upper,Maikona,LRLD 2009,,22.0,
6029,Upper,Maikona,LRLD 2010,21.0,6.0,0.2857142857142857
6029,Upper,Maikona,LRLD 2011,11.0,1.0,0.09090909090909091
6029,Upper,Maikona,LRLD 2013,21.0,2.0,0.09523809523809523
6029,Upper,Maikona,LRLD 2015,7.0,7.0,1.0
6029,Upper,Maikona,SRSD 2009,21.0,18.0,0.8571428571428571
6029,Upper,Maikona,SRSD 2011,13.0,2.0,0.15384615384615385
6029,Upper,Maikona,SRSD 2012,21.0,2.0,0.09523809523809523
6029,Upper,Maikona,SRSD 2014,14.0,14.0,1.0
6030,Upper,Maikona,LRLD 2009,,1.0,
6030,Upper,Maikona,LRLD 2010,12.0,1.0,0.08333333333333333
6030,Upper,Maikona,LRLD 2013,66.0,5.0,0.07575757575757576
6030,Upper,Maikona,LRLD 2015,4.0,4.0,1.0
6030,Upper,Maikona,SRSD 2009,12.0,2.0,0.16666666666666666
6030,Upper,Maikona,SRSD 2010,41.0,6.0,0.14634146341463414
6030,Upper,Maikona,SRSD 2011,56.0,5.0,0.08928571428571429
6030,Upper,Maikona,SRSD 2014,3.0,3.0,1.0
6031,Upper,Maikona,LRLD 2009,,12.0,
6031,Upper,Maikona,LRLD 2011,20.0,8.0,0.4
6031,Upper,Maikona,LRLD 2015,11.0,11.0,1.0
6031,Upper,Maikona,SRSD 2009,5.0,2.0,0.4
6031,Upper,Maikona,SRSD 2010,20.0,2.0,0.1
6031,Upper,Maikona,SRSD 2011,19.0,1.0,0.05263157894736842
6031,Upper,Maikona,SRSD 2014,15.0,15.0,1.0
6032,Upper,Maikona,LRLD 2009,,33.0,
6032,Upper,Maikona,LRLD 2010,74.0,21.0,0.28378378378378377
6032,Upper,Maikona,SRSD 2008,,2.0,
6032,Upper,Maikona,SRSD 2009,74.0,33.0,0.44594594594594594
6032,Upper,Maikona,SRSD 2010,44.0,2.0,0.045454545454545456
6032,Upper,Maikona,SRSD 2011,48.0,17.0,0.3541666666666667
6032,Upper,Maikona,SRSD 2014,13.0,13.0,1.0
6033,Upper,Maikona,LRLD 2009,,60.0,
6033,Upper,Maikona,LRLD 2011,18.0,14.0,0.7777777777777778
6033,Upper,Maikona,SRSD 2010,18.0,3.0,0.16666666666666666
6033,Upper,Maikona,SRSD 2011,1.0,1.0,1.0
6033,Upper,Maikona,SRSD 2014,1.0,1.0,1.0
6034,Upper,Maikona,LRLD 2009,,7.0,
6034,Upper,Maikona,LRLD 2011,14.0,1.0,0.07142857142857142
6034,Upper,Maikona,LRLD 2015,2.0,2.0,1.0
6035,Upper,Maikona,LRLD 2009,,18.0,
6035,Upper,Maikona,LRLD 2011,22.0,14.0,0.6363636363636364
6035,Upper,Maikona,LRLD 2015,4.0,4.0,1.0
6035,Upper,Maikona,SRSD 2008,,25.0,
6035,Upper,Maikona,SRSD 2009,16.0,1.0,0.0625
6035,Upper,Maikona,SRSD 2011,8.0,1.0,0.125
6036,Upper,Maikona,LRLD 2009,,5.0,
6036,Upper,Maikona,LRLD 2011,48.0,21.0,0.4375
6036,Upper,Maikona,LRLD 2013,34.0,6.0,0.17647058823529413
6036,Upper,Maikona,LRLD 2015,6.0,6.0,1.0
6036,Upper,Maikona,SRSD 2009,32.0,4.0,0.125
6036,Upper,Maikona,SRSD 2010,48.0,4.0,0.08333333333333333
6036,Upper,Maikona,SRSD 2011,35.0,2.0,0.05714285714285714
6036,Upper,Maikona,SRSD 2012,34.0,8.0,0.23529411764705882
6036,Upper,Maikona,SRSD 2014,4.0,4.0,1.0
6037,Upper,Maikona,LRLD 2008,,6.0,
6037,Upper,Maikona,LRLD 2009,,14.0,
6037,Upper,Maikona,SRSD 2008,,2.0,
6038,Upper,Maikona,LRLD 2009,,10.0,
6038,Upper,Maikona,LRLD 2010,10.0,2.0,0.2
6038,Upper,Maikona,LRLD 2011,13.0,6.0,0.46153846153846156
6038,Upper,Maikona,LRLD 2015,2.0,2.0,1.0
6038,Upper,Maikona,SRSD 2012,23.0,1.0,0.043478260869565216
6038,Upper,Maikona,SRSD 2014,2.0,2.0,1.0
6040,Upper,Maikona,LRLD 2009,,8.0,
6040,Upper,Maikona,LRLD 2011,69.0,39.0,0.5652173913043478
6040,Upper,Maikona,LRLD 2012,20.0,1.0,0.05
6040,Upper,Maikona,LRLD 2015,1.0,1.0,1.0
6040,Upper,Maikona,SRSD 2009,9.0,1.0,0.1111111111111111
6041,Upper,Maikona,LRLD 2009,,21.0,
6041,Upper,Maikona,LRLD 2012,33.0,3.0,0.09090909090909091
6041,Upper,Maikona,LRLD 2013,66.0,5.0,0.07575757575757576
6041,Upper,Maikona,LRLD 2015,17.0,17.0,1.0
6041,Upper,Maikona,SRSD 2008,,2.0,
6041,Upper,Maikona,SRSD 2009,28.0,9.0,0.32142857142857145
6041,Upper,Maikona,SRSD 2010,76.0,38.0,0.5
6041,Upper,Maikona,SRSD 2014,2.0,2.0,1.0
6042,Upper,Maikona,LRLD 2009,,46.0,
6042,Upper,Maikona,LRLD 2010,46.0,15.0,0.32608695652173914
6042,Upper,Maikona,LRLD 2012,31.0,11.0,0.3548387096774194
6042,Upper,Maikona,LRLD 2013,26.0,5.0,0.19230769230769232
6042,Upper,Maikona,SRSD 2009,46.0,16.0,0.34782608695652173
6043,Upper,Maikona,LRLD 2009,,22.0,
6043,Upper,Maikona,LRLD 2010,58.0,2.0,0.034482758620689655
6043,Upper,Maikona,LRLD 2011,62.0,8.0,0.12903225806451613
6043,Upper,Maikona,SRSD 2008,,1.0,
6043,Upper,Maikona,SRSD 2009,58.0,17.0,0.29310344827586204
6043,Upper,Maikona,SRSD 2010,62.0,13.0,0.20967741935483872
6043,Upper,Maikona,SRSD 2011,26.0,1.0,0.038461538461538464
6044,Upper,Maikona,LRLD 2009,,11.0,
6044,Upper,Maikona,LRLD 2011,13.0,3.0,0.23076923076923078
