hhid,Cluster,NDVILocation,Season,HerdSize,LivestockLosses,MortalityRate
1047,Lower,Marsabit Central,LRLD 2015,2.0,2.0,1.0
1047,Lower,Marsabit Central,SRSD 2008,,1.0,
1047,Lower,Marsabit Central,SRSD 2011,11.0,5.0,0.45454545454545453
2001,Lower,Sagante/Jaldesa,LRLD 2009,,3.0,
2001,Lower,Sagante/Jaldesa,SRSD 2009,11.0,3.0,0.2727272727272727
2001,Lower,Sagante/Jaldesa,SRSD 2011,6.0,1.0,0.16666666666666666
2002,Lower,Sagante/Jaldesa,LRLD 2009,,66.0,
2002,Lower,Sagante/Jaldesa,LRLD 2010,64.0,7.0,0.109375
2002,Lower,Sagante/Jaldesa,LRLD 2011,60.0,38.0,0.6333333333333333
2002,Lower,Sagante/Jaldesa,LRLD 2015,4.0,4.0,1.0
2002,Lower,Sagante/Jaldesa,SRSD 2008,,7.0,
2002,Lower,Sagante/Jaldesa,SRSD 2009,64.0,6.0,0.09375
2003,Lower,Sagante/Jaldesa,LRLD 2010,35.0,2.0,0.05714285714285714
2003,Lower,Sagante/Jaldesa,SRSD 2009,35.0,2.0,0.05714285714285714
2004,Lower,Sagante/Jaldesa,LRLD 2009,,21.0,
2004,Lower,Sagante/Jaldesa,LRLD 2010,4.0,2.0,0.5
2004,Lower,Sagante/Jaldesa,LRLD 2011,7.0,6.0,0.8571428571428571
2004,Lower,Sagante/Jaldesa,LRLD 2013,10.0,5.0,0.5
2004,Lower,Sagante/Jaldesa,LRLD 2015,3.0,3.0,1.0
2004,Lower,Sagante/Jaldesa,SRSD 2008,,7.0,
2005,Lower,Sagante/Jaldesa,LRLD 2009,,30.0,
2005,Lower,Sagante/Jaldesa,LRLD 2010,38.0,1.0,0.02631578947368421
2005,Lower,Sagante/Jaldesa,LRLD 2011,53.0,53.0,1.0
2005,Lower,Sagante/Jaldesa,LRLD 2013,38.0,7.0,0.18421052631578946
2005,Lower,Sagante/Jaldesa,SRSD 2008,,2.0,
2005,Lower,Sagante/Jaldesa,SRSD 2009,38.0,1.0,0.02631578947368421
2005,Lower,Sagante/Jaldesa,SRSD 2012,38.0,1.0,0.02631578947368421
2006,Lower,Sagante/Jaldesa,LRLD 2009,,3.0,
2007,Lower,Sagante/Jaldesa,LRLD 2009,,2.0,
2007,Lower,Sagante/Jaldesa,LRLD 2011,4.0,4.0,1.0
2008,Lower,Sagante/Jaldesa,LRLD 2009,,13.0,
2008,Lower,Sagante/Jaldesa,LRLD 2011,19.0,7.0,0.3684210526315789
2008,Lower,Sagante/Jaldesa,LRLD 2013,18.0,4.0,0.2222222222222222
2008,Lower,Sagante/Jaldesa,SRSD 2011,7.0,2.0,0.2857142857142857
2008,Lower,Sagante/Jaldesa,SRSD 2012,18.0,3.0,0.16666666666666666
2008,Lower,Sagante/Jaldesa,SRSD 2014,2.0,2.0,1.0
2009,Lower,Sagante/Jaldesa,LRLD 2009,,5.0,
2009,Lower,Sagante/Jaldesa,LRLD 2011,17.0,17.0,1.0
2009,Lower,Sagante/Jaldesa,LRLD 2013,10.0,4.0,0.4
2009,Lower,Sagante/Jaldesa,SRSD 2011,10.0,3.0,0.3
2009,Lower,Sagante/Jaldesa,SRSD 2014,1.0,1.0,1.0
2010,Lower,Sagante/Jaldesa,LRLD 2009,,7.0,
2010,Lower,Sagante/Jaldesa,LRLD 2013,2.0,1.0,0.5
2010,Lower,Sagante/Jaldesa,SRSD 2010,2.0,2.0,1.0
2010,Lower,Sagante/Jaldesa,SRSD 2014,16.0,16.0,1.0
2011,Lower,Sagante/Jaldesa,LRLD 2009,,12.0,
2011,Lower,Sagante/Jaldesa,LRLD 2011,17.0,17.0,1.0
2011,Lower,Sagante/Jaldesa,SRSD 2008,,2.0,
2011,Lower,Sagante/Jaldesa,SRSD 2010,5.0,3.0,0.6
2012,Lower,Sagante/Jaldesa,LRLD 2009,,2.0,
2012,Lower,Sagante/Jaldesa,LRLD 2011,11.0,6.0,0.5454545454545454
2012,Lower,Sagante/Jaldesa,LRLD 2013,17.0,6.0,0.35294117647058826
2012,Lower,Sagante/Jaldesa,SRSD 2008,,7.0,
2013,Lower,Sagante/Jaldesa,LRLD 2009,,2.0,
2013,Lower,Sagante/Jaldesa,LRLD 2011,5.0,5.0,1.0
2013,Lower,Sagante/Jaldesa,SRSD 2011,5.0,5.0,1.0
2014,Lower,Sagante/Jaldesa,LRLD 2009,,13.0,
2014,Lower,Sagante/Jaldesa,SRSD 2008,,2.0,
2015,Lower,Sagante/Jaldesa,LRLD 2009,,7.0,
2015,Lower,Sagante/Jaldesa,LRLD 2013,2.0,2.0,1.0
2016,Lower,Sagante/Jaldesa,LRLD 2009,,6.0,
2016,Lower,Sagante/Jaldesa,SRSD 2008,,19.0,
2016,Lower,Sagante/Jaldesa,SRSD 2010,13.0,13.0,1.0
2018,Lower,Sagante/Jaldesa,LRLD 2009,,16.0,
2018,Lower,Sagante/Jaldesa,LRLD 2010,6.0,4.0,0.6666666666666666
2018,Lower,Sagante/Jaldesa,LRLD 2011,5.0,3.0,0.6
2018,Lower,Sagante/Jaldesa,LRLD 2015,3.0,3.0,1.0
2018,Lower,Sagante/Jaldesa,SRSD 2008,,2.0,
2018,Lower,Sagante/Jaldesa,SRSD 2011,1.0,1.0,1.0
2019,Lower,Sagante/Jaldesa,LRLD 2008,,1.0,
2019,Lower,Sagante/Jaldesa,LRLD 2011,3.0,2.0,0.6666666666666666
2019,Lower,Sagante/Jaldesa,SRSD 2008,,1.0,
2019,Lower,Sagante/Jaldesa,SRSD 2011,7.0,1.0,0.14285714285714285
2020,Lower,Sagante/Jaldesa,LRLD 2009,,2.0,
2020,Lower,Sagante/Jaldesa,LRLD 2010,16.0,5.0,0.3125
2020,Lower,Sagante/Jaldesa,LRLD 2011,14.0,13.0,0.9285714285714286
2020,Lower,Sagante/Jaldesa,SRSD 2011,11.0,11.0,1.0
2021,Lower,Sagante/Jaldesa,LRLD 2009,,6.0,
2021,Lower,Sagante/Jaldesa,LRLD 2010,6.0,2.0,0.3333333333333333
2021,Lower,Sagante/Jaldesa,LRLD 2011,13.0,13.0,1.0
2021,Lower,Sagante/Jaldesa,SRSD 2008,,3.0,
2022,Lower,Sagante/Jaldesa,LRLD 2009,,70.0,
2022,Lower,Sagante/Jaldesa,LRLD 2010,35.0,1.0,0.02857142857142857
2022,Lower,Sagante/Jaldesa,LRLD 2011,59.0,3.0,0.05084745762711865
2022,Lower,Sagante/Jaldesa,LRLD 2013,201.0,2.0,0.009950248756218905
