Location,Season,Full Season,Preseason,PosZNDVI,NegZNDVI,PreNDVI,PostNDVI
Logo Logo,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,957938.1977340525,195900.5194070716,762037.678326981,762037.678326981
Logo Logo,LRLD 2014,SRSD Full 2014,SRSD Pre 2014,771223.6955020853,153482.59454754574,617741.1009545395,617741.1009545395
Logo Logo,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,491489.4458557747,252052.2108550833,239437.23500069138,239437.23500069138
Logo Logo,SRSD 2008,LRLD Full 2009,LRLD Pre 2009,85035.98432036443,304711.09904555266,-219675.11472518826,-219675.11472518826
Logo Logo,SRSD 2009,LRLD Full 2010,LRLD Pre 2010,153303.22400179956,284896.3032538616,-131593.07925206202,-131593.07925206202
Logo Logo,SRSD 2010,LRLD Full 2011,LRLD Pre 2011,9371.932690249922,554000.9425928913,-544629.0099026414,-544629.0099026414
Logo Logo,SRSD 2011,LRLD Full 2012,LRLD Pre 2012,722969.0217879349,79003.70854551755,643965.3132424174,643965.3132424174
Logo Logo,SRSD 2012,LRLD Full 2013,LRLD Pre 2013,135262.59010593494,256543.15598342367,-121280.56587748873,-121280.56587748873
Logo Logo,SRSD 2013,LRLD Full 2014,LRLD Pre 2014,461404.7578464213,117161.08262066935,344243.67522575194,344243.67522575194
Logo Logo,SRSD 2014,LRLD Full 2015,LRLD Pre 2015,60193.09315259613,301644.27859939635,-241451.18544680023,-241451.18544680023
Logo Logo,SRSD 2015,LRLD Full 2016,LRLD Pre 2016,143135.76689606658,91748.02184679764,51387.74504926895,51387.74504926895
Loiyangalani,LRLD 2008,SRSD Full 2008,SRSD Pre 2008,470788.567484982,367148.32057132036,103640.24691366163,103640.24691366163
