,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
396,5.13,4.44,0.69,0.01,2.78,8.01,5.38,5.51,4.51
397,4.52,4.61,0.08,0.01,2.93,9.08,6.30,4.49,4.51
398,5.78,4.48,1.30,0.00,4.45,9.35,5.12,6.00,4.84
399,5.38,4.54,0.84,0.00,3.21,8.29,5.24,5.49,4.62
400,6.27,4.37,1.90,0.03,3.34,8.00,4.82,6.39,4.28
401,5.52,6.14,0.62,0.11,3.72,7.27,3.73,5.61,6.34
402,4.29,5.78,1.50,0.00,3.38,8.30,5.09,4.70,6.12
403,6.06,5.88,0.18,0.04,4.87,8.00,3.38,6.25,6.09
404,4.47,4.83,0.36,0.01,3.23,8.86,5.79,4.54,4.97
405,4.81,4.41,0.40,0.00,3.88,9.79,6.10,4.77,4.28
406,4.38,4.53,0.15,0.00,2.14,8.13,6.09,4.44,4.66
407,4.56,5.97,1.41,0.04,3.66,8.00,4.52,4.75,6.50
408,4.64,3.94,0.69,0.00,2.91,8.81,6.04,4.84,4.29
409,4.46,5.35,0.89,0.00,3.63,9.04,5.59,4.54,5.45
410,5.93,4.24,1.69,0.06,4.14,8.92,4.98,6.40,4.23
411,4.45,5.68,1.22,0.00,2.91,8.01,5.25,4.40,5.85
412,5.92,5.31,0.62,0.01,3.66,7.25,3.77,6.33,5.53
413,4.34,5.90,1.55,0.00,3.78,8.74,5.15,4.49,6.11
414,4.63,4.50,0.12,0.00,3.25,9.23,6.14,4.55,4.41
415,5.33,4.29,1.04,0.00,3.19,8.73,5.70,5.47,4.25
416,5.02,5.19,0.17,0.00,3.55,8.59,5.22,4.91,5.34
417,4.43,5.38,0.95,0.04,2.99,8.00,5.16,4.67,5.61
418,5.99,5.49,0.49,0.05,4.29,8.00,3.92,6.37,5.67
419,5.70,5.71,0.01,0.03,3.94,7.45,3.71,5.84,6.26
420,4.43,5.90,1.47,0.03,3.38,8.00,4.79,4.50,6.35
421,5.90,5.88,0.02,0.10,3.56,6.91,3.53,6.50,6.22
422,5.88,4.40,1.48,0.01,2.98,8.00,5.17,6.21,4.45
423,4.53,5.80,1.28,0.00,3.54,7.94,4.58,4.56,6.18
424,4.31,5.67,1.36,0.12,3.41,8.01,4.77,4.64,6.16
425,5.20,4.24,0.96,0.03,3.04,8.55,5.66,5.38,4.41
426,5.75,4.76,1.00,0.02,3.48,8.00,4.69,6.24,4.60
427,5.15,6.28,1.13,0.11,3.09,6.30,3.37,5.40,6.68
428,5.93,3.97,1.96,0.02,3.67,8.62,5.14,6.23,4.15
429,5.73,4.59,1.14,0.03,3.52,8.07,4.73,6.07,4.73
430,6.15,5.73,0.41,0.05,3.02,6.24,3.38,6.71,5.94
431,4.21,6.24,2.03,0.03,3.43,8.00,4.74,4.38,6.38
432,4.65,4.56,0.09,0.00,2.34,8.37,6.14,4.77,4.71
433,4.96,4.27,0.69,0.01,3.20,8.79,5.76,5.08,4.55
434,4.63,6.00,1.37,0.05,3.68,8.00,4.50,4.59,6.63
435,6.16,4.40,1.76,0.09,3.51,8.00,4.67,6.63,4.53
436,4.88,5.70,0.81,0.01,3.85,7.93,4.28,5.09,6.26
437,6.10,5.56,0.54,0.05,3.88,7.40,3.71,6.48,5.75
438,6.15,4.18,1.97,0.03,3.48,8.23,4.93,6.24,4.07
439,5.92,4.96,0.96,0.09,3.48,7.66,4.35,6.59,4.95
440,4.75,4.72,0.02,0.00,2.58,8.20,5.75,4.81,4.72
441,4.29,5.70,1.40,0.02,2.72,7.66,5.07,4.40,6.20
442,4.54,4.73,0.20,0.00,3.20,8.94,5.90,4.72,4.69
443,5.06,5.25,0.19,0.00,3.21,8.00,4.95,5.08,5.30
444,4.61,4.42,0.20,0.00,2.71,8.55,5.98,4.80,4.38
445,4.60,6.14,1.54,0.10,3.73,8.07,4.53,4.59,6.74
446,4.43,6.04,1.61,0.05,3.71,8.44,4.91,4.56,6.20
447,4.51,5.03,0.52,0.01,3.58,8.88,5.48,4.61,4.98
448,5.98,5.80,0.18,0.01,3.43,6.58,3.33,6.19,6.38
449,5.58,5.72,0.14,0.02,3.90,7.79,4.08,5.68,5.86
450,4.60,6.07,1.48,0.01,3.49,8.00,4.68,4.53,6.55
451,5.82,4.37,1.45,0.00,3.68,8.53,5.03,6.13,4.53
452,6.05,3.89,2.16,0.09,2.55,7.73,5.30,6.33,3.82
453,4.82,4.35,0.46,0.00,3.01,9.17,6.30,4.74,4.34
454,4.06,4.14,0.08,0.01,2.55,8.98,6.56,4.15,4.34
455,4.81,4.00,0.81,0.00,2.06,8.01,6.06,4.97,4.22
456,4.51,4.33,0.18,0.00,3.21,9.11,6.06,4.46,4.55
457,4.60,4.35,0.25,0.00,2.93,9.29,6.51,4.39,4.46
458,4.37,4.52,0.15,0.00,2.30,8.35,6.17,4.51,4.59
459,4.77,4.36,0.42,0.00,2.87,8.75,6.02,4.94,4.28
460,4.76,5.21,0.45,0.00,3.62,8.94,5.50,4.92,5.46
461,3.91,4.74,0.83,0.00,4.30,10.36,6.27,4.33,4.69
462,6.13,4.33,1.80,0.04,2.90,8.00,5.24,6.40,4.46
463,4.13,4.53,0.40,0.00,2.31,8.61,6.41,4.25,4.50
464,4.88,4.22,0.67,0.00,2.91,9.13,6.37,4.96,4.13
465,4.59,6.16,1.58,0.03,3.55,8.00,4.63,4.49,6.58
466,4.43,5.77,1.34,0.02,3.13,8.10,5.12,4.39,6.05
467,4.40,4.74,0.34,0.00,3.01,8.89,6.03,4.32,4.78
468,5.82,5.95,0.13,0.01,3.88,7.38,3.70,6.23,6.19
469,4.60,5.85,1.25,0.05,3.14,7.52,4.53,4.86,6.32
470,6.17,5.37,0.80,0.03,4.30,8.00,3.91,6.39,5.72
471,4.68,6.10,1.42,0.03,3.75,8.00,4.44,4.64,6.67
472,6.04,4.43,1.60,0.01,3.00,7.44,4.59,6.26,4.49
473,6.10,5.22,0.88,0.01,3.72,7.38,3.84,6.33,5.32
474,5.47,4.36,1.11,0.02,2.58,7.67,5.21,5.60,4.53
475,5.70,5.29,0.41,0.01,4.31,8.00,3.90,6.29,5.85
476,4.01,5.37,1.36,0.04,3.37,8.78,5.58,4.01,5.71
477,5.56,5.86,0.30,0.03,4.44,8.00,3.78,6.08,6.31
478,5.57,4.38,1.19,0.00,2.39,7.40,5.13,5.68,4.52
479,4.71,4.64,0.07,0.01,3.29,9.05,5.92,4.74,4.80
480,4.82,5.47,0.65,0.01,3.06,8.00,5.09,4.76,5.96
481,5.84,4.31,1.53,0.03,3.14,8.00,5.02,6.27,4.03
482,5.14,5.22,0.07,0.00,3.10,7.73,4.78,5.30,5.53
483,4.21,4.79,0.58,0.00,2.20,8.28,6.19,4.45,4.72
484,5.34,4.68,0.66,0.00,4.73,10.00,5.50,5.11,4.73
485,4.09,5.67,1.58,0.00,2.81,8.00,5.33,4.14,6.20
486,4.54,4.88,0.34,0.00,2.54,8.00,5.59,4.53,5.19
487,6.10,4.16,1.94,0.05,4.42,9.15,4.95,6.27,4.40
488,4.70,5.76,1.06,0.01,2.75,7.14,4.53,4.63,6.15
489,5.46,4.55,0.91,0.00,3.98,9.05,5.27,5.69,4.69
490,5.58,3.85,1.73,0.01,3.77,9.21,5.63,6.13,3.93
491,4.57,5.35,0.78,0.00,3.47,8.52,5.23,4.64,5.42
492,4.13,4.37,0.24,0.00,3.25,9.71,6.62,4.30,4.38
493,6.20,4.00,2.19,0.08,3.09,8.00,5.06,6.42,4.18
494,4.39,4.29,0.10,0.00,3.70,9.73,6.22,4.62,4.59
495,4.57,4.61,0.05,0.00,3.14,9.23,6.25,4.72,4.53
496,4.15,4.30,0.15,0.00,3.25,9.75,6.67,4.30,4.39
497,5.52,4.60,0.91,0.05,3.33,8.21,5.05,6.11,4.57
498,4.24,5.72,1.48,0.06,3.89,8.60,4.90,4.46,6.11
499,4.17,6.16,1.99,0.06,3.24,8.00,4.92,4.33,6.42
500,4.24,5.70,1.46,0.01,3.43,8.73,5.48,4.22,6.18
501,4.21,4.54,0.33,0.00,3.02,9.42,6.55,4.34,4.50
502,5.47,3.99,1.47,0.03,3.14,8.77,5.78,5.88,3.80
503,4.50,6.02,1.52,0.04,3.82,8.20,4.57,4.71,6.28
504,4.88,4.71,0.17,0.00,2.77,8.00,5.37,5.27,4.68
505,5.32,5.05,0.27,0.03,3.02,7.56,4.70,5.69,5.12
506,4.56,4.37,0.20,0.00,3.85,9.98,6.32,4.65,4.26
507,4.56,4.64,0.07,0.00,3.61,9.63,6.20,4.37,4.70
508,4.17,4.54,0.37,0.00,2.99,9.50,6.66,4.24,4.52
509,4.21,4.85,0.64,0.01,2.51,8.32,5.94,4.48,4.99
510,5.83,4.15,1.68,0.06,2.91,7.56,4.80,6.24,4.42
511,4.79,4.62,0.17,0.00,3.21,9.05,6.00,4.66,4.68
512,4.50,4.46,0.04,0.00,4.63,10.83,6.43,4.48,4.58
513,4.64,5.68,1.03,0.00,3.31,8.00,4.86,4.68,5.89
514,4.73,5.83,1.09,0.01,3.54,8.15,4.78,4.55,6.24
515,4.51,5.81,1.30,0.00,3.18,7.81,4.78,4.70,6.18
516,5.54,4.60,0.94,0.02,3.16,8.00,5.00,5.86,4.63
517,4.74,5.02,0.27,0.00,2.97,8.45,5.62,4.66,5.09
518,4.63,5.14,0.52,0.00,3.21,8.64,5.59,4.64,5.39
519,5.89,4.18,1.71,0.05,3.66,8.63,5.15,6.26,4.10
520,6.00,4.52,1.48,0.04,3.88,7.96,4.27,6.61,4.66
521,4.57,4.27,0.30,0.00,3.06,9.39,6.48,4.73,4.34
522,4.78,4.39,0.39,0.00,2.67,8.68,6.15,4.72,4.43
523,5.25,5.66,0.41,0.00,3.85,8.00,4.34,5.27,5.83
524,4.73,4.64,0.09,0.00,3.25,8.93,5.85,4.95,4.64
525,5.89,5.40,0.50,0.01,3.97,7.60,3.82,6.13,5.69
526,4.23,5.88,1.66,0.05,3.80,8.42,4.81,4.38,6.18
527,5.02,4.25,0.77,0.00,3.12,8.90,5.94,5.22,4.38
528,5.89,4.43,1.46,0.01,3.13,7.77,4.80,6.08,4.47
529,5.93,5.89,0.04,0.05,3.64,7.02,3.56,6.11,6.34
530,5.46,4.44,1.02,0.00,3.40,8.64,5.41,5.85,4.30
531,3.78,4.54,0.76,0.00,3.70,10.17,6.66,4.01,4.74
532,4.30,5.77,1.47,0.01,3.05,8.00,5.11,4.17,6.06
533,4.22,4.45,0.23,0.00,3.19,9.42,6.38,4.34,4.62
534,5.10,4.15,0.96,0.01,3.81,9.48,5.86,5.34,4.18
535,5.88,6.18,0.30,0.17,3.06,6.03,3.13,6.43,6.48
536,4.95,4.59,0.36,0.00,2.89,8.56,5.82,4.92,4.56
537,4.48,4.93,0.45,0.00,2.44,8.00,5.68,4.64,5.08
538,4.36,4.39,0.04,0.00,3.29,9.54,6.42,4.50,4.42
539,4.68,4.74,0.06,0.00,2.93,8.63,5.85,4.69,5.19
540,5.68,5.97,0.29,0.08,4.18,7.36,3.39,6.02,6.34
541,4.41,4.39,0.02,0.00,2.70,8.70,6.14,4.38,4.66
542,4.47,4.55,0.08,0.00,3.41,9.54,6.30,4.38,4.62
543,4.42,6.09,1.68,0.08,3.54,8.00,4.64,4.82,6.30
544,6.06,4.82,1.23,0.05,3.86,8.00,4.33,6.40,4.98
545,4.03,4.60,0.56,0.00,3.00,9.45,6.60,3.96,4.79
546,4.73,6.16,1.44,0.03,4.19,8.50,4.52,4.77,6.33
547,4.70,5.16,0.46,0.00,2.89,8.00,5.25,4.72,5.53
548,5.95,5.91,0.04,0.05,4.62,8.00,3.61,6.01,5.91
549,5.09,4.63,0.46,0.01,3.30,8.66,5.52,5.34,4.72
550,4.76,6.22,1.46,0.01,3.82,8.00,4.37,4.74,6.48
551,4.34,5.57,1.23,0.00,3.68,8.77,5.28,4.26,6.17
552,4.14,5.96,1.82,0.02,3.67,8.49,5.00,4.38,6.16
553,4.45,6.09,1.64,0.11,3.07,7.51,4.59,4.65,6.51
554,5.50,6.09,0.59,0.06,3.43,6.97,3.71,5.91,6.27
555,4.58,4.68,0.10,0.00,2.80,8.70,6.03,4.70,4.77
556,3.96,5.93,1.97,0.13,3.00,8.00,5.15,4.24,6.14
557,4.32,4.92,0.60,0.00,2.97,8.85,6.03,4.38,5.00
558,4.52,3.75,0.77,0.00,3.29,9.77,6.65,4.55,4.01
559,5.39,4.21,1.18,0.01,3.09,8.16,5.23,6.02,4.39
560,5.93,5.81,0.12,0.04,3.37,6.53,3.32,6.04,6.29
561,5.44,4.92,0.52,0.00,3.93,8.50,4.77,5.61,5.18
562,4.74,6.04,1.31,0.02,3.41,8.00,4.76,4.77,6.10
563,4.49,5.56,1.07,0.00,3.10,8.00,5.05,4.57,6.17
564,4.52,4.07,0.45,0.00,2.90,9.26,6.51,4.64,4.11
565,6.09,4.42,1.66,0.04,3.28,7.80,4.69,6.29,4.45
566,5.80,5.44,0.35,0.01,4.06,8.00,4.14,5.96,5.75
567,4.19,5.99,1.79,0.04,3.11,8.00,5.05,4.23,6.48
568,4.80,4.28,0.52,0.01,2.76,8.42,5.80,5.04,4.29
569,5.95,5.68,0.27,0.01,4.77,7.90,3.37,6.22,6.46
570,4.43,5.14,0.70,0.00,2.58,8.00,5.55,4.55,5.38
571,4.49,4.31,0.18,0.00,2.58,8.85,6.40,4.71,4.36
572,5.85,4.59,1.26,0.05,3.51,7.91,4.58,6.49,4.68
573,4.77,4.50,0.27,0.00,2.64,8.51,6.00,4.66,4.46
574,4.47,4.42,0.05,0.01,2.17,8.34,6.28,4.46,4.42
575,6.07,5.96,0.11,0.08,3.40,6.56,3.33,6.41,6.01
576,4.93,5.31,0.38,0.00,3.05,8.00,5.10,5.13,5.42
577,4.18,4.34,0.16,0.00,2.78,9.30,6.67,4.48,4.09
578,4.20,4.16,0.04,0.00,3.11,9.64,6.68,4.33,4.29
579,5.68,4.26,1.42,0.02,2.53,7.28,4.87,6.14,4.39
580,4.92,5.96,1.04,0.01,3.92,8.00,4.28,4.94,6.22
