,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
674,26.42,23.05,3.37,0.06,19.32,49.86,31.50,0.82,0.85,-20.18,-20.67
675,25.64,24.56,1.08,0.01,28.08,57.09,30.41,0.88,0.90,-23.86,-23.94
676,27.97,21.27,6.70,0.08,16.47,47.25,31.60,0.89,0.83,-25.73,-16.36
677,26.07,23.73,2.33,0.09,16.53,50.17,34.47,0.91,0.91,-23.85,-22.53
678,22.83,24.52,1.69,0.03,20.69,52.04,32.39,0.87,0.87,-21.06,-21.31
679,25.99,24.17,1.82,0.09,24.90,54.50,30.84,0.91,0.87,-24.51,-21.37
680,22.93,26.00,3.07,0.03,36.78,68.29,33.34,0.89,0.91,-21.04,-24.24
681,25.07,26.25,1.18,0.09,26.03,56.04,31.31,0.91,0.89,-25.75,-22.88
682,25.67,24.67,1.00,0.06,26.68,55.62,30.27,0.91,0.88,-25.04,-21.68
683,26.45,21.07,5.38,0.05,25.73,58.22,33.77,0.91,0.87,-23.85,-19.01
684,23.10,25.64,2.54,0.04,36.41,68.97,34.38,0.86,0.91,-19.05,-25.03
685,22.87,27.38,4.51,0.11,22.82,54.61,32.93,0.84,0.88,-18.83,-24.13
686,24.45,24.00,0.45,0.07,19.07,52.23,34.11,0.89,0.89,-21.01,-21.18
687,25.36,24.66,0.70,0.06,20.19,50.55,31.37,0.89,0.91,-22.49,-24.80
688,24.91,24.55,0.36,0.27,14.98,48.72,34.49,0.87,0.83,-23.66,-18.15
689,23.66,25.38,1.72,0.05,17.69,48.29,31.49,0.90,0.91,-21.93,-23.69
690,25.18,25.01,0.18,0.08,17.45,51.39,34.81,0.91,0.90,-22.96,-22.41
691,23.98,26.85,2.87,0.02,23.83,54.65,32.02,0.88,0.93,-21.38,-25.88
692,26.08,24.43,1.65,0.11,16.94,45.10,29.01,0.89,0.85,-25.47,-20.97
693,26.02,22.46,3.56,0.06,22.58,57.50,36.06,0.88,0.89,-19.69,-21.61
694,25.47,24.33,1.14,0.12,22.91,54.79,33.03,0.86,0.91,-20.28,-24.47
695,23.86,22.14,1.72,0.07,21.03,53.17,33.20,0.90,0.84,-22.68,-17.19
696,23.78,27.44,3.66,0.09,18.05,49.13,31.98,0.88,0.89,-21.96,-23.80
697,26.44,23.22,3.22,0.05,19.27,50.42,32.12,0.89,0.84,-24.63,-19.58
698,24.69,24.94,0.25,0.03,23.00,54.27,32.42,0.86,0.89,-20.28,-23.66
699,24.52,24.65,0.13,0.02,26.34,58.57,33.54,0.93,0.94,-24.01,-23.89
700,24.61,24.51,0.10,0.00,20.54,49.81,30.29,0.86,0.92,-21.18,-25.31
701,26.48,26.77,0.29,0.05,21.39,48.84,28.52,0.86,0.93,-23.37,-27.02
702,24.01,25.67,1.66,0.05,27.04,56.37,30.69,0.90,0.90,-23.54,-23.42
703,25.52,24.99,0.53,0.07,27.81,60.11,33.69,0.86,0.91,-21.23,-24.35
704,27.15,22.98,4.17,0.05,23.85,55.10,32.44,0.91,0.84,-26.83,-18.31
705,24.51,27.35,2.84,0.07,20.08,49.40,30.32,0.87,0.87,-21.36,-24.78
706,24.44,23.16,1.28,0.04,20.16,55.89,36.74,0.87,0.92,-18.34,-23.17
707,26.11,26.19,0.08,0.10,28.53,57.92,30.82,0.90,0.90,-24.71,-23.48
708,25.12,24.73,0.39,0.03,32.07,62.51,32.04,0.91,0.91,-23.15,-24.38
709,24.51,24.72,0.21,0.03,24.53,58.46,35.16,0.84,0.90,-19.36,-24.28
710,25.16,26.06,0.89,0.06,21.93,50.13,29.29,0.88,0.91,-22.50,-26.01
711,22.61,27.43,4.82,0.07,21.72,51.27,30.64,0.86,0.92,-19.81,-27.20
712,25.06,25.72,0.66,0.05,16.23,47.11,31.69,0.89,0.92,-21.22,-26.21
713,23.76,26.53,2.77,0.06,21.97,51.55,30.67,0.83,0.94,-18.02,-28.98
714,23.60,27.16,3.56,0.06,19.09,52.89,34.75,0.87,0.87,-20.49,-23.53
715,24.05,22.89,1.16,0.02,20.40,52.37,32.99,0.89,0.91,-21.28,-23.10
716,24.07,27.00,2.93,0.02,20.66,52.83,33.20,0.87,0.88,-20.32,-23.34
717,22.23,24.99,2.75,0.10,19.88,52.56,33.68,0.86,0.91,-19.14,-23.68
718,25.42,23.85,1.57,0.07,19.27,48.03,29.72,0.89,0.86,-25.28,-19.18
719,26.30,27.14,0.84,0.10,17.54,47.01,30.35,0.90,0.89,-25.21,-24.06
720,25.17,22.64,2.53,0.03,30.00,63.07,34.57,0.90,0.86,-23.25,-18.53
721,26.25,21.97,4.28,0.08,19.58,51.91,33.31,0.94,0.85,-27.19,-16.46
722,23.79,25.35,1.56,0.02,22.66,54.22,32.69,0.88,0.87,-21.60,-22.42
723,25.29,24.83,0.46,0.05,18.05,47.98,30.84,0.90,0.92,-23.55,-24.23
724,26.80,23.14,3.66,0.07,21.47,51.61,31.21,0.86,0.86,-22.47,-20.76
725,26.52,24.39,2.13,0.07,20.40,51.07,31.70,0.89,0.86,-25.97,-19.87
726,28.14,26.09,2.05,0.07,39.46,70.28,32.80,0.92,0.85,-26.57,-21.45
727,24.54,23.81,0.73,0.07,31.61,63.09,33.06,0.90,0.87,-22.12,-20.82
728,26.68,25.20,1.47,0.04,26.54,56.34,31.13,0.84,0.86,-22.47,-21.90
729,25.90,23.53,2.37,0.06,20.06,49.59,30.54,0.90,0.86,-25.24,-20.95
730,26.21,24.43,1.78,0.06,16.99,47.70,31.56,0.87,0.87,-22.27,-22.92
731,26.46,23.45,3.01,0.06,22.93,52.70,30.92,0.91,0.91,-24.78,-22.58
732,26.46,23.69,2.77,0.03,23.71,55.78,33.26,0.93,0.90,-24.88,-22.78
733,26.09,23.89,2.20,0.08,17.58,49.51,32.80,0.88,0.86,-23.37,-20.88
734,27.01,24.47,2.54,0.05,28.75,59.58,32.27,0.87,0.83,-24.20,-18.88
735,24.90,25.57,0.67,0.05,30.20,64.16,35.48,0.87,0.90,-19.89,-24.33
736,23.64,22.40,1.23,0.05,26.08,61.08,36.30,0.90,0.90,-20.23,-20.58
737,24.74,25.00,0.27,0.04,22.46,53.08,31.74,0.92,0.85,-25.68,-20.43
738,24.93,24.98,0.05,0.08,25.43,60.33,36.17,0.91,0.86,-24.00,-19.52
739,24.78,26.15,1.36,0.09,26.95,57.40,31.80,0.88,0.89,-21.77,-24.14
740,23.56,26.51,2.95,0.04,20.98,52.91,32.98,0.88,0.88,-21.38,-23.06
741,23.28,25.47,2.19,0.05,27.33,57.72,31.76,0.90,0.92,-21.91,-25.03
742,25.71,25.27,0.44,0.05,27.92,58.29,31.77,0.86,0.88,-22.83,-22.94
743,25.76,24.42,1.33,0.03,24.77,57.19,33.66,0.88,0.89,-21.76,-22.65
744,22.73,23.84,1.11,0.04,23.18,53.93,31.91,0.85,0.90,-19.24,-22.23
745,24.37,25.80,1.43,0.04,20.05,49.81,30.77,0.87,0.91,-21.58,-24.75
746,24.31,20.80,3.51,0.09,23.95,59.17,36.42,0.88,0.84,-20.17,-16.41
747,27.63,23.23,4.41,0.04,20.47,50.56,31.11,0.89,0.86,-24.77,-21.08
748,27.37,25.82,1.55,0.06,21.55,51.26,30.79,0.86,0.90,-22.90,-24.82
749,23.88,23.31,0.57,0.09,18.82,49.82,31.95,0.88,0.82,-24.02,-17.17
750,22.51,26.50,3.99,0.06,20.65,52.38,32.76,0.84,0.92,-16.67,-26.60
751,20.42,26.95,6.53,0.03,20.79,53.67,33.92,0.83,0.90,-16.78,-23.74
752,23.71,26.59,2.88,0.04,22.48,52.07,30.71,0.86,0.93,-20.77,-26.75
753,23.37,24.67,1.30,0.04,29.83,62.02,33.68,0.86,0.85,-21.59,-19.89
754,26.77,24.05,2.72,0.04,30.10,62.40,33.81,0.93,0.88,-25.88,-21.60
755,27.15,24.03,3.12,0.02,25.20,55.87,31.93,0.88,0.88,-24.73,-22.14
756,21.48,25.62,4.14,0.06,29.33,63.67,35.80,0.83,0.93,-14.43,-25.75
757,20.22,21.79,1.57,0.07,22.41,58.84,37.55,0.85,0.82,-18.07,-14.44
758,23.07,26.21,3.13,0.11,20.63,53.50,33.90,0.88,0.91,-20.41,-23.30
759,25.40,22.80,2.60,0.07,22.81,57.86,36.19,0.89,0.87,-21.73,-19.74
760,24.58,25.68,1.10,0.02,21.29,52.45,32.22,0.87,0.90,-21.68,-25.23
761,24.33,22.57,1.76,0.07,34.88,68.71,35.57,0.89,0.88,-21.19,-19.73
762,26.89,23.41,3.48,0.05,36.98,66.91,31.78,0.88,0.88,-23.12,-22.15
763,24.38,23.67,0.71,0.05,19.79,52.04,33.24,0.91,0.86,-23.62,-19.23
764,25.16,24.11,1.05,0.03,34.30,63.83,31.25,0.86,0.87,-22.15,-21.80
765,23.69,26.03,2.34,0.08,24.79,56.67,33.13,0.88,0.90,-22.44,-22.95
766,24.70,26.51,1.81,0.06,21.83,53.09,32.34,0.90,0.87,-22.77,-23.27
767,26.70,22.28,4.42,0.04,23.44,55.89,33.62,0.89,0.84,-22.34,-20.18
768,26.04,25.12,0.92,0.08,28.25,59.62,32.78,0.90,0.89,-22.93,-22.54
769,25.87,26.51,0.64,0.12,21.81,51.44,30.73,0.89,0.90,-23.83,-23.75
770,25.95,24.40,1.54,0.06,23.98,52.63,29.85,0.90,0.87,-24.39,-21.98
771,24.49,26.29,1.80,0.03,25.32,57.24,33.19,0.90,0.92,-23.05,-24.37
772,25.16,22.40,2.75,0.11,23.96,56.67,33.91,0.91,0.82,-25.71,-15.72
773,22.47,28.57,6.10,0.10,29.90,60.61,32.21,0.85,0.90,-20.18,-25.49
774,23.72,27.69,3.97,0.08,19.93,49.04,30.11,0.86,0.90,-20.23,-26.20
775,26.26,26.02,0.23,0.05,31.11,62.04,32.49,0.90,0.85,-24.26,-22.19
776,25.78,24.40,1.38,0.02,25.03,53.20,29.43,0.85,0.85,-23.18,-20.84
777,26.01,24.96,1.05,0.06,22.01,53.05,32.14,0.89,0.85,-24.56,-21.27
778,26.47,23.81,2.67,0.07,19.96,49.53,30.57,0.92,0.83,-25.15,-20.43
779,25.05,25.59,0.54,0.04,17.71,49.06,32.24,0.91,0.85,-24.62,-20.72
780,23.40,22.06,1.35,0.05,23.57,59.02,36.62,0.89,0.87,-21.26,-18.15
781,23.60,27.90,4.30,0.06,18.21,50.03,32.72,0.84,0.89,-19.67,-24.52
782,23.49,27.27,3.78,0.08,24.45,54.20,30.97,0.87,0.90,-22.15,-24.32
783,23.52,24.76,1.24,0.10,24.75,58.69,35.18,0.89,0.89,-20.15,-22.23
784,24.97,26.46,1.48,0.04,22.47,52.28,30.93,0.85,0.89,-21.62,-24.58
785,23.82,24.97,1.16,0.06,17.36,49.20,32.71,0.87,0.90,-19.76,-23.57
786,27.29,25.87,1.43,0.08,20.22,46.56,27.35,0.93,0.89,-27.10,-24.23
787,25.07,25.66,0.59,0.05,21.61,52.01,31.48,0.83,0.87,-20.40,-23.12
788,25.51,25.69,0.18,0.08,22.33,53.22,32.00,0.89,0.87,-23.57,-22.56
789,25.37,23.09,2.29,0.07,24.84,57.83,34.23,0.89,0.91,-21.69,-22.91
790,25.79,22.00,3.79,0.05,28.38,63.48,36.51,0.92,0.85,-25.06,-16.87
791,27.18,23.13,4.05,0.03,25.61,55.27,30.94,0.90,0.87,-24.61,-21.29
792,24.17,24.09,0.09,0.03,27.31,60.42,34.47,0.87,0.89,-20.86,-22.96
793,25.58,24.17,1.41,0.05,16.50,46.49,30.82,0.88,0.88,-24.50,-21.29
794,23.95,24.52,0.57,0.06,19.46,51.63,33.14,0.86,0.87,-19.27,-22.31
795,26.38,21.21,5.17,0.04,26.23,58.96,34.04,0.91,0.89,-23.70,-20.05
796,25.74,25.99,0.25,0.07,15.84,46.19,31.14,0.85,0.89,-21.01,-24.34
797,22.49,25.48,2.98,0.11,20.28,55.48,36.22,0.86,0.90,-18.02,-21.64
798,25.57,23.27,2.30,0.06,29.91,62.69,34.27,0.87,0.82,-22.65,-18.44
799,22.07,26.05,3.98,0.03,16.74,48.68,32.77,0.84,0.89,-17.49,-24.77
800,23.92,23.15,0.76,0.04,29.26,62.90,35.10,0.89,0.86,-21.44,-20.11
801,26.20,24.61,1.59,0.05,27.44,59.06,32.99,0.86,0.88,-21.17,-23.16
802,25.49,24.59,0.90,0.04,21.36,51.10,30.81,0.87,0.87,-22.30,-22.31
803,25.41,25.51,0.10,0.05,20.42,48.96,29.56,0.92,0.89,-24.63,-24.01
804,22.27,23.78,1.50,0.03,28.91,63.99,36.53,0.86,0.89,-19.91,-20.76
805,25.65,24.58,1.07,0.06,26.92,57.71,32.14,0.89,0.86,-24.36,-21.17
806,23.04,24.79,1.75,0.01,21.45,54.74,34.36,0.85,0.92,-18.29,-24.67
807,23.85,27.38,3.53,0.06,25.81,57.13,32.61,0.88,0.87,-22.47,-23.31
808,25.26,24.21,1.05,0.01,18.21,45.80,28.50,0.91,0.85,-25.77,-20.74
809,24.40,25.02,0.62,0.06,18.24,48.98,31.65,0.89,0.89,-23.37,-22.15
810,23.47,21.95,1.52,0.06,20.66,53.77,34.15,0.88,0.86,-19.98,-19.19
811,24.83,25.00,0.17,0.05,17.07,45.75,29.53,0.85,0.91,-21.50,-23.87
812,25.24,25.84,0.60,0.09,26.38,55.42,30.35,0.90,0.89,-24.29,-22.46
813,26.56,25.06,1.49,0.07,26.82,54.70,29.22,0.87,0.86,-23.60,-22.03
814,24.14,24.90,0.76,0.05,20.05,53.93,34.88,0.90,0.91,-21.92,-23.58
815,25.94,24.73,1.21,0.09,23.85,55.47,32.81,0.86,0.86,-22.20,-21.75
816,24.34,26.24,1.90,0.06,29.96,61.65,33.18,0.91,0.86,-24.86,-20.84
817,26.27,25.18,1.09,0.08,17.78,48.34,31.45,0.92,0.89,-26.04,-22.20
818,22.57,26.86,4.29,0.07,15.29,45.00,30.47,0.87,0.89,-20.24,-24.16
819,25.77,24.98,0.79,0.07,21.39,49.89,29.57,0.86,0.93,-23.26,-25.46
820,24.71,25.98,1.28,0.04,21.15,52.09,31.99,0.87,0.88,-21.02,-24.51
821,28.11,23.72,4.40,0.10,19.85,49.10,30.25,0.91,0.83,-26.25,-20.20
822,25.16,25.77,0.61,0.02,22.62,51.33,29.84,0.87,0.89,-22.43,-24.36
823,23.32,25.90,2.59,0.09,23.94,56.03,33.29,0.88,0.92,-21.23,-24.79
824,21.53,27.48,5.95,0.08,35.98,68.68,34.50,0.84,0.91,-16.67,-26.69
825,23.42,24.97,1.54,0.04,18.03,47.37,30.24,0.86,0.88,-20.57,-23.08
826,24.98,26.99,2.01,0.03,20.95,50.31,30.40,0.89,0.92,-22.89,-25.87
827,25.63,26.21,0.58,0.06,20.72,49.83,30.14,0.84,0.89,-21.29,-24.35
828,25.33,25.04,0.29,0.13,19.38,54.21,35.80,0.93,0.86,-25.33,-19.26
829,23.34,23.90,0.56,0.07,20.92,53.74,33.86,0.88,0.91,-19.14,-22.55
830,23.85,23.85,0.01,0.07,22.60,55.78,34.31,0.90,0.88,-22.21,-21.95
831,26.59,22.90,3.69,0.05,24.75,56.20,32.69,0.88,0.86,-23.61,-21.01
832,26.59,23.72,2.88,0.07,21.53,52.52,32.07,0.86,0.87,-22.88,-21.46
833,25.04,26.39,1.35,0.06,15.41,46.68,32.04,0.86,0.90,-21.82,-24.47
834,25.53,23.52,2.01,0.07,18.63,51.04,33.34,0.93,0.90,-25.37,-21.11
835,24.87,27.24,2.36,0.12,31.97,60.77,30.40,0.89,0.89,-23.45,-24.17
836,24.38,24.32,0.06,0.07,26.25,56.86,31.92,0.89,0.91,-22.45,-24.22
837,23.51,27.08,3.57,0.06,26.09,57.28,32.50,0.85,0.90,-19.50,-24.41
838,25.73,25.90,0.17,0.04,26.62,53.81,28.53,0.88,0.85,-24.60,-22.22
839,22.40,26.05,3.65,0.07,19.23,48.26,29.99,0.87,0.90,-19.65,-25.19
840,24.23,23.49,0.74,0.08,22.28,53.63,32.46,0.88,0.91,-20.60,-23.27
841,24.54,26.34,1.79,0.11,27.36,57.50,31.51,0.91,0.86,-26.12,-21.43
842,24.59,23.47,1.12,0.07,24.03,56.68,33.85,0.89,0.83,-22.74,-18.28
843,22.68,25.41,2.74,0.04,20.95,52.14,32.24,0.83,0.86,-18.39,-22.20
844,26.19,26.69,0.50,0.05,22.12,51.51,30.49,0.89,0.92,-23.59,-25.66
845,25.56,25.85,0.29,0.05,23.56,54.98,32.60,0.91,0.89,-24.80,-22.57
846,24.28,25.94,1.66,0.09,29.58,57.51,29.41,0.84,0.89,-20.57,-24.50
847,23.30,21.49,1.81,0.07,29.23,65.78,38.01,0.89,0.86,-20.23,-17.64
848,23.22,23.11,0.12,0.07,26.32,59.44,34.44,0.88,0.82,-22.07,-16.11
849,26.85,22.85,4.00,0.09,32.31,64.41,33.71,0.90,0.86,-24.50,-18.89
850,19.68,19.91,0.23,0.04,25.02,65.77,42.00,0.89,0.85,-15.73,-15.07
851,25.53,24.59,0.94,0.04,23.80,54.74,32.13,0.90,0.86,-23.83,-20.70
852,23.63,25.68,2.05,0.05,18.19,52.35,35.07,0.88,0.87,-21.79,-20.76
853,24.76,26.17,1.41,0.07,19.56,52.71,34.13,0.87,0.89,-20.56,-23.94
854,23.59,24.55,0.96,0.05,22.38,53.84,32.57,0.88,0.87,-20.40,-20.99
855,25.75,20.65,5.10,0.04,24.28,59.14,36.07,0.91,0.85,-23.62,-16.02
856,23.85,25.44,1.59,0.07,27.51,58.55,32.42,0.91,0.90,-23.08,-23.35
857,26.06,21.47,4.60,0.07,27.88,61.32,34.84,0.87,0.85,-22.44,-17.77
858,23.72,26.57,2.85,0.08,22.18,52.30,31.23,0.88,0.92,-21.36,-24.71
859,23.29,23.51,0.22,0.07,24.69,56.34,32.88,0.90,0.90,-21.79,-21.92
860,25.60,25.45,0.15,0.07,27.18,57.13,31.31,0.90,0.92,-23.46,-24.87
861,26.57,24.31,2.27,0.06,20.39,49.68,30.31,0.88,0.88,-24.14,-22.38
862,25.83,24.64,1.18,0.07,31.69,59.05,28.95,0.93,0.86,-26.85,-20.62
863,23.20,26.48,3.28,0.07,27.00,57.67,32.02,0.88,0.94,-21.20,-26.84
864,28.17,22.72,5.45,0.03,31.01,59.98,30.53,0.88,0.85,-24.56,-20.13
865,22.55,27.12,4.57,0.05,16.88,46.33,30.29,0.87,0.92,-20.74,-25.94
866,21.10,24.21,3.11,0.05,29.93,64.13,35.70,0.89,0.87,-19.24,-19.48
867,21.02,25.69,4.66,0.06,26.36,61.96,36.92,0.83,0.95,-14.41,-25.56
868,24.64,24.66,0.02,0.10,18.03,47.10,29.97,0.87,0.86,-23.23,-20.38
869,23.29,25.90,2.61,0.10,21.43,51.72,31.36,0.88,0.88,-21.02,-22.70
870,26.11,24.97,1.14,0.08,33.42,63.19,31.44,0.88,0.84,-24.71,-20.24
871,26.85,25.45,1.40,0.04,17.62,47.10,30.36,0.86,0.84,-23.42,-21.84
872,23.11,25.20,2.10,0.08,27.66,59.30,33.02,0.85,0.90,-19.13,-23.82
873,24.00,25.09,1.09,0.03,35.16,67.66,34.27,0.93,0.91,-23.87,-24.05
874,26.08,25.72,0.35,0.03,23.67,54.23,31.74,0.86,0.86,-21.83,-23.84
875,22.83,27.87,5.04,0.14,30.69,61.72,32.57,0.90,0.92,-23.76,-25.20
876,23.64,25.64,2.00,0.05,29.14,62.03,34.35,0.90,0.87,-22.52,-21.54
877,24.31,24.19,0.11,0.07,30.98,64.81,35.38,0.87,0.85,-20.85,-20.53
878,24.67,25.19,0.52,0.06,22.90,55.75,34.00,0.91,0.85,-25.18,-18.85
879,24.93,24.89,0.04,0.04,21.32,54.86,34.60,0.85,0.84,-19.02,-21.88
880,30.16,22.95,7.21,0.05,24.38,53.00,29.83,0.92,0.81,-27.89,-18.52
881,21.61,25.51,3.90,0.06,20.56,54.96,35.43,0.87,0.88,-18.41,-21.54
882,25.35,24.99,0.36,0.08,31.04,63.40,33.91,0.84,0.93,-18.71,-25.17
883,25.64,25.15,0.49,0.06,23.80,53.36,30.74,0.92,0.90,-24.81,-24.47
884,23.83,23.75,0.08,0.02,26.74,60.66,35.26,0.86,0.85,-20.48,-20.04
885,25.38,25.14,0.23,0.13,34.47,64.39,31.64,0.92,0.85,-26.35,-19.79
886,26.40,26.14,0.26,0.11,22.03,51.36,30.43,0.86,0.87,-23.70,-22.30
887,24.64,24.43,0.21,0.04,30.79,62.55,33.30,0.92,0.88,-24.63,-20.56
888,23.81,23.84,0.04,0.06,18.89,52.52,34.58,0.88,0.88,-21.61,-20.59
889,28.20,23.89,4.32,0.05,29.70,59.67,31.45,0.89,0.90,-24.72,-24.26
890,23.56,25.51,1.95,0.05,27.02,59.55,33.89,0.90,0.88,-22.10,-22.28
891,26.98,24.84,2.14,0.05,27.22,58.01,32.16,0.90,0.89,-25.20,-22.47
892,26.07,24.81,1.26,0.04,31.53,62.91,32.96,0.88,0.90,-22.29,-24.27
893,22.75,25.31,2.56,0.02,24.42,56.13,32.93,0.84,0.89,-19.18,-23.57
894,25.44,24.88,0.56,0.03,22.60,51.66,30.19,0.88,0.85,-23.55,-20.66
895,24.58,26.80,2.22,0.06,27.03,56.96,31.29,0.89,0.91,-23.03,-24.90
896,21.93,28.28,6.34,0.04,41.59,70.79,31.28,0.82,0.89,-16.60,-26.93
897,29.39,23.95,5.45,0.06,17.85,45.97,29.01,0.91,0.85,-27.21,-20.81
898,24.42,23.99,0.42,0.04,18.92,48.97,30.99,0.88,0.91,-21.56,-24.42
899,23.84,25.03,1.19,0.05,18.66,50.16,32.43,0.90,0.85,-23.88,-20.17
900,26.42,22.46,3.96,0.02,17.30,46.75,30.32,0.93,0.86,-26.38,-19.77
901,25.54,24.07,1.46,0.07,22.33,53.05,31.84,0.87,0.88,-23.74,-21.57
902,23.24,26.52,3.29,0.09,23.36,54.30,32.11,0.88,0.90,-20.72,-24.75
903,25.14,24.39,0.76,0.08,21.27,53.29,33.08,0.88,0.89,-21.14,-21.66
904,24.37,26.09,1.73,0.05,24.08,54.33,31.45,0.87,0.90,-20.94,-24.44
905,27.21,24.08,3.13,0.05,18.89,47.95,30.01,0.87,0.88,-23.25,-22.76
906,24.64,23.51,1.13,0.04,24.52,57.57,34.27,0.90,0.89,-23.19,-21.41
907,23.81,25.41,1.60,0.08,19.01,50.43,32.38,0.90,0.91,-22.49,-23.75
908,26.05,23.25,2.80,0.03,30.85,64.73,35.42,0.89,0.87,-22.51,-21.31
909,25.19,21.60,3.60,0.04,27.55,60.28,34.11,0.89,0.86,-22.33,-18.21
910,18.29,23.92,5.63,0.10,23.32,63.53,41.38,0.83,0.88,-12.11,-18.90
911,23.56,25.51,1.95,0.02,27.13,57.39,31.61,0.85,0.89,-19.55,-24.14
912,25.59,26.18,0.59,0.11,20.79,51.90,32.15,0.91,0.89,-25.04,-23.77
913,26.18,24.11,2.07,0.10,30.21,60.09,31.40,0.90,0.83,-25.95,-18.65
914,26.73,25.11,1.62,0.06,27.09,56.20,30.47,0.88,0.90,-23.58,-23.36
915,23.67,25.43,1.76,0.07,26.01,58.77,34.06,0.90,0.89,-22.17,-22.65
916,25.12,24.23,0.88,0.11,23.44,53.94,31.67,0.86,0.84,-21.91,-20.08
917,25.08,23.15,1.94,0.09,26.69,57.09,31.73,0.92,0.90,-23.86,-21.97
918,27.71,22.81,4.90,0.06,27.47,55.81,29.71,0.88,0.85,-24.75,-20.98
919,25.65,24.55,1.10,0.07,19.43,51.00,32.55,0.85,0.88,-20.02,-24.29
920,24.23,26.13,1.89,0.04,24.15,53.95,31.01,0.86,0.86,-21.35,-22.12
921,26.74,24.19,2.55,0.04,18.24,47.99,30.66,0.88,0.93,-23.69,-24.51
922,24.26,24.77,0.50,0.03,28.02,60.12,33.49,0.87,0.88,-21.34,-22.23
923,25.08,26.18,1.10,0.09,24.25,54.11,31.07,0.92,0.91,-24.20,-23.64
924,23.98,24.57,0.59,0.07,25.56,58.48,34.20,0.88,0.84,-22.09,-19.22
925,25.68,25.27,0.42,0.11,20.49,50.62,31.16,0.87,0.92,-22.38,-24.31
926,26.28,24.90,1.39,0.06,19.57,49.71,31.12,0.86,0.90,-22.12,-24.05
927,24.36,25.47,1.11,0.05,20.18,52.77,33.60,0.84,0.87,-20.37,-21.93
928,23.24,25.09,1.85,0.06,27.48,58.08,31.97,0.87,0.90,-21.16,-23.26
929,25.81,25.18,0.63,0.04,31.13,62.98,33.41,0.93,0.90,-24.84,-22.94
930,28.19,22.32,5.87,0.07,19.15,49.29,31.09,0.91,0.87,-26.67,-19.94
931,29.01,23.72,5.29,0.07,29.97,59.74,31.26,0.90,0.84,-27.03,-19.75
932,26.21,24.30,1.91,0.07,25.63,53.78,29.43,0.88,0.86,-24.95,-20.94
933,26.43,25.60,0.83,0.12,16.25,45.00,29.56,0.92,0.88,-26.46,-22.49
934,23.17,24.47,1.31,0.11,25.06,58.32,34.52,0.91,0.89,-21.31,-20.82
935,25.90,22.99,2.91,0.03,23.65,56.54,34.07,0.89,0.87,-22.56,-20.90
936,24.84,23.22,1.62,0.03,23.30,55.28,33.15,0.88,0.85,-23.53,-18.62
937,25.21,25.92,0.70,0.05,24.95,55.47,31.77,0.90,0.90,-24.37,-23.98
938,25.70,23.71,1.99,0.05,23.31,53.90,31.76,0.90,0.90,-23.26,-22.78
939,24.77,25.20,0.43,0.09,26.76,58.40,32.98,0.88,0.88,-22.24,-22.22
940,24.49,26.68,2.19,0.08,24.43,53.72,30.52,0.87,0.86,-22.93,-22.51
941,23.35,25.68,2.33,0.08,24.11,54.60,31.69,0.86,0.90,-20.94,-23.80
942,22.81,27.16,4.35,0.11,18.40,48.74,31.26,0.87,0.88,-21.49,-24.19
943,25.47,22.67,2.79,0.05,18.01,49.87,32.75,0.89,0.85,-23.06,-20.13
944,21.22,24.21,2.99,0.11,13.76,49.43,36.36,0.87,0.86,-17.29,-19.25
945,22.24,25.64,3.39,0.03,22.60,53.53,32.05,0.88,0.87,-20.59,-22.55
946,25.71,24.33,1.39,0.13,18.73,52.26,34.46,0.89,0.89,-23.25,-21.72
947,28.18,23.91,4.27,0.09,21.03,50.95,30.96,0.90,0.88,-25.05,-21.90
948,26.41,25.09,1.32,0.01,21.99,51.89,31.00,0.91,0.88,-25.27,-22.80
949,22.90,25.46,2.56,0.10,32.01,66.39,35.98,0.84,0.88,-17.70,-22.31
950,27.08,24.09,2.99,0.06,31.75,61.90,31.73,0.88,0.90,-23.66,-23.04
951,25.60,26.13,0.53,0.06,20.01,49.84,30.83,0.89,0.92,-22.39,-25.24
952,26.19,24.66,1.53,0.03,21.67,51.52,30.93,0.92,0.89,-25.24,-22.61
953,26.31,24.61,1.70,0.04,22.73,52.16,30.56,0.85,0.85,-22.15,-20.91
954,27.32,23.67,3.65,0.06,27.15,58.37,32.58,0.88,0.85,-24.36,-20.36
955,25.11,26.99,1.88,0.10,21.58,51.56,31.05,0.87,0.90,-23.45,-23.60
956,24.35,25.99,1.64,0.09,18.51,48.04,30.45,0.89,0.87,-21.74,-23.58
957,24.58,24.35,0.23,0.05,22.75,54.90,33.29,0.82,0.85,-18.57,-21.30
958,22.39,25.47,3.09,0.10,23.09,55.38,33.44,0.87,0.92,-19.32,-24.09
959,26.76,24.11,2.65,0.02,21.43,51.64,31.28,0.93,0.89,-25.96,-21.98
960,24.02,27.33,3.31,0.05,20.00,48.90,29.90,0.87,0.92,-21.40,-26.37
961,26.49,25.58,0.91,0.05,38.65,66.79,30.07,0.88,0.87,-23.73,-22.94
962,24.23,25.33,1.10,0.06,23.12,54.58,32.62,0.86,0.87,-21.01,-22.59
963,26.05,24.82,1.23,0.07,18.73,50.98,33.19,0.90,0.86,-24.44,-20.36
