,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
454,24.62,26.18,1.56,0.04,20.26,51.32,32.08,0.87,0.87,-21.95,-22.70
455,24.76,26.42,1.66,0.05,32.40,62.98,32.20,0.87,0.88,-22.37,-22.63
456,24.69,26.35,1.67,0.06,21.87,52.79,32.01,0.92,0.85,-26.02,-20.88
457,22.56,25.93,3.37,0.15,26.69,58.83,33.47,0.88,0.89,-19.70,-23.21
458,27.07,24.27,2.80,0.06,19.68,49.13,30.43,0.89,0.89,-24.80,-21.67
459,24.86,25.14,0.28,0.04,23.06,54.71,32.80,0.86,0.92,-20.21,-25.27
460,24.23,23.09,1.14,0.03,22.42,54.60,33.31,0.88,0.88,-21.30,-20.70
461,25.04,24.12,0.92,0.08,22.47,55.03,33.69,0.89,0.88,-22.97,-20.34
462,23.53,22.58,0.95,0.02,30.67,65.07,35.94,0.88,0.85,-20.26,-18.53
463,27.14,23.92,3.22,0.08,16.32,47.94,32.44,0.91,0.89,-24.70,-22.58
464,24.88,24.67,0.21,0.13,18.14,50.92,33.69,0.91,0.86,-23.66,-19.71
465,26.75,23.17,3.59,0.05,23.67,52.93,30.45,0.89,0.87,-23.95,-21.30
466,24.94,24.85,0.10,0.01,23.67,52.91,30.43,0.88,0.84,-22.43,-21.80
467,26.24,22.92,3.32,0.03,39.92,71.97,34.05,0.91,0.84,-26.08,-18.84
468,25.42,26.15,0.74,0.08,20.65,52.24,32.62,0.86,0.90,-21.42,-24.08
469,23.26,26.77,3.51,0.02,25.51,56.01,31.78,0.87,0.88,-20.31,-24.73
470,22.18,24.51,2.33,0.06,28.28,59.85,32.98,0.88,0.90,-20.19,-21.90
471,24.67,24.51,0.16,0.15,19.49,51.81,33.30,0.92,0.85,-24.90,-18.69
472,27.87,23.75,4.12,0.09,23.05,54.99,33.09,0.87,0.85,-22.56,-21.27
473,23.04,26.21,3.17,0.07,21.26,54.70,34.51,0.83,0.86,-18.90,-21.90
474,24.78,23.62,1.17,0.05,23.66,51.89,29.42,0.88,0.88,-23.77,-21.29
475,27.84,23.52,4.32,0.07,22.41,52.35,31.06,0.90,0.84,-25.81,-20.14
476,24.77,24.81,0.05,0.05,38.30,68.17,31.78,0.88,0.87,-22.60,-22.39
477,23.36,24.27,0.90,0.05,19.41,53.69,35.24,0.91,0.92,-20.89,-22.95
478,24.75,24.59,0.16,0.03,32.72,63.71,32.62,0.90,0.90,-22.29,-22.93
479,25.09,25.24,0.15,0.02,24.28,54.15,31.08,0.84,0.92,-19.83,-26.23
480,21.01,20.32,0.68,0.12,21.94,63.28,42.44,0.85,0.83,-14.94,-13.05
481,24.61,26.36,1.75,0.04,21.85,52.05,31.29,0.86,0.91,-20.67,-25.53
482,23.78,24.70,0.92,0.06,30.84,62.59,33.29,0.82,0.89,-18.29,-23.96
483,22.79,20.27,2.52,0.04,33.14,69.58,38.10,0.91,0.86,-20.86,-16.42
484,24.83,24.79,0.04,0.05,23.97,52.61,29.84,0.90,0.87,-22.81,-22.42
485,25.56,26.22,0.66,0.10,17.98,49.58,32.49,0.87,0.88,-21.39,-23.41
486,26.68,23.59,3.09,0.09,19.82,54.00,35.17,0.86,0.90,-19.46,-23.16
487,24.69,25.31,0.62,0.09,18.56,52.21,34.58,0.87,0.87,-21.79,-21.79
488,23.09,20.64,2.45,0.11,24.51,62.46,39.17,0.88,0.87,-18.35,-17.09
489,23.43,25.57,2.14,0.08,27.35,58.68,32.70,0.87,0.88,-20.58,-22.60
490,24.93,25.83,0.90,0.02,31.08,60.76,31.24,0.87,0.87,-21.38,-23.63
491,26.42,22.66,3.76,0.04,27.99,59.22,32.63,0.92,0.89,-23.88,-21.44
492,26.08,25.02,1.06,0.06,28.41,60.69,33.70,0.89,0.88,-23.07,-22.76
493,26.92,23.48,3.44,0.03,17.82,48.15,31.22,0.92,0.85,-25.07,-21.24
494,24.14,23.78,0.36,0.03,25.03,57.30,33.52,0.89,0.90,-21.56,-22.92
495,23.03,25.92,2.89,0.04,22.54,51.21,29.79,0.87,0.93,-19.27,-27.89
496,24.41,24.92,0.51,0.07,23.60,55.10,32.68,0.90,0.88,-23.61,-22.08
497,24.48,27.33,2.86,0.10,16.78,46.04,30.10,0.87,0.92,-21.16,-26.68
498,25.80,23.77,2.04,0.06,26.21,55.41,30.51,0.88,0.82,-23.43,-19.98
499,26.18,23.97,2.21,0.03,22.39,52.78,31.50,0.87,0.88,-22.04,-21.84
500,23.70,25.06,1.35,0.06,18.23,51.99,34.67,0.90,0.90,-21.77,-22.24
501,24.88,22.80,2.08,0.05,29.18,62.22,34.50,0.88,0.88,-22.83,-19.73
502,23.14,26.12,2.98,0.07,26.91,57.27,31.71,0.83,0.93,-18.15,-26.27
503,27.10,20.96,6.14,0.10,27.11,61.38,35.62,0.93,0.83,-26.56,-13.50
504,25.44,24.81,0.63,0.04,24.51,55.97,32.68,0.86,0.85,-21.58,-21.81
505,26.91,23.66,3.24,0.06,18.45,48.07,30.54,0.88,0.87,-22.41,-23.08
506,24.95,22.79,2.16,0.06,16.14,46.85,31.51,0.89,0.86,-23.48,-19.85
507,24.05,25.91,1.86,0.04,18.94,50.54,32.54,0.89,0.87,-22.34,-22.59
508,26.62,24.63,1.99,0.07,25.04,54.72,30.94,0.89,0.87,-24.79,-22.13
509,24.15,24.15,0.00,0.08,24.01,55.45,32.64,0.87,0.84,-21.98,-19.05
510,24.87,25.07,0.20,0.08,17.52,45.00,28.35,0.87,0.90,-22.56,-23.91
511,26.14,23.02,3.11,0.03,26.62,57.85,32.56,0.86,0.87,-21.67,-21.21
512,23.05,23.48,0.43,0.06,29.41,61.80,33.86,0.90,0.89,-22.27,-20.21
513,23.17,26.10,2.93,0.07,27.24,58.78,32.91,0.85,0.90,-18.92,-24.49
514,25.05,25.87,0.82,0.06,17.54,47.94,31.28,0.84,0.92,-20.50,-25.56
515,24.25,26.88,2.63,0.06,23.89,54.63,31.93,0.88,0.87,-22.40,-22.92
516,24.01,27.64,3.63,0.11,22.25,53.89,32.76,0.90,0.85,-23.30,-23.03
517,23.35,24.88,1.54,0.02,31.60,61.16,31.14,0.85,0.89,-20.10,-23.74
518,23.19,25.73,2.54,0.11,26.71,60.29,34.91,0.90,0.88,-21.73,-21.02
519,26.08,25.22,0.86,0.06,23.75,52.61,30.04,0.86,0.86,-24.39,-21.37
520,23.44,26.86,3.42,0.10,22.15,52.15,31.11,0.90,0.90,-23.24,-23.21
521,24.34,24.98,0.64,0.06,28.64,59.12,31.91,0.88,0.86,-22.65,-21.04
522,24.57,25.80,1.23,0.06,21.05,51.44,31.45,0.89,0.90,-22.49,-24.16
523,25.18,24.19,1.00,0.04,32.38,62.33,31.56,0.88,0.85,-22.65,-20.21
524,23.26,26.31,3.05,0.06,24.28,57.76,34.69,0.87,0.91,-20.76,-23.90
525,23.05,24.92,1.88,0.06,20.54,53.71,34.20,0.86,0.91,-19.21,-23.98
526,24.54,23.43,1.11,0.01,22.06,54.12,33.16,0.88,0.88,-22.19,-20.81
527,24.33,22.96,1.37,0.02,19.41,52.45,34.01,0.91,0.89,-22.63,-19.98
528,25.17,24.43,0.73,0.10,18.50,49.62,32.05,0.89,0.87,-23.78,-20.62
529,21.34,25.05,3.72,0.10,20.75,56.53,36.81,0.84,0.87,-16.69,-20.06
530,23.35,25.31,1.96,0.06,27.26,57.32,31.42,0.82,0.88,-17.70,-25.03
531,21.55,27.59,6.05,0.05,28.65,61.69,34.47,0.84,0.90,-16.69,-25.60
532,24.98,24.62,0.36,0.06,26.79,57.93,32.47,0.91,0.88,-25.05,-21.09
533,25.91,23.74,2.17,0.05,36.82,67.31,32.34,0.91,0.88,-24.06,-21.21
534,25.18,22.38,2.79,0.04,25.39,58.47,34.35,0.91,0.88,-23.13,-20.74
535,27.32,23.45,3.87,0.00,24.04,52.82,29.98,0.86,0.89,-22.39,-23.72
536,25.10,24.71,0.38,0.05,26.62,56.56,31.27,0.88,0.88,-23.11,-22.65
537,24.27,24.03,0.24,0.06,26.41,58.41,33.32,0.88,0.86,-22.27,-20.07
538,25.47,23.15,2.32,0.07,22.78,56.11,34.47,0.87,0.83,-21.67,-18.15
539,24.61,23.48,1.12,0.05,30.39,65.12,36.25,0.90,0.87,-21.29,-19.90
540,23.81,24.72,0.91,0.04,23.20,56.31,34.27,0.89,0.90,-21.34,-22.98
541,23.67,23.33,0.33,0.09,20.09,52.06,32.97,0.87,0.86,-22.31,-18.81
542,25.21,23.30,1.91,0.05,22.17,53.43,32.37,0.89,0.85,-23.44,-19.15
543,24.47,25.39,0.92,0.05,33.29,63.67,32.04,0.90,0.85,-24.16,-20.38
544,25.88,25.88,0.01,0.06,18.20,46.38,29.10,0.88,0.92,-22.63,-26.92
545,24.59,22.74,1.85,0.04,27.56,58.30,32.12,0.91,0.87,-22.97,-19.58
546,24.90,26.51,1.62,0.12,22.99,52.78,30.94,0.87,0.89,-21.28,-23.92
547,25.03,26.31,1.28,0.13,34.92,66.19,33.02,0.85,0.87,-21.19,-22.45
548,24.90,26.09,1.18,0.07,21.98,54.21,33.32,0.87,0.88,-22.33,-22.12
549,27.29,23.90,3.39,0.02,23.05,53.88,31.98,0.91,0.86,-25.70,-20.72
550,24.49,24.86,0.37,0.05,20.32,50.29,30.98,0.89,0.89,-21.77,-22.97
551,25.10,26.08,0.98,0.04,28.29,57.46,30.58,0.86,0.88,-21.49,-24.27
552,22.60,26.54,3.95,0.04,21.88,54.95,34.17,0.87,0.92,-18.98,-26.01
553,23.33,26.88,3.56,0.09,22.14,54.11,33.08,0.86,0.90,-20.12,-23.33
554,27.49,22.29,5.20,0.06,21.42,52.82,32.47,0.92,0.86,-25.38,-19.36
555,23.05,25.50,2.45,0.01,20.32,52.30,33.00,0.87,0.92,-19.51,-25.54
556,23.91,25.08,1.17,0.07,24.65,58.17,34.75,0.90,0.91,-21.70,-23.79
557,23.11,23.78,0.67,0.03,29.04,61.88,34.29,0.89,0.88,-19.38,-22.97
558,24.21,27.54,3.33,0.02,17.11,47.00,30.75,0.86,0.90,-21.31,-26.03
559,24.44,25.76,1.32,0.10,21.25,52.00,31.82,0.90,0.89,-23.29,-22.41
560,23.00,24.65,1.65,0.09,19.80,53.99,35.18,0.88,0.92,-19.61,-23.42
561,27.68,22.64,5.04,0.01,28.45,58.26,31.23,0.86,0.83,-24.50,-18.65
562,24.81,25.60,0.79,0.07,23.42,55.57,33.32,0.89,0.89,-21.90,-23.18
563,26.24,22.07,4.18,0.07,23.74,56.51,33.95,0.92,0.86,-26.01,-18.17
564,25.67,24.19,1.48,0.03,27.20,56.61,30.77,0.87,0.86,-22.98,-21.69
565,24.16,25.57,1.42,0.04,22.48,56.20,34.84,0.86,0.93,-20.25,-25.35
566,19.70,22.35,2.65,0.04,28.79,67.19,39.84,0.82,0.93,-12.71,-22.24
567,27.36,23.79,3.56,0.08,27.08,55.95,30.22,0.88,0.84,-23.48,-20.68
568,24.57,23.51,1.05,0.06,23.69,57.56,35.05,0.87,0.89,-19.56,-21.67
569,25.53,26.09,0.56,0.04,28.90,58.23,30.77,0.90,0.88,-24.43,-23.62
570,26.01,24.43,1.59,0.03,31.18,61.90,32.29,0.88,0.83,-23.91,-20.20
571,23.88,26.54,2.65,0.05,31.56,62.61,32.63,0.82,0.90,-19.10,-25.04
572,24.40,23.75,0.64,0.05,23.36,55.64,33.45,0.89,0.87,-22.77,-19.79
573,22.86,25.90,3.04,0.05,24.37,55.26,32.10,0.87,0.88,-20.05,-23.30
574,24.74,24.70,0.04,0.04,25.44,56.68,32.51,0.84,0.88,-18.39,-24.13
575,24.89,25.50,0.61,0.07,22.84,54.85,33.15,0.87,0.87,-21.83,-21.94
576,25.07,23.24,1.82,0.03,24.66,56.30,32.88,0.87,0.90,-20.61,-22.97
577,24.71,25.35,0.64,0.07,24.57,55.22,31.88,0.85,0.90,-20.58,-23.72
578,26.08,24.89,1.18,0.04,17.75,50.56,33.70,0.92,0.87,-26.41,-21.25
579,27.48,25.23,2.25,0.11,19.80,48.64,29.83,0.87,0.85,-23.87,-22.54
580,23.61,26.86,3.24,0.09,16.86,48.16,32.15,0.81,0.89,-18.14,-24.50
581,25.97,21.59,4.38,0.02,25.99,60.02,35.34,0.85,0.80,-22.08,-15.82
582,24.88,26.50,1.62,0.07,33.05,62.56,31.17,0.93,0.90,-26.68,-22.79
583,23.78,25.65,1.87,0.06,21.00,51.40,31.45,0.83,0.91,-19.58,-25.59
584,24.89,24.73,0.16,0.07,22.69,52.45,30.89,0.89,0.86,-23.42,-20.57
585,22.54,25.07,2.53,0.05,23.20,55.51,33.47,0.86,0.90,-18.71,-24.16
586,26.66,23.82,2.85,0.05,29.35,59.64,31.77,0.93,0.88,-25.53,-21.52
587,25.83,24.39,1.44,0.07,23.44,54.68,32.41,0.88,0.84,-23.11,-19.64
588,27.08,23.50,3.58,0.05,25.58,56.25,31.94,0.92,0.86,-26.45,-20.00
589,26.21,25.79,0.42,0.08,24.45,53.84,30.61,0.90,0.90,-24.57,-24.02
590,24.42,24.61,0.19,0.07,21.81,53.57,32.84,0.91,0.89,-23.49,-21.76
591,21.11,26.51,5.40,0.07,15.48,48.96,34.25,0.87,0.92,-18.49,-23.74
592,23.19,23.90,0.71,0.04,22.66,56.18,34.66,0.83,0.86,-19.22,-20.16
593,24.54,24.54,0.01,0.07,28.09,61.91,35.22,0.91,0.88,-23.44,-20.19
594,26.83,23.54,3.30,0.05,25.04,55.08,31.29,0.90,0.84,-25.98,-18.71
595,21.20,27.42,6.22,0.11,24.42,57.47,34.27,0.84,0.85,-18.93,-21.22
596,23.58,25.71,2.13,0.05,21.11,51.40,31.35,0.83,0.91,-18.25,-27.24
597,26.15,23.55,2.60,0.06,27.46,60.23,34.14,0.89,0.85,-23.99,-19.04
598,25.41,24.59,0.82,0.07,23.02,53.56,31.69,0.89,0.85,-23.49,-20.51
599,25.85,25.21,0.64,0.01,25.07,52.23,28.42,0.86,0.90,-22.17,-25.28
600,21.85,22.22,0.37,0.03,23.53,60.16,37.81,0.85,0.84,-18.54,-16.44
601,24.12,25.76,1.64,0.07,26.64,56.11,30.80,0.83,0.89,-19.31,-24.57
602,25.15,24.41,0.74,0.03,20.26,50.20,30.95,0.89,0.86,-23.25,-21.77
603,24.93,23.87,1.06,0.04,22.25,55.70,34.56,0.92,0.88,-23.82,-20.85
604,24.91,26.71,1.80,0.06,23.61,55.04,32.61,0.88,0.92,-22.50,-26.17
605,25.71,24.07,1.64,0.06,17.81,48.82,31.90,0.89,0.88,-22.91,-22.36
606,26.69,24.47,2.22,0.06,22.95,53.37,31.57,0.90,0.88,-24.46,-22.47
607,24.08,25.21,1.13,0.08,24.89,56.57,32.93,0.85,0.87,-20.35,-22.36
608,25.34,25.89,0.55,0.08,22.13,52.59,31.56,0.86,0.91,-21.47,-25.16
609,24.57,26.05,1.48,0.04,22.38,53.85,32.59,0.87,0.89,-22.13,-22.91
610,21.72,24.33,2.60,0.02,19.57,55.56,36.97,0.80,0.88,-13.78,-22.61
611,25.39,25.40,0.01,0.11,24.99,57.26,33.52,0.89,0.86,-23.69,-20.85
612,25.50,24.56,0.94,0.04,21.29,51.15,30.92,0.88,0.85,-22.96,-21.08
613,22.05,25.35,3.30,0.06,21.23,52.79,32.62,0.87,0.90,-19.49,-22.85
614,24.36,26.05,1.68,0.06,20.42,50.52,31.12,0.89,0.90,-21.34,-25.00
615,25.55,25.29,0.26,0.08,28.42,60.43,33.43,0.88,0.89,-22.50,-23.68
616,25.85,26.15,0.30,0.05,24.32,55.33,32.22,0.93,0.88,-24.46,-23.52
617,22.58,24.45,1.87,0.05,21.52,55.72,35.28,0.87,0.89,-18.80,-22.40
618,25.14,23.30,1.84,0.07,32.98,64.46,33.12,0.92,0.87,-24.84,-19.37
619,21.64,24.23,2.59,0.06,20.65,56.20,36.59,0.89,0.89,-18.93,-20.93
620,24.37,25.74,1.37,0.01,25.42,56.51,32.37,0.89,0.85,-22.66,-23.40
621,25.30,23.61,1.69,0.05,23.01,55.29,33.44,0.84,0.88,-20.34,-21.54
622,26.45,24.94,1.51,0.12,23.86,53.48,30.81,0.88,0.84,-25.23,-19.06
623,26.93,22.96,3.97,0.08,14.92,46.19,32.02,0.91,0.87,-24.87,-20.47
624,24.39,24.51,0.12,0.03,25.48,56.02,31.82,0.89,0.85,-22.36,-21.07
625,25.59,26.08,0.50,0.08,25.38,57.49,33.38,0.90,0.87,-24.22,-21.97
626,26.18,25.78,0.40,0.04,25.67,52.06,27.67,0.90,0.89,-25.09,-23.79
627,23.36,24.29,0.94,0.08,24.18,55.04,32.06,0.88,0.86,-22.12,-19.94
628,26.29,25.93,0.36,0.10,21.57,52.05,31.56,0.87,0.84,-25.08,-19.87
629,24.59,25.94,1.35,0.10,17.86,51.85,34.89,0.89,0.86,-22.84,-20.84
630,21.40,24.89,3.50,0.11,30.75,64.82,35.61,0.86,0.88,-17.86,-20.50
631,23.90,23.24,0.66,0.03,25.72,59.50,35.07,0.87,0.88,-20.85,-20.72
632,25.51,23.58,1.93,0.05,24.81,56.97,33.41,0.83,0.89,-17.82,-24.05
633,22.84,23.19,0.35,0.10,16.63,52.45,36.65,0.89,0.87,-20.84,-18.10
634,23.23,24.05,0.82,0.01,29.06,63.13,35.52,0.87,0.93,-18.25,-24.30
635,24.56,22.55,2.00,0.01,35.36,69.34,35.75,0.90,0.85,-22.81,-18.94
636,27.27,26.45,0.82,0.09,19.03,48.54,30.46,0.89,0.88,-24.97,-23.75
637,22.99,27.78,4.79,0.08,24.08,55.25,32.38,0.86,0.94,-19.92,-27.01
638,24.69,25.91,1.21,0.05,30.27,61.07,32.31,0.91,0.88,-24.89,-23.19
639,23.92,23.86,0.06,0.04,33.32,68.07,36.42,0.88,0.84,-21.00,-18.31
640,24.40,23.61,0.79,0.06,21.07,52.12,32.10,0.86,0.88,-19.70,-22.09
641,23.75,25.52,1.77,0.13,29.32,61.19,33.34,0.92,0.88,-24.30,-20.82
642,25.38,24.24,1.14,0.04,27.22,54.05,28.19,0.88,0.86,-23.35,-21.57
643,23.47,26.46,2.99,0.04,24.31,57.33,34.23,0.84,0.91,-18.87,-24.53
644,21.26,26.42,5.16,0.10,18.67,53.40,35.67,0.86,0.93,-17.23,-24.59
645,23.65,24.73,1.08,0.05,31.46,61.05,31.16,0.87,0.88,-20.91,-22.94
646,26.08,24.64,1.44,0.02,13.47,45.77,32.98,0.86,0.89,-20.98,-24.27
647,22.87,25.42,2.56,0.05,21.37,51.84,31.53,0.83,0.90,-18.80,-23.48
648,25.28,25.46,0.18,0.05,25.87,57.18,32.60,0.88,0.90,-23.31,-23.27
649,25.35,24.52,0.82,0.05,19.83,48.40,29.56,0.89,0.90,-23.25,-23.61
650,22.74,27.21,4.46,0.13,19.71,49.01,30.28,0.87,0.90,-21.56,-25.16
651,23.05,22.06,0.99,0.07,24.22,59.34,36.33,0.87,0.91,-18.63,-20.78
652,25.49,25.08,0.41,0.10,21.04,52.78,32.78,0.89,0.85,-23.40,-20.24
653,24.05,25.03,0.98,0.07,22.93,55.41,33.63,0.88,0.92,-19.82,-25.10
654,25.67,25.18,0.49,0.06,33.39,64.81,33.09,0.90,0.92,-23.22,-24.73
655,24.90,25.43,0.53,0.06,21.49,54.31,33.90,0.89,0.91,-21.22,-25.12
656,26.36,23.74,2.63,0.05,38.92,72.54,35.56,0.91,0.91,-23.36,-22.65
657,26.30,24.00,2.31,0.04,25.32,56.45,32.39,0.92,0.89,-24.92,-20.81
658,26.19,19.86,6.33,0.04,26.34,59.89,34.86,0.90,0.81,-25.41,-14.76
659,22.16,23.09,0.93,0.04,25.75,63.02,38.55,0.84,0.90,-15.79,-20.95
660,25.00,24.80,0.20,0.05,17.93,48.31,31.28,0.87,0.88,-21.07,-23.18
661,24.95,23.52,1.43,0.07,25.79,58.74,34.23,0.88,0.83,-21.41,-18.17
662,25.19,24.88,0.31,0.08,17.52,49.82,33.17,0.92,0.92,-23.54,-23.61
663,23.74,24.38,0.64,0.10,20.27,53.46,34.21,0.86,0.90,-19.69,-22.43
664,25.66,24.08,1.57,0.10,23.02,56.21,34.34,0.87,0.87,-20.92,-21.20
665,26.11,24.60,1.50,0.06,18.53,48.76,31.15,0.87,0.90,-21.92,-24.04
666,23.94,26.79,2.85,0.01,24.54,54.67,31.35,0.87,0.89,-21.08,-26.29
667,24.56,27.94,3.38,0.13,28.36,57.14,30.19,0.83,0.82,-21.30,-21.50
668,25.58,26.14,0.56,0.08,13.31,45.00,32.36,0.87,0.91,-21.76,-24.47
669,24.20,21.55,2.65,0.03,29.72,64.13,35.90,0.92,0.89,-22.72,-18.83
670,24.61,24.10,0.51,0.06,27.84,62.37,35.92,0.87,0.90,-20.06,-22.92
671,24.83,24.79,0.04,0.09,18.82,51.56,33.68,0.88,0.89,-22.16,-21.34
672,26.32,22.84,3.48,0.05,19.11,50.62,32.46,0.94,0.83,-28.58,-15.98
673,25.42,27.48,2.06,0.08,19.42,51.88,33.44,0.87,0.92,-20.56,-27.69
