,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
125,25.39,24.24,1.15,0.05,56.56,90.00,36.26,0.88,0.86,-23.83,-20.16
126,23.54,29.31,5.77,0.05,51.02,83.58,35.12,0.81,0.90,-16.89,-26.93
127,28.48,25.24,3.23,0.06,53.25,85.52,34.94,0.89,0.90,-24.80,-22.54
128,25.49,24.53,0.95,0.07,59.73,87.52,30.77,0.84,0.90,-20.24,-24.99
129,25.21,28.78,3.57,0.07,47.19,81.43,36.60,0.87,0.92,-20.75,-28.24
130,22.77,25.74,2.97,0.03,58.44,90.00,34.48,0.85,0.87,-19.54,-21.57
131,23.24,27.01,3.77,0.07,57.55,90.00,35.33,0.86,0.91,-18.83,-25.77
132,25.95,20.98,4.97,0.04,53.26,82.43,31.84,0.89,0.83,-25.08,-16.49
133,25.13,24.86,0.26,0.03,42.38,77.07,36.81,0.89,0.89,-22.37,-22.42
134,26.73,23.55,3.18,0.05,50.86,86.46,38.15,0.88,0.88,-22.37,-20.63
135,25.76,22.98,2.77,0.04,51.05,80.79,32.29,0.90,0.91,-23.41,-23.14
136,25.44,27.83,2.39,0.04,52.93,86.28,36.00,0.88,0.91,-22.93,-25.65
137,25.94,27.29,1.35,0.10,57.52,90.00,35.35,0.89,0.89,-23.28,-23.55
138,25.84,24.35,1.49,0.07,55.84,89.82,36.77,0.89,0.85,-24.14,-19.09
139,24.96,22.97,1.99,0.05,51.16,84.51,35.91,0.88,0.88,-21.39,-20.84
140,25.94,24.32,1.63,0.06,54.05,82.80,31.45,0.87,0.87,-23.00,-22.61
141,23.08,24.44,1.37,0.03,61.47,90.00,31.60,0.92,0.91,-23.18,-24.61
142,25.84,23.74,2.10,0.03,53.13,86.56,36.08,0.89,0.89,-22.90,-22.28
143,24.33,24.84,0.51,0.05,38.76,68.70,31.88,0.88,0.89,-21.67,-23.54
144,24.62,22.51,2.10,0.04,55.15,87.42,35.03,0.88,0.88,-21.64,-19.88
145,18.61,24.76,6.15,0.11,55.63,89.94,37.09,0.87,0.88,-16.27,-20.30
146,26.74,22.11,4.63,0.07,55.25,90.00,37.51,0.90,0.85,-23.43,-17.38
147,26.24,24.00,2.24,0.07,52.40,78.99,29.21,0.88,0.88,-23.73,-22.21
148,25.35,26.28,0.93,0.03,46.78,77.79,33.35,0.89,0.90,-23.16,-25.04
149,23.20,22.32,0.87,0.01,49.31,84.45,37.60,0.91,0.86,-21.97,-18.50
150,24.16,26.70,2.54,0.07,59.65,90.00,33.34,0.93,0.92,-23.94,-23.76
151,23.42,24.89,1.47,0.08,51.21,84.15,35.50,0.87,0.88,-20.45,-21.94
152,26.10,26.70,0.60,0.08,47.58,78.64,33.44,0.83,0.87,-21.09,-23.39
153,23.11,24.96,1.85,0.10,58.66,88.26,32.53,0.86,0.90,-20.40,-24.12
154,19.44,25.19,5.75,0.07,50.95,88.07,39.67,0.82,0.88,-13.03,-22.25
155,25.48,20.50,4.98,0.05,48.88,83.96,37.52,0.89,0.82,-22.50,-15.11
156,26.82,25.28,1.54,0.03,61.40,90.00,31.67,0.89,0.88,-25.74,-22.75
157,28.84,25.27,3.57,0.09,57.09,90.00,35.77,0.92,0.87,-26.28,-21.10
158,25.30,25.65,0.35,0.11,46.72,82.15,37.76,0.86,0.89,-20.65,-22.74
159,25.68,25.86,0.17,0.06,45.90,70.20,26.59,0.89,0.88,-25.12,-24.09
160,25.94,26.96,1.02,0.06,55.93,90.00,36.87,0.84,0.89,-19.81,-23.84
161,27.93,24.53,3.39,0.02,50.96,81.89,33.48,0.90,0.87,-26.39,-22.31
162,22.81,25.82,3.01,0.03,55.11,90.00,37.64,0.86,0.89,-19.05,-23.24
163,23.61,24.58,0.97,0.03,46.68,79.88,35.53,0.87,0.89,-20.64,-22.85
164,26.04,25.26,0.77,0.06,57.39,90.00,35.48,0.88,0.85,-21.97,-20.91
165,24.36,25.45,1.09,0.08,58.12,87.93,32.71,0.87,0.91,-20.87,-24.72
166,22.81,24.47,1.66,0.07,44.14,73.74,31.81,0.87,0.92,-19.75,-24.88
167,23.90,26.30,2.40,0.05,49.28,79.32,32.50,0.86,0.88,-20.62,-23.58
168,21.75,24.28,2.53,0.03,43.33,74.16,32.99,0.87,0.89,-20.64,-21.11
169,27.79,24.97,2.82,0.04,47.38,77.89,32.87,0.88,0.86,-25.42,-21.34
170,20.16,26.40,6.23,0.05,57.20,90.00,35.66,0.85,0.89,-16.82,-24.06
171,26.74,23.94,2.81,0.06,59.49,90.00,33.49,0.89,0.87,-24.80,-20.21
172,27.19,23.36,3.83,0.05,50.18,82.27,34.60,0.92,0.85,-26.79,-18.95
173,25.38,24.01,1.37,0.05,50.45,81.83,33.90,0.89,0.91,-22.29,-22.79
174,26.64,25.87,0.77,0.09,52.98,80.86,30.54,0.93,0.86,-26.14,-22.76
175,25.42,25.21,0.21,0.11,54.86,90.00,37.88,0.91,0.89,-22.42,-20.93
176,25.64,24.72,0.92,0.06,56.36,90.00,36.46,0.91,0.90,-23.53,-21.29
177,26.41,27.32,0.91,0.07,43.74,76.21,34.66,0.86,0.87,-22.39,-23.74
178,24.89,25.36,0.47,0.07,47.26,77.30,32.40,0.88,0.86,-23.57,-21.04
179,24.40,24.62,0.21,0.06,54.69,83.02,31.07,0.89,0.89,-23.30,-22.67
180,25.06,26.53,1.46,0.04,48.74,75.66,29.36,0.87,0.92,-23.53,-26.93
