,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
82,21.88,26.34,4.46,0.06,47.58,90.00,44.79,21.62,27.07
83,24.46,24.08,0.38,0.07,57.05,90.00,35.80,27.14,27.40
84,25.66,25.93,0.26,0.01,58.89,90.00,34.05,29.17,28.93
85,24.01,26.65,2.64,0.05,54.96,90.00,37.79,26.22,27.51
86,22.82,23.17,0.34,0.03,57.70,90.00,35.18,26.41,26.71
87,25.52,24.99,0.53,0.08,57.05,90.00,35.80,28.10,26.55
88,23.65,24.71,1.07,0.03,62.66,90.00,30.47,28.59,28.76
89,26.06,24.61,1.46,0.09,55.53,90.00,37.25,26.89,27.57
90,21.07,24.33,3.26,0.13,52.20,90.00,40.41,21.65,25.87
91,23.16,21.05,2.11,0.06,56.41,90.00,36.41,27.47,23.70
92,22.06,23.82,1.76,0.01,53.19,90.00,39.47,24.32,26.09
93,24.02,21.68,2.33,0.03,61.09,90.00,31.96,26.59,26.06
94,21.94,21.27,0.67,0.02,58.07,90.00,34.83,26.99,25.98
95,23.93,22.55,1.38,0.04,60.41,90.00,32.61,27.97,25.34
96,23.32,24.30,0.98,0.03,58.24,90.00,34.67,25.33,27.17
97,23.37,23.05,0.32,0.03,58.54,90.00,34.39,25.91,25.42
98,23.11,22.98,0.13,0.01,58.43,89.17,33.66,26.91,26.45
99,21.98,23.41,1.44,0.02,61.43,90.00,31.64,24.50,26.88
100,22.40,26.12,3.73,0.07,53.69,90.00,38.99,23.20,29.20
101,25.11,25.07,0.04,0.05,63.61,90.00,29.57,28.20,27.95
102,21.45,23.72,2.27,0.04,60.64,90.00,32.39,24.11,27.36
103,22.68,23.00,0.31,0.02,58.07,90.00,34.84,26.31,25.71
104,24.33,24.66,0.33,0.04,59.49,90.00,33.48,27.45,28.44
105,23.95,23.93,0.02,0.04,53.79,90.00,38.90,26.49,26.37
106,26.44,25.10,1.34,0.10,57.24,90.00,35.62,29.31,27.28
107,24.39,25.36,0.97,0.02,64.61,90.00,28.62,28.52,29.30
108,23.71,24.75,1.04,0.02,56.31,90.00,36.50,25.24,26.70
109,22.89,21.40,1.48,0.04,54.47,90.00,38.26,25.12,23.59
110,22.87,22.66,0.21,0.03,55.80,90.00,36.99,26.38,25.63
111,26.97,27.06,0.09,0.11,53.37,90.00,39.30,27.21,26.78
112,26.10,23.77,2.33,0.03,59.01,90.00,33.94,28.62,26.55
113,25.10,25.41,0.31,0.00,60.29,88.92,31.64,29.58,29.29
114,24.90,24.73,0.17,0.04,61.79,88.48,29.78,29.15,29.93
115,26.81,21.66,5.15,0.06,49.23,90.00,43.23,28.38,21.56
116,24.34,24.31,0.03,0.03,57.46,90.00,35.41,27.05,28.09
117,24.59,23.31,1.28,0.07,58.55,90.00,34.37,27.17,25.06
118,27.42,23.36,4.06,0.06,52.85,90.00,39.79,29.21,24.77
119,22.88,21.67,1.21,0.05,59.83,90.00,33.16,25.72,24.12
120,24.34,25.29,0.96,0.05,59.54,90.00,33.44,26.93,28.33
121,22.91,22.95,0.04,0.03,49.14,90.00,43.31,24.15,24.37
122,23.70,24.92,1.22,0.03,51.73,90.00,40.86,25.84,26.50
123,22.86,25.04,2.18,0.06,56.59,90.00,36.24,24.59,26.30
124,23.27,23.57,0.30,0.04,57.65,90.00,35.23,26.68,26.96
125,24.56,22.75,1.81,0.03,60.11,90.00,32.90,28.36,25.54
126,23.42,24.82,1.41,0.06,57.68,90.00,35.21,26.08,26.42
127,17.48,21.70,4.22,0.02,52.14,90.00,40.47,19.19,24.47
128,26.13,24.47,1.66,0.04,59.54,90.00,33.44,30.67,28.42
129,25.72,25.74,0.02,0.08,57.20,90.00,35.66,27.40,28.23
130,23.67,24.36,0.69,0.04,55.81,90.00,36.98,25.96,27.36
131,24.30,25.16,0.86,0.11,56.67,90.00,36.16,25.69,27.60
132,26.05,26.64,0.59,0.06,60.82,90.00,32.22,30.24,31.19
133,22.13,23.46,1.33,0.03,54.91,90.00,37.83,23.73,27.10
134,25.51,24.41,1.10,0.04,61.59,90.00,31.49,28.99,28.08
135,23.00,22.35,0.65,0.01,68.81,90.00,24.63,28.62,27.72
136,24.45,25.22,0.77,0.06,60.92,90.00,32.12,27.56,28.43
137,25.74,22.62,3.12,0.06,50.50,90.00,42.03,26.99,24.42
138,22.98,24.92,1.95,0.04,53.29,90.00,39.38,23.90,27.16
139,23.72,24.15,0.43,0.04,58.17,90.00,34.74,27.02,27.63
140,26.80,26.22,0.58,0.02,61.45,90.00,31.63,30.19,29.90
141,23.47,25.68,2.21,0.03,58.28,90.00,34.63,27.44,28.38
142,23.46,24.56,1.09,0.05,53.08,90.00,39.58,24.93,25.93
143,22.87,23.36,0.48,0.03,56.62,90.00,36.22,25.60,26.40
144,25.88,25.62,0.27,0.06,54.73,90.00,38.01,28.23,27.04
145,23.60,24.27,0.67,0.07,61.13,90.00,31.93,26.19,26.77
146,25.04,24.19,0.85,0.02,60.88,88.64,30.81,29.97,28.69
147,22.89,23.89,1.00,0.06,55.90,90.00,36.90,25.94,26.24
148,20.35,25.08,4.73,0.04,52.84,90.00,39.80,19.16,28.55
149,24.28,23.62,0.66,0.04,54.00,90.00,38.70,26.39,24.34
150,26.14,25.62,0.51,0.05,53.07,90.00,39.58,27.70,27.36
151,24.65,23.02,1.64,0.03,55.16,90.00,37.60,27.89,24.99
152,23.73,23.24,0.49,0.07,55.63,90.00,37.15,25.78,24.37
153,24.12,25.56,1.44,0.02,60.16,90.00,32.84,27.44,28.75
154,22.77,23.06,0.29,0.05,60.28,88.06,30.79,26.51,26.99
155,24.59,24.63,0.04,0.04,55.09,90.00,37.66,27.61,26.88
156,24.89,26.34,1.44,0.07,55.72,90.00,37.06,27.40,27.77
157,23.58,23.67,0.09,0.03,53.48,90.00,39.19,25.58,26.30
158,26.52,25.60,0.91,0.05,58.18,90.00,34.73,28.32,28.05
159,25.85,26.01,0.16,0.09,56.23,90.00,36.58,26.95,27.28
160,23.93,26.30,2.37,0.03,53.09,90.00,39.56,26.73,28.21
161,25.62,28.31,2.70,0.06,55.58,90.00,37.20,27.02,29.33
162,23.44,22.64,0.80,0.06,59.26,90.00,33.70,26.98,25.06
163,24.44,23.19,1.25,0.04,58.14,90.00,34.77,26.98,25.89
164,25.08,24.73,0.34,0.06,63.59,90.00,29.59,29.42,28.55
165,27.21,25.01,2.21,0.05,57.49,90.00,35.38,29.55,26.95
166,23.53,22.65,0.88,0.03,57.02,90.00,35.83,26.54,25.88
167,22.07,23.74,1.67,0.07,56.84,90.00,36.00,24.92,27.08
168,24.45,25.05,0.61,0.05,55.82,90.00,36.97,25.96,27.41
169,23.78,24.08,0.30,0.05,59.99,90.00,33.01,26.75,26.65
170,24.19,25.69,1.50,0.04,55.88,90.00,36.92,27.62,27.99
171,25.56,26.84,1.28,0.07,52.55,90.00,40.08,26.54,27.84
172,25.51,24.33,1.18,0.08,58.28,90.00,34.64,27.23,26.72
173,24.10,23.06,1.04,0.06,52.57,90.00,40.06,25.73,24.72
174,24.85,23.11,1.74,0.05,57.50,90.00,35.37,27.76,25.10
175,25.12,23.78,1.34,0.05,54.68,90.00,38.05,26.92,26.24
176,24.27,24.52,0.25,0.02,58.50,90.00,34.43,27.62,27.57
177,25.35,24.93,0.41,0.03,55.42,90.00,37.35,27.43,26.87
178,22.86,23.43,0.57,0.04,58.98,90.00,33.97,25.17,26.58
179,24.07,24.33,0.26,0.08,55.80,90.00,36.99,26.10,26.58
180,23.40,23.62,0.23,0.03,61.90,90.00,31.20,26.22,26.54
181,23.91,23.83,0.08,0.03,56.70,90.00,36.13,27.03,27.00
182,24.94,23.93,1.01,0.04,58.81,90.00,34.13,28.14,27.97
183,23.78,24.37,0.59,0.04,58.54,90.00,34.38,27.22,27.68
184,24.34,25.81,1.47,0.04,56.54,90.00,36.29,27.59,28.86
185,21.30,25.06,3.76,0.06,52.21,90.00,40.40,21.25,28.00
186,23.05,22.83,0.22,0.05,60.69,90.00,32.34,25.73,26.89
187,23.38,22.04,1.34,0.05,54.01,90.00,38.69,26.20,24.37
188,27.25,23.94,3.32,0.07,50.14,90.00,42.37,27.74,24.33
189,25.45,25.57,0.12,0.04,56.28,86.31,32.84,29.81,29.68
190,24.10,26.19,2.09,0.06,51.78,90.00,40.81,25.77,26.47
191,25.20,24.62,0.58,0.05,63.31,90.00,29.85,27.80,28.44
192,23.80,23.48,0.32,0.05,60.66,90.00,32.38,26.75,27.77
193,24.57,23.67,0.91,0.00,56.58,90.00,36.25,27.38,27.52
194,24.73,22.77,1.96,0.05,51.06,90.00,41.49,26.22,25.45
195,23.99,22.87,1.12,0.04,51.39,90.00,41.18,24.98,24.79
196,22.82,25.71,2.89,0.03,49.92,90.00,42.58,24.47,27.84
197,20.90,21.76,0.86,0.01,58.78,90.00,34.16,24.35,25.36
198,22.13,22.93,0.80,0.03,59.27,90.00,33.69,26.13,26.73
199,24.38,25.19,0.82,0.03,54.74,90.00,37.99,27.16,27.50
200,26.23,23.48,2.75,0.05,55.84,90.00,36.95,28.96,26.18
201,24.59,24.59,0.01,0.05,61.92,90.00,31.18,28.44,27.49
202,27.69,26.19,1.50,0.08,56.48,90.00,36.34,29.07,28.19
203,26.47,26.72,0.25,0.08,58.53,90.00,34.39,27.74,29.32
204,24.61,23.07,1.54,0.05,62.87,90.00,30.27,27.73,25.77
205,25.72,25.02,0.70,0.04,58.82,90.00,34.12,28.01,28.09
206,24.99,24.67,0.32,0.05,51.57,90.00,41.01,27.75,27.80
207,23.20,24.67,1.47,0.05,58.99,90.00,33.96,26.18,27.74
208,24.59,24.19,0.39,0.04,56.60,90.00,36.23,27.78,28.00
209,19.69,23.54,3.85,0.04,56.71,90.00,36.13,21.15,26.38
210,24.18,23.94,0.24,0.06,55.93,90.00,36.87,26.60,25.70
211,22.03,23.15,1.12,0.03,57.34,90.00,35.53,26.24,26.71
212,27.19,25.20,1.99,0.10,60.37,90.00,32.65,30.25,26.84
213,24.07,25.32,1.25,0.07,53.95,90.00,38.75,25.99,26.74
214,24.70,18.27,6.42,0.04,51.32,90.00,41.25,28.70,17.97
215,25.22,23.58,1.64,0.03,52.83,90.00,39.81,27.06,25.12
216,24.04,24.02,0.02,0.03,61.26,90.00,31.81,28.05,26.82
217,21.93,24.54,2.61,0.01,61.90,90.00,31.20,26.00,29.48
218,26.11,27.05,0.94,0.02,53.89,90.00,38.80,28.43,29.05
219,24.47,24.07,0.41,0.06,58.74,90.00,34.20,26.90,26.20
220,24.33,24.42,0.10,0.04,58.93,89.80,33.81,27.33,28.07
221,23.02,24.08,1.06,0.04,57.34,90.00,35.52,26.14,27.43
222,23.03,18.03,5.00,0.04,47.35,90.00,45.01,24.63,18.22
223,25.33,23.28,2.05,0.06,51.35,90.00,41.22,27.17,23.45
224,25.00,24.94,0.06,0.04,54.94,90.00,37.81,28.28,27.68
225,24.91,25.16,0.25,0.07,58.28,90.00,34.63,27.30,26.81
226,25.87,26.89,1.02,0.05,54.43,90.00,38.29,27.98,28.25
227,24.37,25.31,0.94,0.04,57.27,90.00,35.60,25.98,27.88
