Loss,Payout,Set
323.07404,115.113754,Train
193.57571,0.0,Train
232.14505,75.398254,Train
214.78204,0.0,Train
242.98666,16.25526,Train
208.25894,13.228551,Train
208.59886,44.195152,Train
230.00644,0.30893213,Train
237.48166,35.630245,Train
269.5245,82.001724,Train
193.13504,47.404427,Train
326.8132,109.56394,Train
170.059,0.0,Train
226.87245,18.796299,Train
227.75356,32.618546,Train
214.7023,45.954216,Train
222.7187,14.051671,Train
251.80275,71.0182,Train
277.45444,84.15892,Train
254.17377,79.15468,Train
237.96075,0.0,Train
242.81538,64.263016,Train
205.73767,1.0338761,Train
245.7276,36.54815,Train
257.78516,51.038628,Train
227.91039,4.5063334,Train
205.10326,0.0,Train
196.36377,0.0,Train
219.19194,45.68761,Train
175.58775,0.9261481,Train
230.05121,32.628624,Train
155.0823,3.123533,Train
171.18106,0.0,Train
257.34747,0.6017257,Train
245.58151,96.89718,Train
163.88321,0.0,Train
166.25255,10.372752,Train
200.18953,38.876842,Train
258.69418,72.58249,Train
219.26645,20.514938,Train
260.40637,90.75736,Train
347.11395,109.696205,Train
227.38919,0.008434367,Train
142.73206,0.0,Train
296.14258,105.40692,Train
183.62074,0.0,Train
162.16656,0.63514936,Train
441.78003,126.58058,Train
248.96112,62.479736,Train
140.20988,0.0,Train
150.52629,0.0,Train
167.91034,8.14183,Train
370.86203,107.95586,Train
370.88138,96.659805,Train
244.96837,94.838425,Train
255.62302,83.22324,Train
150.84529,0.0,Train
268.00418,111.04408,Train
221.09239,117.05058,Train
226.78987,112.68284,Train
239.59662,117.09745,Train
228.01265,113.486084,Train
223.53793,113.87575,Train
201.6725,101.85505,Train
253.41634,118.099625,Train
249.26942,116.518295,Train
224.2318,118.91134,Train
244.80344,116.327736,Train
272.48434,119.19224,Train
237.27452,112.862015,Train
258.17395,118.30569,Train
275.68268,117.10685,Train
261.80066,119.86558,Train
272.52792,115.05269,Train
276.36444,119.37352,Train
269.81024,115.93713,Train
277.3653,115.759415,Train
257.02963,116.70929,Train
285.80322,117.90802,Train
279.6861,123.07145,Train
238.67824,113.21024,Train
257.27963,111.91797,Train
223.49033,93.994606,Train
235.31027,118.033066,Train
215.73949,99.0379,Train
234.77797,115.44981,Train
