Loss,Payout,Premium,Wealth,Utility
671.7268789614469,4.3414144861977965e-06,1.163611582266034e-05,-283.1268862561482,-1203.9087420438484
962.9325274288676,1.7555430207665923e-05,1.163611582266034e-05,-574.3325215095532,-12369.31279127289
971.0484802583966,5.456402286449903e-06,1.163611582266034e-05,-582.4484864381101,-13199.069699855952
843.7646229543911,1.5938640999032562e-05,1.163611582266034e-05,-455.1646186518659,-4767.754348345415
817.1871554932595,0.0,1.163611582266034e-05,-428.5871671293753,-3854.5558846343397
823.2920418349463,3.8142208421421955e-06,1.163611582266034e-05,-434.6920496568412,-4047.4815798906266
1029.6524884422815,1.4632568434281245e-05,1.163611582266034e-05,-641.0524854458289,-21093.782775789365
982.8276803334448,1.886148329355644e-05,1.163611582266034e-05,-594.2276731080773,-14503.352697041064
1218.11751893925,1.7575500479395537e-05,1.163611582266034e-05,-829.5175129998653,-95268.43726093712
931.9921389935035,2.175932149512614e-05,1.163611582266034e-05,-543.3921288702978,-9657.120213959755
758.3745309059874,1.1260420140858489e-05,1.163611582266034e-05,-369.77453128168304,-2407.899302259493
930.5784090585136,1.2496060902362875e-05,1.163611582266034e-05,-541.9784081985684,-9548.515753275153
812.6722372035715,1.570992118625703e-05,1.163611582266034e-05,-424.0722331297661,-3717.8157183985963
825.5010736111054,1.2851920260372113e-05,1.163611582266034e-05,-436.90107239530096,-4119.645176659039
815.2981167786813,1.777530780980649e-05,1.163611582266034e-05,-426.6981106394893,-3796.7420488842276
785.4828482352435,1.2974505122943759e-05,1.163611582266034e-05,-396.8828468968542,-2991.04024072763
1034.8172838048308,1.6845211755724858e-07,1.163611582266034e-05,-646.2172952724945,-21983.602191251935
815.1193810080985,0.0,1.163611582266034e-05,-426.51939264421424,-3791.317558603963
783.7166162596799,5.015702817193907e-06,1.163611582266034e-05,-395.11662288009285,-2949.074644640068
843.484897179671,0.0,1.163611582266034e-05,-454.88490881578673,-4757.097573712947
932.9301548184244,1.3547490940815383e-06,1.163611582266034e-05,-544.3301650997911,-9729.862641786789
807.3405500585274,1.6259789523134934e-05,1.163611582266034e-05,-418.74054543485363,-3562.5722347098686
824.6503826087669,3.0676685309798048e-06,1.163611582266034e-05,-436.0503911772141,-4091.7043213247002
841.1331127723993,0.0,1.163611582266034e-05,-452.53312440851505,-4668.432926491746
806.6587278272601,4.897785530335078e-06,1.163611582266034e-05,-418.0587345655904,-3543.193130514404
779.5173656716834,1.952260955521729e-06,1.163611582266034e-05,-390.9173753555382,-2851.6491075502113
800.63048423141,5.619627231177426e-06,1.163611582266034e-05,-412.03049024789857,-3376.37409357618
835.4611641758272,3.997257754921081e-06,1.163611582266034e-05,-446.86117181468524,-4461.334037426517
828.2481167786814,0.0,1.163611582266034e-05,-439.64812841479716,-4211.182493782088
708.4320032382834,2.785472026581011e-06,1.163611582266034e-05,-319.8320120889272,-1614.8055630519923
933.5064707548754,8.764757695839094e-06,1.163611582266034e-05,-544.9064736262335,-9774.825434316586
929.8277997485416,0.0,1.163611582266034e-05,-541.2278113846573,-9491.350872137427
880.9922684484605,1.409421085094405e-05,1.163611582266034e-05,-492.3922659903655,-6421.788016976307
890.5561800099991,0.0,1.163611582266034e-05,-501.9561916461149,-6932.413295634983
879.9214329097373,0.0,1.163611582266034e-05,-491.32144454585307,-6367.010274131213
1037.039197813485,1.5349358793567127e-05,1.163611582266034e-05,-648.439194100242,-22377.858520836227
1014.9876924722274,1.8945800387329577e-05,1.163611582266034e-05,-626.3876851625428,-18758.743047866792
1175.1557059891677,2.309942837750128e-05,1.163611582266034e-05,-786.5556945258551,-67559.18405493235
844.2470945912038,8.262707394599586e-06,1.163611582266034e-05,-455.64709796461216,-4786.192652585864
778.3020109921234,7.698089030438017e-06,1.163611582266034e-05,-389.7020149301502,-2824.057209539643
932.9554289961712,9.797029272398282e-06,1.163611582266034e-05,-544.3554308352577,-9731.829497641402
850.8503809779618,1.5915048400737925e-05,1.163611582266034e-05,-462.2503766990292,-5045.8265300473795
837.5723022977667,1.0686727772840567e-05,1.163611582266034e-05,-448.9723032471547,-4537.321610362181
849.9481167786814,1.4505346437249382e-05,1.163611582266034e-05,-461.3481139094508,-5009.536368493811
721.5748627229309,1.0136108624201918e-05,1.163611582266034e-05,-332.97486422293804,-1793.8378449187464
940.875599691382,1.3708423157611407e-05,1.163611582266034e-05,-552.2755976190747,-10368.405393229676
776.1222604955025,1.1054071794999124e-06,1.163611582266034e-05,-387.52227102621106,-2775.2383253782527
717.2800621010534,1.251912409202876e-05,1.163611582266034e-05,-328.6800612180451,-1733.2511945980173
712.0873181979777,0.0,1.163611582266034e-05,-323.48732983409343,-1662.7237932887142
813.5823314873621,3.627521266157108e-06,1.163611582266034e-05,-424.98233949595664,-3744.9833621952444
859.1227452756094,1.8102186641086575e-05,1.163611582266034e-05,-470.52273880953857,-5391.051065556394
827.1344757822401,5.88402536247899e-06,1.163611582266034e-05,-438.5344815343305,-4173.8309645195495
955.8628896758124,1.0860325678968183e-05,1.163611582266034e-05,-567.2628904516025,-11689.156087851765
812.9549373456762,1.2358459468750338e-06,1.163611582266034e-05,-424.354947745946,-3726.2338813117244
