,Loss,Payout,Premium,Wealth,Utility
0,671.7268789614469,169.8586264080252,199.95571850848833,-313.22397106191,-1531.6571086000815
1,962.9325274288676,228.8334743185576,199.95571850848833,-545.4547716187983,-9817.795744866089
2,971.0484802583966,174.83487566699478,199.95571850848833,-607.5693230998901,-16136.972101734158
3,843.7646229543911,221.61765895308667,199.95571850848833,-433.50268250979275,-4009.152684622646
4,817.1871554932595,122.51052838737724,199.95571850848833,-506.03234561437057,-7162.200192578799
5,823.2920418349463,167.505733416755,199.95571850848833,-467.1420269266796,-5247.200381661467
6,1029.6524884422815,215.78858832914398,199.95571850848833,-625.2196186216258,-18584.26783128694
7,982.8276803334448,234.66245800731895,199.95571850848833,-559.5209408346142,-10987.145351042498
8,1218.11751893925,228.92304899802866,199.95571850848833,-800.5501884497096,-75562.48772433105
9,931.9921389935035,247.5956624781786,199.95571850848833,-495.7521950238132,-6596.742842539023
10,758.3745309059874,200.73851294492374,199.95571850848833,-368.99173646955194,-2392.86729065276
11,930.5784090585136,206.2532427225933,199.95571850848833,-535.6808848444085,-9079.37662911623
12,812.6722372035715,220.59687038609195,199.95571850848833,-403.43108532596784,-3151.905343495853
13,825.5010736111054,207.84146177412958,199.95571850848833,-429.0153303454641,-3867.7815550388254
14,815.2981167786813,229.81479963392735,199.95571850848833,-396.83903565324226,-2989.9920948795357
15,785.4828482352435,208.38856447013677,199.95571850848833,-388.45000227359503,-2795.9123527498446
16,1034.8172838048308,151.23447564156845,199.95571850848833,-694.9385266717507,-32461.886292672076
17,815.1193810080985,118.2934271872632,199.95571850848833,-508.18167232932353,-7286.416322045887
18,783.7166162596799,172.86801073195466,199.95571850848833,-422.2043240362135,-3662.672420885173
19,843.484897179671,127.0657594222323,199.95571850848833,-527.7748562659269,-8522.90553932539
20,932.9301548184244,156.52898150881833,199.95571850848833,-587.7568918180943,-13771.670128587024
21,807.3405500585274,223.05096172529852,199.95571850848833,-395.6453068417171,-2961.5740867554578
22,824.6503826087669,164.17383114449353,199.95571850848833,-471.83226997276165,-5447.825935122258
23,841.1331127723993,130.24695932027112,199.95571850848833,-522.2418719606164,-8153.876301562189
24,806.6587278272601,172.34173967211132,199.95571850848833,-445.6727066636371,-4419.11792471246
25,779.5173656716834,159.19570840667757,199.95571850848833,-431.6773757734941,-3951.034583565944
26,800.63048423141,175.5633571894491,199.95571850848833,-436.4228455504492,-4103.914288261163
27,835.4611641758272,168.32263679576408,199.95571850848833,-478.4942458885514,-5746.048639357374
28,828.2481167786814,146.94321029576986,199.95571850848833,-492.6606249913998,-6435.589583710651
29,708.4320032382834,162.91437328712414,199.95571850848833,-356.87334845964756,-2171.7759565624438
30,933.5064707548754,189.6002400509442,199.95571850848833,-555.2619492124195,-10619.097722835817
31,929.8277997485416,140.01699115052747,199.95571850848833,-601.1665271065024,-15331.210846299178
32,880.9922684484605,213.38587008905506,199.95571850848833,-478.96211686789377,-5767.596215376868
33,890.5561800099991,112.27518411888332,199.95571850848833,-589.6367143996041,-13980.341629398561
34,879.9214329097373,141.45319388617781,199.95571850848833,-549.8239575320478,-10167.029863405425
35,1037.039197813485,218.9876614431514,199.95571850848833,-629.407254878822,-19217.40727789223
36,1014.9876924722274,235.03876963630023,199.95571850848833,-591.3046413444155,-14168.137268678303
37,1175.1557059891677,253.57663005365475,199.95571850848833,-732.9347944440012,-43993.27643173325
38,844.2470945912038,187.35956312251187,199.95571850848833,-468.2432499771802,-5293.631308676318
39,778.3020109921234,184.83964163491873,199.95571850848833,-404.818087865693,-3187.0737028103053
40,932.9554289961712,194.20732244838973,199.95571850848833,-550.1038250562698,-10189.818737160866
41,850.8503809779618,221.51236394469788,199.95571850848833,-440.6937355417522,-4246.5561748411765
42,837.5723022977667,198.17809370035434,199.95571850848833,-450.7499271059006,-4602.307808409951
43,849.9481167786814,215.22078985788607,199.95571850848833,-446.08304542928363,-4433.64844456193
44,721.5748627229309,195.72065144872772,199.95571850848833,-337.20992978269146,-1855.6553026886752
45,940.875599691382,211.6640793011809,199.95571850848833,-540.5672388986894,-9441.325368517066
46,776.1222604955025,155.41615541566625,199.95571850848833,-432.0618235883245,-3963.205022462715
47,717.2800621010534,206.3561749523974,199.95571850848833,-322.2796056571443,-1646.7362579922406
48,712.0873181979777,126.53901268331424,199.95571850848833,-396.9040240231517,-2991.5470167501694
49,813.5823314873621,166.6724833790097,199.95571850848833,-458.2655666168407,-4887.510097308825
50,859.1227452756094,231.27367706878613,199.95571850848833,-439.20478671531157,-4196.273006971138
51,827.1344757822401,176.74337997056364,199.95571850848833,-461.74681432016473,-5025.54031170147
52,955.8628896758124,198.95287029569545,199.95571850848833,-568.2657378886053,-11783.31280389214
53,812.9549373456762,155.99831050233593,199.95571850848833,-468.3123453518285,-5296.558241059936
54,784.8524106697389,180.95555171954493,199.95571850848833,-415.25257745868225,-3464.537264030932
55,791.393629621039,164.71027992198424,199.95571850848833,-438.0390682075431,-4157.321530236516
56,775.2008827773909,222.3063406417325,199.95571850848833,-364.2502606441467,-2303.8014052333456
57,743.8901311698003,197.25905989106332,199.95571850848833,-357.98678978722523,-2191.207532594333
58,758.2481167786814,159.85023679838832,199.95571850848833,-409.75359848878134,-3315.4297267449783
59,698.1393093439581,149.34520875874546,199.95571850848833,-360.1498190937009,-2229.454665773084
60,819.881037864814,138.7739201819445,199.95571850848833,-492.4628361913577,-6425.41453554526
61,738.6043810154812,124.14054771700125,199.95571850848833,-425.8195518069682,-3770.1503178579496
62,741.7179323544219,157.0813342823801,199.95571850848833,-395.9923165805301,-2969.8070695715223
63,760.9807881388756,134.74461252937726,199.95571850848833,-437.5918941179866,-4142.475728937737
64,755.9165831088263,156.340595792592,199.95571850848833,-410.9317058247226,-3346.8248985397227
65,763.6334217806673,220.18965430967182,199.95571850848833,-354.79948597948373,-2136.041492327065
66,799.4231055097191,178.65393636459567,199.95571850848833,-432.1248876536117,-3965.2050134928186
67,906.2583517488104,157.43723699282805,199.95571850848833,-560.1768332644706,-11044.947951265347
68,758.2298310919895,165.06057296484596,199.95571850848833,-404.5249766356318,-3179.6091212947135
69,781.7490273504858,174.04375042271613,199.95571850848833,-419.06099543625794,-3571.7169616335223
70,762.3599018713344,120.7697076117397,199.95571850848833,-452.94591276808296,-4683.875007860041
71,673.0582165162112,194.74865978221078,199.95571850848833,-289.66527524248875,-1268.5577944338995
72,662.9684922670776,186.2704039497139,199.95571850848833,-288.053806825852,-1252.3088316754352
