,Loss,Payout,Premium,Wealth,Utility
560,721.6565325091691,326.0998740449727,299.91932937421956,-306.87598783841594,-1455.8156984498619
561,753.4233131973169,275.9475461690042,299.91932937421956,-388.79509640253224,-2803.641840948131
562,680.8981167786815,263.53180777017656,299.91932937421956,-328.68563838272445,-1733.3285293419826
563,664.0304939897673,265.4608718610473,299.91932937421956,-309.8889515029395,-1491.3325816177871
564,835.8569417321709,269.0619690409492,299.91932937421956,-478.1143020654412,-5728.609750473608
565,787.6473055424203,245.33672904487275,299.91932937421956,-453.6299058717671,-4709.575164283699
566,720.5048249594123,300.2248349086501,299.91932937421956,-331.59931942498173,-1774.2060262857533
567,679.475564572238,228.03279117592865,299.91932937421956,-362.7621027705289,-2276.536662625864
568,762.5465451479699,241.86862745097233,299.91932937421956,-431.99724707121715,-3961.158111422319
569,953.5495110317936,316.9465081017804,299.91932937421956,-547.9223323042327,-10013.529381561526
570,864.5956526265047,311.873822907874,299.91932937421956,-464.04115909285025,-5118.6346371838135
571,979.5217260107952,330.71502614246583,299.91932937421956,-560.1260292425488,-11040.459841160577
572,803.9692393515543,284.8886444249929,299.91932937421956,-430.3999243007809,-3910.862166872162
573,725.6646524823808,258.61505188158617,299.91932937421956,-378.36892997501417,-2579.27898866814
574,866.8039808283039,289.873829436566,299.91932937421956,-488.24948076595746,-6212.443547424781
575,744.5893680994609,318.0789289599509,299.91932937421956,-337.82976851372956,-1864.8798108412607
576,720.7903578452639,255.98917646758514,299.91932937421956,-376.1205107518983,-2533.299350696236
577,706.4481167786814,261.0932717965418,299.91932937421956,-356.6741743563592,-2168.318219830933
578,842.1718881635767,296.78042803852713,299.91932937421956,-456.7107894992691,-4827.094695257628
579,1018.7297040544806,254.9269795496184,299.91932937421956,-675.1220538790817,-27702.8387350677
580,807.2688893669371,226.18994533523937,299.91932937421956,-492.3982734059172,-6422.096651186249
581,788.6216734335571,275.70743845184415,299.91932937421956,-424.2335643559325,-3722.6172144051106
582,874.7100699767224,223.1101563933671,299.91932937421956,-562.9192429575749,-11289.943819058468
583,942.6948232455192,231.71253693816425,299.91932937421956,-622.3016156815745,-18155.460759893565
584,839.7825863542141,291.87401379921016,299.91932937421956,-459.2279019292235,-4925.282698828013
585,832.349081686799,231.63682944027641,299.91932937421956,-512.0315816207421,-7514.324342305238
586,1035.9723543654763,274.2358232348913,299.91932937421956,-673.0558605048045,-27248.687160670437
587,906.9148105450904,227.16077660029032,299.91932937421956,-591.0733633190196,-14141.947274342114
588,827.4778199198792,289.57923415913115,299.91932937421956,-449.21791513496754,-4546.245735987031
589,827.4011344489046,240.65977874236705,299.91932937421956,-498.0606850807571,-6719.702877946171
590,789.6594395021992,243.46680712367947,299.91932937421956,-457.5119617527393,-4858.132730933483
591,877.0854190836259,239.28043382415558,299.91932937421956,-549.1243146336899,-10110.282501179194
592,839.7981167786813,231.32085263836052,299.91932937421956,-519.7965935145403,-7995.918359644254
593,729.4918243110499,258.155565961222,299.91932937421956,-382.6555877240474,-2669.265017339554
594,839.6808314707283,315.9408068838211,299.91932937421956,-435.05935396112676,-4059.392330046129
595,762.7941099352116,269.0858122117188,299.91932937421956,-405.02762709771235,-3192.4207190054767
596,716.29293959433,290.8958157845709,299.91932937421956,-336.7164531839787,-1848.34396434469
597,750.7622747401286,234.92097283350836,299.91932937421956,-427.1606312808398,-3810.8166445299885
598,776.5207061829357,239.46667219768233,299.91932937421956,-448.3733633594729,-4515.632949508263
599,850.146213251069,307.07362641081727,299.91932937421956,-454.3919162144712,-4738.37281140091
600,896.6392936651268,290.1682370839917,299.91932937421956,-517.7903859553546,-7868.6109380099
601,1093.8669526996996,344.4547289475786,299.91932937421956,-660.7315531263405,-24690.310601506786
602,804.1848419093282,263.76165977158735,299.91932937421956,-451.74251151196034,-4638.998722634085
603,703.8379636112385,265.78123749543875,299.91932937421956,-349.37605549001927,-2045.3458648089056
604,783.4882382360748,277.7005967265791,299.91932937421956,-417.1069708837153,-3516.3173177314607
605,724.7974544661449,295.0570106652424,299.91932937421956,-341.0597731751221,-1913.6963693074208
606,714.0606700570614,254.6131153469048,299.91932937421956,-370.76688408437616,-2427.091267232479
607,705.0481167786813,262.6548435402674,299.91932937421956,-353.7126026126335,-2117.5489818928995
608,706.1742304281295,269.4400730043983,299.91932937421956,-348.0534867979507,-2023.8190650755828
609,783.2459725145654,326.1258158209216,299.91932937421956,-368.43948606786336,-2382.3189138121365
610,776.634869556199,240.53064036284763,299.91932937421956,-447.42355856757086,-4481.4512193416795
611,738.0179773496897,317.85910681951304,299.91932937421956,-331.47819990439615,-1772.4877310299923
612,760.1128473818048,255.0522566077368,299.91932937421956,-416.37992014828757,-3495.9243533676963
613,754.2150691043008,296.0903154758298,299.91932937421956,-369.44408300269055,-2401.5422192669107
614,855.0251515845522,306.3284909873555,299.91932937421956,-460.0159899714162,-4956.433244328312
615,921.9369068759516,318.1977167151417,299.91932937421956,-515.0585195350295,-7698.508544666617
616,1119.6420478519383,364.22677313782197,299.91932937421956,-666.7346040883358,-25904.981627146884
617,789.6130997860739,271.4645365173624,299.91932937421956,-429.4678926429311,-3881.8102319690643
618,639.3743216628664,290.57065779012464,299.91932937421956,-260.12299324696124,-1001.543594413162
619,753.782916559035,305.942143426694,299.91932937421956,-359.1601025065606,-2211.872138399758
620,736.6045840542633,317.4451040458948,299.91932937421956,-330.47880938258805,-1758.372971337813
621,740.4494794772523,273.16294959327547,299.91932937421956,-378.6058592581964,-2584.1724786226464
622,667.9481167786814,280.83659606837114,299.91932937421956,-298.4308500845298,-1360.7081448775727
623,708.6342228915844,276.41004122454774,299.91932937421956,-343.5435110412562,-1952.1016211480862
624,869.9519104692678,335.5128501054396,299.91932937421956,-445.7583897380477,-4422.148112016648
625,915.863764590706,231.6158232198577,299.91932937421956,-595.5672707450678,-14659.617786856063
626,871.4008139512505,341.92798955451485,299.91932937421956,-440.79215377095517,-4249.900999746872
627,880.1603249421488,252.47338723999087,299.91932937421956,-539.0062670763775,-9324.15733224394
628,853.2513130592616,308.7268204280267,299.91932937421956,-455.84382200545446,-4793.73105624177
629,936.3830164250362,301.6960213031896,299.91932937421956,-546.0063244960661,-9861.21172719754
630,1004.6689959482844,321.6603264295136,299.91932937421956,-594.3279988929903,-14514.997851598633
