,Loss,Payout,Premium,Wealth,Utility
238,873.4559964743945,428.5406824001793,399.8760700602273,-456.19138413444244,-4807.078558961934
239,810.0948191547449,362.4385493762479,399.8760700602273,-458.9323398387242,-4913.650641422121
240,849.1741409124961,393.5181010890649,399.8760700602273,-466.9321098836585,-5238.395962215353
241,883.5597929937566,428.87759534646443,399.8760700602273,-465.9582677075194,-5197.743556555815
242,909.5651377076924,439.8594041265542,399.8760700602273,-480.9818036413655,-5861.543046553013
243,1343.242483980103,477.1547092464366,399.8760700602273,-877.3638447938938,-139696.08152700934
244,857.1785114475141,437.4614416611307,399.8760700602273,-430.99313984661063,-3929.4661505249087
245,777.8397473823874,381.42031274591113,399.8760700602273,-407.6955046967035,-3261.2889344209093
246,968.1276529941548,413.3582810622697,399.8760700602273,-566.0454419921123,-11575.861145877918
247,922.8024247684048,438.87476658855144,399.8760700602273,-495.2037282400806,-6567.861496071981
248,836.9600820902087,385.7728308353974,399.8760700602273,-462.4633213150386,-5054.429708712207
249,684.3981167786815,422.35183595639205,399.8760700602273,-273.3223508825167,-1113.0870323083261
250,762.6725965601539,370.6720448519188,399.8760700602273,-403.27662176846235,-3148.0129128476824
251,855.1616439402491,397.7579344814635,399.8760700602273,-468.6797795190128,-5312.15023769221
252,823.0208575708307,360.345692536599,399.8760700602273,-473.9512350944589,-5540.963147987789
253,755.5772822701645,371.95987502095954,399.8760700602273,-394.89347730943217,-2943.8147573631236
254,812.9837871482296,343.377641123079,399.8760700602273,-480.8822160853778,-5856.875012341817
255,794.5215429513573,355.4429279205806,399.8760700602273,-450.354685091004,-4587.77858745831
256,951.0205787806824,422.1460465934572,399.8760700602273,-540.1506022474525,-9409.908937071106
257,983.3029127728385,392.4247045837901,399.8760700602273,-602.1542782492756,-15452.838131643413
258,1266.670596184868,433.87094268638725,399.8760700602273,-844.075723558708,-107035.89513858709
259,897.0094575437572,334.88966638094826,399.8760700602273,-573.3958612230363,-12276.972437008855
260,768.2059952070093,374.9730741123992,399.8760700602273,-404.50899115483736,-3179.202526649372
261,923.6898791896342,370.3574668730612,399.8760700602273,-564.6084823768003,-11443.550741945386
262,775.9168889572651,365.8997399776604,399.8760700602273,-421.29321903983197,-3636.0728455302665
263,755.0811996609222,359.24156400987636,399.8760700602273,-407.11570571127305,-3246.1968269108934
264,801.6481167786815,341.73884464339153,399.8760700602273,-471.1853421955172,-5419.703970030077
