,Loss,Payout,Premium,Wealth,Utility
495,852.7917447276288,63.41506927978503,84.99207147253193,-485.76874692037575,-6090.3675545359165
496,895.2689529002973,96.73450131039294,84.99207147253193,-494.92652306243633,-6553.312472591038
497,790.5827102522527,35.50086453136805,84.99207147253193,-451.4739171934166,-4629.041354829932
498,762.1955895040583,48.7128239140593,84.99207147253193,-409.8748370625309,-3318.6469504707325
499,756.2112224788073,68.54629535901267,84.99207147253193,-384.0569985923265,-2699.359295961785
500,704.0516072460816,66.88817821164002,84.99207147253193,-333.55550050697354,-1802.1897663393565
501,693.1588154184964,88.50522803011563,84.99207147253193,-301.0456588609127,-1389.4718754249234
502,714.8481167786814,47.67378405008117,84.99207147253193,-363.5664042011322,-2291.2320636094482
503,749.8497660503635,79.42247829256348,84.99207147253193,-366.819359230332,-2351.6408820203596
504,927.4560614314912,90.41676541088464,84.99207147253193,-533.4313674931385,-8917.444355101696
505,758.6026154058922,99.14359549172173,84.99207147253193,-355.85109138670236,-2154.08747718007
506,752.7679771925743,78.75332341460262,84.99207147253193,-370.40672525050365,-2420.108225196454
507,739.1656766691616,27.527823119089817,84.99207147253193,-408.0299250226037,-3270.0257467466495
508,785.2227123737184,41.5576374775228,84.99207147253193,-440.05714636872756,-4224.98465677494
509,873.3209224617589,85.18366803632875,84.99207147253193,-484.52932589796205,-6030.27771662658
510,826.5917279681616,70.13734043515365,84.99207147253193,-452.84645900553994,-4680.149858034711
511,996.7937386937156,94.71008023390527,84.99207147253193,-598.4757299323422,-15004.712190153268
512,809.202929125241,27.66794066878265,84.99207147253193,-477.9270599289903,-5720.035077208925
513,777.5243481578151,100.78910028437963,84.99207147253193,-373.1273193459674,-2473.3586717162216
514,858.1433846931516,61.743238681759976,84.99207147253193,-492.79221748392354,-6442.368153313538
515,768.9351888406756,73.13987061705825,84.99207147253193,-392.18738969614924,-2880.769874297618
516,762.6019242612701,49.06157869080107,84.99207147253193,-409.932417043001,-3320.1760036278615
517,755.0981167786814,26.069786819280807,84.99207147253193,-425.42040143193253,-3758.1306633630807
518,735.7458304863176,25.472740070484406,84.99207147253193,-406.6651618883651,-3234.517456401606
519,922.8726036185852,23.69933502101071,84.99207147253193,-595.5653400701065,-14659.391364948611
520,743.4748404425832,13.314167100758823,84.99207147253193,-426.5527448143563,-3792.329282916983
521,777.3694469667548,58.55678021833637,84.99207147253193,-415.2047382209504,-3463.211591149394
522,786.6894910582822,4.536247679282496,84.99207147253193,-478.54531485153166,-5748.396676934058
523,850.5785555516179,33.1115580583903,84.99207147253193,-513.8590689657595,-7624.9899925964055
524,837.2240715261371,119.28552987606304,84.99207147253193,-414.330613122606,-3439.077831815922
525,855.9011595107012,44.25409351296207,84.99207147253193,-508.03913747027104,-7278.112510688272
526,971.7004697757023,55.1087932732255,84.99207147253193,-612.9837479750088,-16851.31073365066
527,870.4443477720685,13.06079892025582,84.99207147253193,-553.7756203243446,-10493.577684293272
528,840.4092642441468,59.40273517292303,84.99207147253193,-477.3986005437557,-5695.903673255322
529,823.8510631724058,37.51776019425847,84.99207147253193,-482.7253744506793,-5943.876048148694
530,787.3017467905511,83.22793525330485,84.99207147253193,-400.46588300977817,-3078.016888976014
531,767.2620736188758,40.14147522376652,84.99207147253193,-423.5126698676412,-3701.210088998448
