a,b,obj,n_train,n_sim,train_size,loss_events,test_year,Zone
0.000,-0.000,-1.950,2001,2000,1257,473,2015,N2
0.000,0.000,-1.930,2001,2000,1257,376,2016,N2
0.000,0.000,-1.920,2001,2000,1256,355,2017,N2
0.000,0.000,-1.930,2001,2000,1258,495,2018,N2
0.000,0.000,-1.940,2001,2000,1257,475,2019,N2
0.000,0.000,-1.950,2001,2000,1258,485,2020,N2
0.000,0.000,-1.930,2001,2000,1263,415,2021,N2
0.000,0.000,-1.930,2001,2000,1258,399,2022,N2
1.360,0.000,-1.940,2001,2000,735,225,2015,N3
0.000,0.000,-1.930,2001,2000,735,184,2016,N3
3.150,0.000,-1.930,2001,2000,735,171,2017,N3
0.000,0.000,-1.930,2001,2000,736,223,2018,N3
0.000,0.000,-1.930,2001,2000,737,202,2019,N3
1.130,0.000,-1.940,2001,2000,736,226,2020,N3
0.000,0.000,-1.930,2001,2000,746,190,2021,N3
30.330,0.570,-1.920,2000,2000,736,184,2022,N3
0.710,0.000,-1.970,2001,2000,453,166,2015,NE1
0.690,0.000,-1.970,2001,2000,453,154,2016,NE1
0.640,0.000,-1.950,2001,2000,453,132,2017,NE1
0.690,0.000,-1.960,2001,2000,453,156,2018,NE1
1.130,0.000,-1.960,2001,2000,453,145,2019,NE1
0.660,0.000,-1.960,2001,2000,453,151,2020,NE1
0.680,0.000,-1.960,2001,2000,454,139,2021,NE1
0.100,0.000,-1.950,2001,2000,453,128,2022,NE1
0.000,0.000,-1.930,2001,2000,3289,828,2015,NE2
0.000,0.000,-1.930,2001,2000,3288,799,2016,NE2
0.000,0.000,-1.920,2001,2000,3287,558,2017,NE2
0.000,0.000,-1.930,2001,2000,3287,770,2018,NE2
0.000,0.000,-1.930,2001,2000,3289,761,2019,NE2
0.000,0.000,-1.930,2001,2000,3289,851,2020,NE2
0.090,0.000,-1.930,2001,2000,3305,821,2021,NE2
0.000,0.000,-1.930,2001,2000,3288,763,2022,NE2
0.640,0.000,-1.960,2001,2000,3692,1258,2015,NE3
0.750,0.000,-1.950,2001,2000,3691,1122,2016,NE3
0.330,0.000,-1.950,2001,2000,3691,952,2017,NE3
0.510,0.000,-1.960,2001,2000,3691,1214,2018,NE3
0.080,0.000,-1.940,2001,2000,3691,1084,2019,NE3
0.400,0.000,-1.960,2001,2000,3691,1211,2020,NE3
0.730,0.000,-1.950,2001,2000,3693,1078,2021,NE3
0.680,0.000,-1.940,2001,2000,3692,941,2022,NE3
0.000,0.000,-1.950,2001,2000,1257,473,2015,N2
0.000,0.000,-1.930,2001,2000,1257,376,2016,N2
0.000,0.000,-1.920,2001,2000,1256,355,2017,N2
0.000,0.000,-1.930,2001,2000,1258,495,2018,N2
0.000,0.000,-1.940,2001,2000,1257,475,2019,N2
0.000,0.000,-1.950,2001,2000,1258,485,2020,N2
0.000,0.000,-1.930,2001,2000,1263,415,2021,N2
0.000,0.000,-1.930,2001,2000,1258,399,2022,N2
0.710,0.000,-1.940,2001,2000,735,225,2015,N3
0.000,0.000,-1.930,2001,2000,735,184,2016,N3
1.740,0.000,-1.930,2001,2000,735,171,2017,N3
0.340,0.000,-1.930,2001,2000,736,223,2018,N3
0.000,0.000,-1.930,2001,2000,737,202,2019,N3
0.600,0.000,-1.940,2001,2000,736,226,2020,N3
0.000,0.000,-1.930,2001,2000,746,190,2021,N3
30.330,0.570,-1.920,2000,2000,736,184,2022,N3
0.630,0.000,-1.970,2001,2000,453,166,2015,NE1
0.770,0.000,-1.970,2001,2000,453,154,2016,NE1
0.500,0.000,-1.950,2001,2000,453,132,2017,NE1
0.420,0.000,-1.970,2001,2000,453,156,2018,NE1
0.690,0.000,-1.970,2001,2000,453,145,2019,NE1
0.620,0.000,-1.960,2001,2000,453,151,2020,NE1
0.820,0.000,-1.960,2001,2000,454,139,2021,NE1
