Zone,a_cv,N,L,N_sample
N2,4.5291358974277705,1258.0,434.125,4001.0
N3,1.5319067347358395,737.0,200.625,4000.875
NE1,0.1908932882553942,453.125,146.375,4001.0
NE2,3.321671545118538,3290.25,768.875,4001.0
NE3,0.3606764960875713,3691.5,1107.5,4001.0
