Zone,a_cv,N,L,N_sample
N2,3.4546793226879435,1258.0,434.125,3001.0
N3,1.6059922052897275,737.0,200.625,3000.875
NE1,0.20665590349367946,453.125,146.375,3000.875
NE2,3.6067919372606725,3290.25,768.875,3001.0
NE3,0.30498449817992496,3691.5,1107.5,3001.0
