Zone,a_cv,N,L,N_sample
N2,4.932316606488037,1258.0,434.125,2001.0
N3,1.6156617345726083,737.0,200.625,2000.875
NE1,0.2065485041149874,453.125,146.375,2001.0
NE2,3.9624274622634355,3290.25,768.875,2001.0
NE3,0.3198214116244448,3691.5,1107.5,2001.0
