Zone,a_cv,N,L,N_sample
N2,5.014630727333396,1258.0,434.125,2501.0
N3,0.9743814491236765,737.0,200.625,2500.875
NE1,0.2000768260923944,453.125,146.375,2501.0
NE2,4.175413588526992,3290.25,768.875,2501.0
NE3,0.2836689946568194,3691.5,1107.5,2501.0
