Loss,Payout,Set
208.25894,8.405153,Train
208.59886,46.335907,Train
230.00644,18.333363,Train
237.48166,43.403473,Train
269.5245,83.885284,Train
193.13504,48.500874,Train
326.8132,109.531456,Train
170.059,0.097827666,Train
226.87245,28.811695,Train
227.75356,35.32291,Train
214.7023,40.142517,Train
222.7187,28.1032,Train
251.80275,74.28172,Train
277.45444,84.96044,Train
254.17377,82.6083,Train
237.96075,0.0,Train
242.81538,68.454056,Train
205.73767,3.4236474,Train
245.7276,39.707664,Train
257.78516,53.553123,Train
227.91039,9.993756,Train
205.10326,0.0,Train
196.36377,0.0,Train
219.19194,48.271507,Train
175.58775,0.56531304,Train
230.05121,34.422768,Train
155.0823,3.3684254,Train
171.18106,0.0,Train
257.34747,8.763521,Train
245.58151,100.40903,Train
163.88321,0.0,Train
166.25255,13.593016,Train
200.18953,28.622616,Train
258.69418,78.068306,Train
219.26645,16.821432,Train
260.40637,84.09098,Train
347.11395,116.557495,Train
227.38919,0.0,Train
142.73206,0.0,Train
296.14258,115.166824,Train
183.62074,7.9827003,Train
162.16656,0.0,Train
441.78003,127.885605,Train
248.96112,59.51838,Train
140.20988,0.0,Train
150.52629,0.0,Train
167.91034,18.304241,Train
370.86203,113.78329,Train
370.88138,101.78786,Train
244.96837,106.267715,Train
255.62302,86.30663,Train
150.84529,0.0,Train
270.13522,64.429695,Train
223.53793,117.77683,Train
201.6725,106.93607,Train
253.41634,119.85709,Train
249.26942,119.55772,Train
224.2318,121.13155,Train
244.80344,117.47134,Train
272.48434,120.922745,Train
237.27452,114.271706,Train
258.17395,118.89325,Train
275.68268,119.55513,Train
261.80066,121.50725,Train
272.52792,119.31152,Train
276.36444,120.594894,Train
269.81024,117.64618,Train
277.3653,118.308876,Train
257.02963,120.48647,Train
285.80322,120.24315,Train
279.6861,125.50366,Train
238.67824,117.94151,Train
257.27963,112.74689,Train
223.49033,102.71159,Train
235.31027,119.325745,Train
215.73949,108.86012,Train
234.77797,119.97642,Train
267.92572,112.971664,Train
266.18274,111.503006,Train
187.54904,80.09351,Train
221.0246,97.41475,Train
202.10944,120.38261,Train
347.80353,122.61202,Train
192.6069,117.107544,Train
188.01955,91.78215,Train
194.04146,111.25935,Train
273.67264,118.64111,Train
248.41307,114.249535,Train
219.76279,110.948654,Train
184.22177,112.90922,Train
190.79004,115.89455,Train
155.46756,77.50667,Train
358.25436,124.2917,Train
186.65042,110.04366,Train
176.15575,97.98118,Train
358.27036,126.297806,Train
246.49422,102.555405,Train
197.82736,100.25944,Train
236.76978,113.265236,Train
195.32146,114.97971,Train
307.9824,125.52358,Train
238.75261,119.794556,Train
211.6321,117.02207,Train
345.62085,123.93937,Train
143.71889,77.47747,Train
312.92618,122.03731,Train
263.94693,107.86519,Train
260.3243,77.17014,Train
302.2799,105.18419,Train
305.81375,104.220474,Train
302.4258,115.50852,Train
239.61609,70.97054,Train
316.8846,112.531265,Train
229.73134,38.901585,Train
275.6563,90.63467,Train
262.15952,96.894966,Train
259.24094,99.35546,Train
273.90057,81.67294,Train
302.63846,109.79237,Train
401.45456,120.86576,Train
265.84888,98.98854,Train
249.32144,82.77649,Train
295.87222,104.1085,Train
248.00122,83.48503,Train
287.70847,98.77016,Train
292.49393,105.05088,Train
241.35762,50.878654,Train
249.79953,45.71482,Train
240.81967,37.281963,Train
357.91806,102.34941,Train
258.09464,36.430153,Train
308.8495,109.1519,Train
223.18253,2.48762,Train
256.5938,57.41044,Train
255.08331,74.88417,Train
351.65103,113.75093,Train
269.797,56.904877,Train
230.0212,47.56041,Train
302.3236,56.682728,Train
308.20425,106.93005,Train
223.16312,35.68735,Train
351.7002,110.54521,Train
249.31552,96.38494,Train
245.00908,52.059498,Train
212.78085,9.454486,Train
355.63086,116.6426,Train
201.05908,36.559837,Train
204.06554,1.9026241,Train
490.6502,121.24034,Train
346.81314,115.410034,Train
227.55428,59.149147,Train
199.37363,21.732666,Train
220.27122,41.75754,Train
437.24704,121.1191,Train
237.80109,84.96623,Train
307.93335,113.52153,Train
318.64386,117.011,Train
164.93259,26.564539,Train
186.29953,89.696556,Train
198.52446,52.89266,Train
217.4952,51.7528,Train
194.4975,38.004814,Train
213.53139,63.932575,Train
253.59686,86.94297,Train
248.19391,84.88097,Train
260.32254,104.035545,Train
223.48274,93.22414,Train
225.17453,74.620766,Train
261.8979,93.95093,Train
260.15283,89.43469,Train
195.43936,31.581432,Train
204.25746,86.37407,Train
213.10715,67.2099,Train
256.9884,88.343124,Train
213.40125,68.56814,Train
246.84567,66.00545,Train
241.82167,89.27727,Train
219.32924,56.18999,Train
280.8684,96.067,Train
216.43913,89.09389,Train
197.54144,66.16899,Train
210.17534,85.64946,Train
198.3408,57.231903,Train
221.53786,65.540825,Train
230.7665,67.187454,Train
177.0267,64.32449,Train
189.81848,36.32531,Train
188.64186,50.085686,Train
246.9968,96.47442,Train
203.88333,53.507256,Train
181.80144,47.861298,Train
240.25111,71.98962,Train
365.23236,107.90918,Train
217.24521,54.429466,Train
237.28964,92.0432,Train
201.36563,7.461454,Train
200.4732,15.268053,Train
185.61237,18.13293,Train
219.78311,71.40629,Train
201.48543,39.54726,Train
179.71931,31.176395,Train
283.9848,110.355774,Train
248.28185,75.92009,Train
230.11047,47.83578,Train
190.97069,60.59015,Train
253.36247,52.7324,Train
445.28583,116.348915,Train
199.74078,96.769066,Train
234.22731,94.49048,Train
405.24542,111.14928,Train
247.2951,99.96046,Train
362.37637,104.27865,Train
215.0862,7.060163,Train
236.18707,42.237247,Train
218.86055,17.418686,Train
240.10663,45.98269,Train
278.9253,78.82472,Train
212.81656,38.183987,Train
325.28043,108.63922,Train
185.81688,0.0,Train
235.42593,42.74279,Train
236.10759,44.020382,Train
222.86183,56.5672,Train
255.18867,51.150173,Train
270.08813,73.955505,Train
281.56015,97.264206,Train
265.1048,80.14044,Train
245.22202,0.0,Train
256.91183,81.7536,Train
223.17427,12.710911,Train
270.00928,70.39164,Train
274.9169,47.765812,Train
262.39713,0.6482068,Train
228.94992,0.0,Train
195.57533,0.0,Train
249.77333,72.77826,Train
241.04393,23.680645,Train
235.88713,40.404785,Train
157.30292,1.2941728,Train
197.7913,0.0,Train
241.85228,8.495384,Train
289.48587,100.34605,Train
207.69203,0.0,Train
