Loss,Payout,Set
200.18953,2.0727463,Train
258.69418,105.0272,Train
219.26645,67.25558,Train
260.40637,132.37813,Train
347.11395,140.71039,Train
227.38919,3.4098923,Train
142.73206,0.0,Train
296.14258,148.94453,Train
183.62074,7.53501,Train
162.16656,4.4094486,Train
441.78003,163.707,Train
248.96112,93.765465,Train
140.20988,0.0,Train
150.52629,0.0,Train
167.91034,19.986538,Train
370.86203,146.17639,Train
370.88138,137.5958,Train
244.96837,113.22394,Train
255.62302,110.91316,Train
150.84529,0.0,Train
270.13522,87.4939,Train
175.99281,1.5117534,Train
291.91803,138.08774,Train
208.41092,43.40244,Train
236.97144,105.229294,Train
251.59961,86.39421,Train
290.7954,122.00481,Train
123.55889,0.0,Train
194.04146,137.16281,Train
273.67264,148.66472,Train
248.41307,109.08893,Train
219.76279,117.06602,Train
184.22177,111.840836,Train
190.79004,119.796425,Train
155.46756,67.756714,Train
358.25436,152.6688,Train
186.65042,116.34877,Train
176.15575,103.90513,Train
358.27036,155.94618,Train
246.49422,132.63815,Train
197.82736,115.94175,Train
236.76978,142.23701,Train
195.32146,87.14986,Train
307.9824,152.25546,Train
238.75261,118.51262,Train
211.6321,147.07278,Train
345.62085,152.55014,Train
143.71889,105.23838,Train
312.92618,153.15758,Train
111.242744,118.09116,Train
235.16858,143.6279,Train
226.20367,133.13997,Train
266.34805,147.22304,Train
268.10168,143.33665,Train
269.9646,149.27417,Train
201.93678,136.88681,Train
302.3236,68.77368,Train
308.20425,134.8831,Train
223.16312,64.282974,Train
351.7002,130.93475,Train
249.31552,90.08709,Train
245.00908,82.61367,Train
212.78085,24.541084,Train
355.63086,148.8551,Train
201.05908,45.466106,Train
204.06554,21.275675,Train
490.6502,153.06223,Train
346.81314,153.70256,Train
227.55428,62.389496,Train
199.37363,43.007515,Train
220.27122,60.75764,Train
437.24704,153.86221,Train
237.80109,106.650314,Train
307.93335,129.52182,Train
318.64386,146.19981,Train
164.93259,17.797699,Train
186.29953,100.675156,Train
253.2447,87.27693,Train
362.26813,148.54616,Train
296.36975,119.61116,Train
314.54962,119.42854,Train
290.8077,128.10889,Train
361.644,138.11394,Train
222.55855,84.42011,Train
240.25111,118.09951,Train
365.23236,144.12204,Train
217.24521,73.88491,Train
237.28964,128.46387,Train
201.36563,34.57493,Train
200.4732,68.16426,Train
185.61237,61.9096,Train
219.78311,110.40336,Train
201.48543,63.695354,Train
179.71931,59.29054,Train
283.9848,149.87383,Train
248.28185,115.412796,Train
230.11047,90.47387,Train
190.97069,74.65012,Train
253.36247,83.525955,Train
445.28583,162.2727,Train
199.74078,105.782974,Train
234.22731,107.93077,Train
405.24542,152.69682,Train
247.2951,127.11678,Train
