Loss,Payout,Set
245.58151,107.75017,Train
163.88321,1.5789782,Train
166.25255,27.842218,Train
200.18953,8.681381,Train
258.69418,105.230385,Train
219.26645,71.113625,Train
260.40637,126.701614,Train
347.11395,141.51639,Train
227.38919,21.348368,Train
142.73206,0.0,Train
296.14258,142.82297,Train
183.62074,0.601951,Train
162.16656,3.1967916,Train
441.78003,166.28203,Train
248.96112,87.34214,Train
140.20988,0.0,Train
150.52629,0.0,Train
167.91034,22.211325,Train
370.86203,142.26929,Train
370.88138,135.66869,Train
244.96837,113.89232,Train
255.62302,117.8694,Train
150.84529,0.0,Train
270.13522,83.054184,Train
175.99281,5.3306603,Train
291.91803,146.61201,Train
208.41092,46.883495,Train
236.97144,105.30022,Train
251.59961,88.88037,Train
290.7954,132.31364,Train
347.80353,160.21964,Train
192.6069,151.09152,Train
188.01955,108.23503,Train
194.04146,138.6813,Train
273.67264,154.6719,Train
248.41307,114.922714,Train
219.76279,139.94348,Train
184.22177,121.394,Train
190.79004,136.19786,Train
155.46756,75.18176,Train
358.25436,158.54579,Train
186.65042,126.632385,Train
176.15575,107.06079,Train
358.27036,162.341,Train
246.49422,135.70273,Train
197.82736,128.34978,Train
236.76978,151.94823,Train
195.32146,106.45868,Train
307.9824,157.69832,Train
238.75261,131.4028,Train
211.6321,156.76009,Train
345.62085,160.18414,Train
143.71889,97.153015,Train
312.92618,160.64273,Train
111.242744,130.40166,Train
235.16858,149.11911,Train
226.20367,133.93442,Train
266.34805,154.75949,Train
268.10168,152.56564,Train
269.9646,158.51431,Train
351.65103,145.42644,Train
269.797,78.46859,Train
230.0212,70.5153,Train
302.3236,69.103615,Train
308.20425,139.9739,Train
223.16312,67.51126,Train
351.7002,132.95517,Train
249.31552,109.29704,Train
245.00908,95.6375,Train
212.78085,34.10801,Train
355.63086,149.48131,Train
201.05908,55.197674,Train
204.06554,16.999372,Train
490.6502,155.7008,Train
346.81314,155.76376,Train
227.55428,80.41037,Train
199.37363,39.600945,Train
220.27122,66.725525,Train
437.24704,152.44716,Train
237.80109,110.51781,Train
307.93335,135.03624,Train
318.64386,154.91165,Train
164.93259,23.865295,Train
186.29953,103.75755,Train
253.2447,90.17323,Train
362.26813,155.11662,Train
296.36975,128.70311,Train
314.54962,122.62209,Train
290.8077,133.66888,Train
361.644,143.06383,Train
246.9968,137.67302,Train
203.88333,74.62531,Train
181.80144,63.697437,Train
240.25111,115.536575,Train
365.23236,143.7839,Train
217.24521,71.83809,Train
237.28964,118.935684,Train
201.36563,38.649014,Train
200.4732,56.16031,Train
185.61237,57.828114,Train
219.78311,104.6053,Train
201.48543,54.792866,Train
179.71931,51.044228,Train
283.9848,150.42024,Train
248.28185,102.71383,Train
230.11047,76.080864,Train
190.97069,80.502884,Train
253.36247,76.64554,Train
445.28583,157.6395,Train
199.74078,104.98219,Train
234.22731,109.15376,Train
405.24542,151.48233,Train
247.2951,123.79936,Train
362.37637,148.70703,Train
155.48921,20.383154,Train
365.13364,151.5308,Train
287.80963,134.86205,Train
256.0172,138.63126,Train
185.75636,76.68745,Train
227.5271,113.90167,Train
289.48587,115.63269,Train
207.69203,1.8976444,Train
199.47081,17.01274,Train
205.32217,2.0997233,Train
288.24615,110.91813,Train
213.7427,26.654804,Train
254.81186,105.04092,Train
288.9536,121.685745,Train
211.16797,5.533897,Train
175.45493,0.0,Train
227.31447,125.18154,Train
128.7466,0.0,Train
173.75134,2.4712927,Train
477.82867,159.49088,Train
225.4786,79.35793,Train
190.20113,6.020777,Train
165.49625,0.0,Train
221.36397,63.82265,Train
361.3043,138.9639,Train
256.3172,103.84296,Train
217.90271,87.13483,Train
267.06082,107.28529,Train
179.7915,0.0,Train
267.59482,72.65665,Train
187.4707,0.0,Train
331.4192,152.8292,Train
265.44028,33.810635,Train
287.03397,106.54039,Train
210.70024,68.36348,Train
267.43912,115.03252,Train
270.96313,112.26345,Train
130.11273,4.68234,Train
139.82361,10.947272,Train
142.59575,8.577604,Train
239.92912,120.38452,Train
109.82378,1.0115633,Train
179.27968,56.928936,Train
136.79683,48.27653,Train
153.87524,36.34551,Train
125.51492,0.0,Train
181.21585,66.87902,Train
107.478035,5.662922,Train
124.80148,0.0,Train
271.6862,149.37558,Train
145.63214,70.62407,Train
138.63936,3.5638633,Train
145.70782,20.492182,Train
163.33755,64.22089,Train
398.02853,157.84885,Train
244.28078,103.43718,Train
213.09427,47.3926,Train
206.46902,142.30362,Train
154.40504,18.258266,Train
203.90231,109.440025,Train
95.96084,0.0,Train
243.58063,144.21428,Train
170.76166,67.89601,Train
245.00395,102.89016,Train
144.30751,24.950932,Train
