201501_Evap_tavg,201502_Evap_tavg,201503_Evap_tavg,201504_Evap_tavg,201505_Evap_tavg,201506_Evap_tavg,201507_Evap_tavg,201508_Evap_tavg,201509_Evap_tavg,201510_Evap_tavg,201511_Evap_tavg,201512_Evap_tavg,201601_Evap_tavg,201602_Evap_tavg,201603_Evap_tavg,201604_Evap_tavg,201605_Evap_tavg,201606_Evap_tavg,201607_Evap_tavg,201608_Evap_tavg,201609_Evap_tavg,201610_Evap_tavg,201611_Evap_tavg,201612_Evap_tavg,ADM3_PCODE
5.878430078315026e-06,2.972744012044203e-06,5.66138905518081e-06,1.4612500010112954e-05,2.4065470817899405e-05,2.72281947200114e-05,2.4476630686153856e-05,3.3233294594387206e-05,4.220873856989468e-05,5.222760970810247e-05,4.428020411016195e-05,1.8076858744958137e-05,6.076102186800331e-06,1.1550260190905387e-06,1.5640576091545935e-06,4.765368201656897e-06,1.7884800650325122e-05,4.887606725119607e-05,4.547609862330771e-05,3.798982043379336e-05,3.847884827164875e-05,4.95816160897718e-05,4.876404140771943e-05,3.929023338686125e-05,TH630105
4.244666762899812e-06,2.3655601529587893e-06,5.504655456161025e-06,1.3276027519415149e-05,2.3467701000426927e-05,2.583343510453726e-05,2.1398270831563885e-05,3.0916119566815304e-05,4.22328084381746e-05,5.172899922823693e-05,4.25140498809661e-05,1.5068705691767372e-05,5.311779286569763e-06,9.725822109981168e-07,2.074793660510161e-06,2.426881563229721e-06,1.9138188665724183e-05,4.8327729677865845e-05,4.266352838981884e-05,3.4850182389135214e-05,3.881406751145038e-05,5.0383900506699206e-05,4.94893648604519e-05,3.833288808535711e-05,TH630106
8.563611918450976e-06,4.74239647484925e-06,6.54774573535023e-06,1.6126564901729518e-05,2.714947194906829e-05,2.9256262925520883e-05,2.4324346148336905e-05,3.455430915042425e-05,4.409643308187221e-05,4.668855083629718e-05,3.766225172185168e-05,1.3346961825425726e-05,6.786422575450234e-06,1.779062891330728e-06,2.230476238417348e-06,4.140172859209912e-06,1.9728542523371146e-05,4.73522170094844e-05,4.261680316437192e-05,3.811357670218819e-05,3.939892773680127e-05,4.913731286776143e-05,4.574041925278226e-05,3.5230524861394005e-05,TH630107
5.229326718604101e-06,2.4668046941054134e-06,6.202030852198876e-06,1.4037273947998764e-05,2.374639260468065e-05,2.7172542838205928e-05,2.2634279848458785e-05,3.331381739194253e-05,4.432942315687533e-05,5.283635749867975e-05,4.3509920784335246e-05,1.649718666159741e-05,5.4164963957821565e-06,9.85651202675417e-07,1.8783802258066365e-06,2.5560177769833035e-06,1.9360362787274672e-05,4.850431990135048e-05,4.364778032428903e-05,3.641430791191846e-05,4.08215128321605e-05,5.08630877527725e-05,5.006627401184958e-05,3.824073357922382e-05,TH630108
8.470044440615215e-06,4.375074491124555e-06,9.112201724000765e-06,1.6011378160140564e-05,2.633283930483425e-05,2.842687109895161e-05,2.95289228610156e-05,4.077746967214217e-05,4.689202288366678e-05,5.534972691932167e-05,4.774216443993289e-05,2.3373249448576867e-05,7.557210122755918e-06,1.880606639341678e-06,2.707254191969807e-06,3.729260541300704e-06,1.779296615669094e-05,4.5522996696804966e-05,4.606152449488989e-05,4.048760560726965e-05,4.351281884049655e-05,5.166347606020674e-05,5.101839628940798e-05,3.95613769990923e-05,TH630109
2.1906925773835e-05,1.883989782965424e-05,1.5916092574865998e-05,2.4557433830097943e-05,3.129339212750519e-05,3.367351579461245e-05,3.558928283597722e-05,3.877428722923032e-05,4.173369318949773e-05,4.775295028655442e-05,4.3039435649621154e-05,3.143676893798049e-05,2.12542471170112e-05,1.3258266696401865e-05,9.88605024749682e-06,1.3401505708735958e-05,2.1459902255242093e-05,4.275874815933125e-05,4.333247353931695e-05,3.885965225416496e-05,3.699030343465216e-05,4.436583617712688e-05,4.3112912950466205e-05,3.648846683820828e-05,TH630111
6.226162159148915e-06,2.887659990385701e-06,6.858256007969061e-06,1.6037653170552593e-05,2.3905573331081702e-05,2.7891900556959443e-05,2.6337195503903372e-05,3.678983467137492e-05,4.394670241564224e-05,5.385008528322996e-05,4.696487324719849e-05,2.4026073245141336e-05,7.310615704734934e-06,1.27844156030961e-06,1.4300983201872548e-06,4.67778975843598e-06,1.738539347423148e-05,4.818407606232891e-05,4.583817308708371e-05,3.919010988961832e-05,3.885261450143991e-05,4.925756453491284e-05,4.896845956998365e-05,3.9475393649985625e-05,TH630112
1.177833680774898e-05,8.041305218373955e-06,1.0544822489425587e-05,1.9831130538097456e-05,2.717729722729307e-05,3.020986103192654e-05,3.0826734763649364e-05,3.84643039498965e-05,4.426126718734379e-05,5.2341388045664834e-05,4.5035714569958256e-05,2.641197362255217e-05,1.237760434646368e-05,5.695225316015835e-06,5.064520251272343e-06,7.620130815811722e-06,2.045918963025925e-05,4.550141377243041e-05,4.486481448849381e-05,3.846529093194995e-05,4.058110400209663e-05,4.826625202474045e-05,4.753661324007759e-05,3.8520178313085296e-05,TH630113
9.901650195283446e-06,6.19420050227628e-06,8.355510973405705e-06,1.5687731340709757e-05,2.816630009517992e-05,3.216523932641088e-05,2.916045797529132e-05,3.896144322496619e-05,4.8273155758646185e-05,5.3420447849484426e-05,4.4660853816911815e-05,1.7469696737506843e-05,6.007787596561195e-06,1.5322285352435071e-06,2.3842985567244944e-06,3.030780383919038e-06,2.101867603463117e-05,4.895242841169248e-05,4.736146534795128e-05,4.314814591797215e-05,4.579332250931157e-05,5.269632394633334e-05,5.098109143980077e-05,3.788366028630651e-05,TH630114
7.745418395915164e-06,3.338337673276153e-06,7.94866228150108e-06,1.5024402918277536e-05,2.595778920401953e-05,3.0033019227466907e-05,2.568775840062253e-05,3.782383990289887e-05,4.630568843290865e-05,5.413122750001569e-05,4.566518735372804e-05,1.916838318391466e-05,6.03398976867977e-06,1.189178734938616e-06,2.316333054772698e-06,2.5149882321056662e-06,1.8677319531449525e-05,4.745619928059939e-05,4.449078861323801e-05,3.8642423998780144e-05,4.385729487594839e-05,5.124093717568752e-05,5.044474285137022e-05,3.8020058306516847e-05,TH630115
