201901_Evap_tavg,201902_Evap_tavg,201903_Evap_tavg,201904_Evap_tavg,201905_Evap_tavg,201906_Evap_tavg,201907_Evap_tavg,201908_Evap_tavg,201909_Evap_tavg,201910_Evap_tavg,201911_Evap_tavg,201912_Evap_tavg,202001_Evap_tavg,202002_Evap_tavg,202003_Evap_tavg,202004_Evap_tavg,202005_Evap_tavg,202006_Evap_tavg,202007_Evap_tavg,202008_Evap_tavg,202009_Evap_tavg,202010_Evap_tavg,202011_Evap_tavg,202012_Evap_tavg,ADM3_PCODE
1.4198187954427907e-05,4.4961816320384685e-06,4.7874799103736e-06,9.968020389741922e-06,2.9179418856286e-05,5.019157858144198e-05,3.902919813872277e-05,3.897116579761104e-05,4.655129573769413e-05,4.661626741024576e-05,3.75121143620076e-05,8.958981932338841e-06,9.272583702247904e-07,2.751415959867781e-07,2.050783726052414e-06,9.772264969252254e-06,2.71500295739028e-05,3.7492301043127126e-05,3.2491898219231935e-05,3.69768668585049e-05,3.865968466647486e-05,4.789488993262617e-05,5.179145554934319e-05,3.469180150736986e-05,TH630105
1.2112444114117305e-05,3.6946328590214727e-06,4.285610786074006e-06,9.013728980228571e-06,2.7977389987799056e-05,4.931509682499373e-05,3.416072919364427e-05,3.783937198248992e-05,4.657441095865476e-05,4.580685786699471e-05,3.632865932409656e-05,7.55081318045626e-06,7.405054323631467e-07,1.3845632045573014e-07,1.8913185122197915e-06,8.583375974728182e-06,2.769962867432954e-05,3.509017849483418e-05,2.9132320388262343e-05,3.586110793946436e-05,3.861247845629106e-05,4.8487791105139966e-05,5.152426982193605e-05,3.282487915887894e-05,TH630106
1.2235123825515072e-05,4.767664604445699e-06,4.893388816093511e-06,1.0419922497622145e-05,2.8533969077777933e-05,5.010974335088406e-05,3.6978146647423206e-05,4.348108359123498e-05,4.901900977820843e-05,4.596389633821904e-05,3.793260562298142e-05,1.2383347050880406e-05,3.065254374485087e-06,1.031527103947993e-06,2.147192950045937e-06,9.716540089797798e-06,2.9427017218229275e-05,3.402947215334298e-05,3.1192802324243754e-05,3.941088024093227e-05,3.971883880957776e-05,4.69499364059904e-05,4.749786400076709e-05,3.0390692116933507e-05,TH630107
1.2186414951294188e-05,4.129700729713429e-06,4.599811788848711e-06,9.16983848736956e-06,2.7278636038992926e-05,5.0141091000967314e-05,3.60153371291026e-05,3.955908495073998e-05,4.884023405012215e-05,4.68609577427322e-05,3.669901638649952e-05,7.652409813678627e-06,6.823018176128048e-07,1.2060065613001136e-07,2.093214742442534e-06,5.866624175039603e-06,3.0351783032946695e-05,3.466478707143235e-05,2.9826805889752296e-05,3.771850494401495e-05,3.926338388187322e-05,4.916254529429039e-05,5.1386911646700105e-05,3.236983769729336e-05,TH630108
1.3763237959805886e-05,5.646877850836364e-06,6.153204767715138e-06,1.0856974089503224e-05,2.666615565050427e-05,4.911953129978664e-05,3.915283240874184e-05,4.062777668748393e-05,5.071751159574456e-05,4.866010302396063e-05,3.727939394884411e-05,8.051591439903911e-06,7.501994471837138e-07,6.866090350683666e-07,3.055433718713117e-06,3.683200673635643e-06,3.315236881236587e-05,3.458990440128887e-05,3.2365388961998724e-05,4.076496227892831e-05,4.002945201495643e-05,4.8687237972636087e-05,5.165622040020484e-05,3.307330577458191e-05,TH630109
2.436164746587026e-05,1.884024374422783e-05,1.6352583649870948e-05,2.131769809636117e-05,3.193706766991193e-05,4.6059604297230224e-05,4.225772923640973e-05,4.140744052362081e-05,4.409805738792035e-05,4.441451570181818e-05,3.843585903287373e-05,2.5783637570417692e-05,1.703666003318559e-05,1.0940312333118506e-05,9.659887569781516e-06,8.956371686300414e-06,2.9961690513542013e-05,3.4316723064432555e-05,3.3028753553423595e-05,3.821936417198386e-05,3.539645779871142e-05,4.075371077022218e-05,4.495889726417049e-05,3.4531452729501354e-05,TH630111
1.4850436014497483e-05,5.239329906592406e-06,5.509812651138261e-06,9.7891460876503e-06,2.79753972062762e-05,5.023300888635663e-05,4.1178184906838455e-05,4.0911492295817415e-05,4.7103206791833785e-05,4.628003241643014e-05,3.6166981588685326e-05,8.03530971561444e-06,6.403610120415873e-07,2.87986856488207e-07,2.5246424607253183e-06,6.710731158623893e-06,2.8639347411690983e-05,3.61847180539959e-05,3.1842284115772844e-05,3.8362977677848696e-05,3.832794726248182e-05,4.735216007745524e-05,5.147642406559663e-05,3.464830323356501e-05,TH630112
1.8058582421179365e-05,9.898344149919577e-06,9.782310776050512e-06,1.4866153347591728e-05,2.996866165502938e-05,4.918883094305474e-05,4.171352071509376e-05,4.0979699269979216e-05,4.653997632089394e-05,4.602027476908696e-05,3.679241802600621e-05,1.4306167520357696e-05,6.527877864945544e-06,4.031564480597672e-06,5.368334697386411e-06,6.553490674480357e-06,3.211163876171493e-05,3.430967800950808e-05,3.130659479371908e-05,3.871940520361824e-05,3.77226308723905e-05,4.529580134706189e-05,4.881737001987943e-05,3.362761209197473e-05,TH630113
1.1070855271607657e-05,5.074308120097683e-06,5.412642925590998e-06,1.0235646741826336e-05,2.739858008272144e-05,5.270823583972732e-05,4.225598666625365e-05,4.459460891983037e-05,5.250967793591619e-05,4.960103069104069e-05,3.8514094856762064e-05,8.953537588887377e-06,1.0080225304397845e-06,4.945872490375877e-07,2.4934499240759432e-06,6.284775716436234e-06,3.254255196716197e-05,3.52959279975713e-05,3.47106275904963e-05,4.203374829719834e-05,4.151675125993368e-05,4.995898400778338e-05,5.056734048051935e-05,3.0608702294483055e-05,TH630114
1.270218845941235e-05,4.952048390247888e-06,5.39664525608738e-06,9.640011892148096e-06,2.6183951943397173e-05,5.065019054002257e-05,3.892363701059242e-05,4.112717672747748e-05,5.042323050270868e-05,4.763455313079411e-05,3.5895209426701066e-05,7.152394710916361e-06,6.50931807910249e-07,4.027894130942048e-07,2.591232794709305e-06,1.7849771908101933e-06,3.261666463652088e-05,3.4556409421609346e-05,3.1167353465585944e-05,3.9741067168231566e-05,4.020939895575867e-05,4.911713501094727e-05,5.095568667625061e-05,3.186838496146212e-05,TH630115
