202101_Evap_tavg,202102_Evap_tavg,202103_Evap_tavg,202104_Evap_tavg,202105_Evap_tavg,202106_Evap_tavg,202107_Evap_tavg,202108_Evap_tavg,202109_Evap_tavg,202110_Evap_tavg,202111_Evap_tavg,202112_Evap_tavg,202201_Evap_tavg,202202_Evap_tavg,202203_Evap_tavg,202204_Evap_tavg,202205_Evap_tavg,202206_Evap_tavg,202207_Evap_tavg,202208_Evap_tavg,202209_Evap_tavg,202210_Evap_tavg,202211_Evap_tavg,202212_Evap_tavg,ADM3_PCODE
1.271567871963174e-05,3.929408804093839e-06,6.887857951819183e-06,3.050313971508277e-05,4.027932962075048e-05,4.807790335082068e-05,4.752589083339641e-05,3.570763149671454e-05,4.247604146798715e-05,5.25756357776777e-05,5.0154203063034e-05,4.25163578949465e-05,2.7252328830207237e-05,1.6253701451801905e-05,1.9627650006032567e-05,1.4671820685844624e-05,4.049009542781334e-05,4.4782711544302136e-05,5.13198194365049e-05,4.629403200465913e-05,4.592438542663493e-05,5.3796889746369387e-05,4.517114428446359e-05,3.8323833827709264e-05,TH630105
1.09826002291387e-05,3.111477495259089e-06,5.98596319895517e-06,2.9339235051381613e-05,4.0118819158010295e-05,4.6789245959676944e-05,4.4602037097126834e-05,3.23423941201811e-05,4.382217136698159e-05,5.378970687984078e-05,5.101192662622199e-05,4.2251896310881824e-05,2.537777268927707e-05,1.5114807567933105e-05,1.847254365645047e-05,1.455238474235857e-05,4.098838176189276e-05,4.369341307340568e-05,4.934946932084701e-05,4.632881356362975e-05,4.650862357189838e-05,5.4739350504757616e-05,4.569627435837175e-05,3.844603482162906e-05,TH630106
1.0842367173395108e-05,4.734927116571476e-06,7.244223697952675e-06,3.1643406750283854e-05,4.033672556973516e-05,4.834676860245065e-05,4.576030889671946e-05,3.652702743604718e-05,4.524198022567144e-05,5.1719030231201695e-05,4.6622778132452544e-05,3.740732679659301e-05,2.12556573620438e-05,1.3830105529971634e-05,1.717933894587936e-05,1.500261022971352e-05,4.205134611300595e-05,4.185397317823519e-05,4.691593660253323e-05,4.775448181768422e-05,4.703594257252583e-05,5.095655163667025e-05,4.181330750426335e-05,3.3113404602495984e-05,TH630107
1.0845087879054276e-05,3.526139684785105e-06,6.653739244095439e-06,2.927868987563128e-05,3.970663822100932e-05,4.740828467681506e-05,4.58176076059639e-05,3.3609334684096324e-05,4.493956653548629e-05,5.416411240466186e-05,5.137795762704856e-05,4.220620156299932e-05,2.4855659714106184e-05,1.4772796840822172e-05,1.8702074625866625e-05,1.5078334751525514e-05,4.102361218327584e-05,4.303903370369783e-05,4.985811650208234e-05,4.762438665588807e-05,4.744279288449214e-05,5.510718638572914e-05,4.602737837501116e-05,3.839398812873874e-05,TH630108
1.1942037962866532e-05,4.603070593841957e-06,8.554465941993537e-06,3.03237638000499e-05,3.901750753883484e-05,4.674830466694468e-05,4.907585996799394e-05,3.703323434734685e-05,4.522626956127705e-05,5.3668395630341295e-05,5.129897350654817e-05,4.18640961178117e-05,2.498630531748685e-05,1.4994643403427549e-05,2.08649646377416e-05,1.6927992363639253e-05,3.873037697870041e-05,4.140246284947045e-05,5.185559199080405e-05,4.9794138691256015e-05,4.864100768224196e-05,5.481705841791055e-05,4.5294623495584254e-05,3.814651667131536e-05,TH630109
2.2536048516469985e-05,1.727462223377908e-05,1.6100494510553127e-05,3.161003814738396e-05,3.797790383815647e-05,4.313633172405606e-05,4.7246655035745976e-05,3.789451573737481e-05,3.930140710390321e-05,4.578850950225104e-05,4.370530361601739e-05,3.8330516287830055e-05,2.983091261689916e-05,2.183228601145755e-05,2.989027369018615e-05,2.316841269369272e-05,3.932145669733621e-05,4.123438163051064e-05,4.61593221670227e-05,4.52542677491768e-05,4.25079855725091e-05,4.734847710277898e-05,3.950954863454696e-05,3.4569180808122015e-05,TH630111
1.285038488523975e-05,3.944349818552768e-06,7.307642588994063e-06,2.875918924168052e-05,3.796191559434809e-05,4.546677897460639e-05,4.759150659067698e-05,3.5329107297580976e-05,4.259975220545698e-05,5.1925206218850456e-05,5.008347713755863e-05,4.25601515952386e-05,2.75352362295066e-05,1.5739803104921818e-05,2.117740922563056e-05,1.4794135871862504e-05,3.879871855107687e-05,4.286944376058293e-05,5.094406050767875e-05,4.689253592788248e-05,4.614964450966336e-05,5.362039299955939e-05,4.520170502300494e-05,3.950884410788951e-05,TH630112
1.55434327800749e-05,8.072324500704905e-06,1.1067674673806442e-05,3.0501635604323837e-05,3.853821592861766e-05,4.5038537501525633e-05,4.780084116793656e-05,3.60151891396778e-05,4.26713358197296e-05,5.047925748227109e-05,4.8073348833278525e-05,4.092298509496353e-05,2.7502977882320107e-05,1.7105883245884972e-05,2.521512123262663e-05,1.8627828006115484e-05,3.960307197993127e-05,4.2072329091892e-05,5.088150961915835e-05,4.764888599401662e-05,4.600128548087473e-05,5.178739095321278e-05,4.338333776063306e-05,3.8046253881190296e-05,TH630113
1.0442705670239747e-05,5.027353519819815e-06,9.339427280719171e-06,3.0586435219927434e-05,3.9201545261605466e-05,5.003692609526967e-05,5.019742899585893e-05,3.883276581805088e-05,4.725688911482975e-05,5.54207767510503e-05,5.147327962083065e-05,4.045165744487543e-05,2.2090694690187103e-05,1.4452106908201387e-05,1.905437410997307e-05,1.621646071706515e-05,4.282480906841832e-05,4.480088005789305e-05,5.27110614616216e-05,5.217175114652781e-05,4.991132970257239e-05,5.542108589874464e-05,4.56223626142268e-05,3.5442618647408635e-05,TH630114
1.089446249604145e-05,4.060338517825883e-06,8.099943851269445e-06,2.946881275920713e-05,3.860803048631791e-05,4.763529265763909e-05,4.7176202594531554e-05,3.5053978869708026e-05,4.568116179287115e-05,5.435558072011425e-05,5.142385240178198e-05,4.1737512211611095e-05,2.4320921735844396e-05,1.4633676570868896e-05,1.9468451870204565e-05,1.5667680391900496e-05,4.017428312825975e-05,4.2447787715790615e-05,5.101877875130695e-05,4.902497759475678e-05,4.863590950370612e-05,5.4958236531438016e-05,4.536351222044823e-05,3.7559366950662894e-05,TH630115
