Zone,Tambon,Year,WeightedLoss,WeightSum,min_plant_date,max_plant_date,Loss
C1,10-3-3,2016,0.0,1171300.0,2016-05-06,2016-10-29,0.0
C1,10-3-3,2017,0.0,1148746.0,2017-05-01,2017-10-05,0.0
C1,10-3-3,2018,0.0,1089346.0,2018-05-01,2018-08-01,0.0
C1,10-3-3,2019,0.0,1407267.0,2019-05-01,2019-09-10,0.0
C1,10-3-3,2020,0.0,1271617.0,2020-05-01,2020-07-27,0.0
C1,10-3-3,2021,0.0,1354467.0,2021-05-01,2021-08-15,0.0
C1,10-3-3,2022,0.0,1268217.0,2022-05-01,2022-06-30,0.0
C1,10-3-4,2015,16400.0,1569700.0,2015-05-01,2015-09-16,0.010447856278269734
C1,10-3-4,2016,0.0,1872000.0,2016-05-01,2016-10-30,0.0
C1,10-3-4,2017,0.0,1118900.0,2017-05-01,2017-10-02,0.0
C1,10-3-4,2018,0.0,945600.0,2018-05-01,2018-08-31,0.0
C1,10-3-4,2019,0.0,1355900.0,2019-05-01,2019-10-25,0.0
C1,10-3-4,2020,0.0,1771200.0,2020-05-01,2020-08-25,0.0
C1,10-3-4,2021,0.0,1130000.0,2021-05-01,2021-07-18,0.0
C1,10-3-4,2022,0.0,798500.0,2022-05-01,2022-10-31,0.0
C1,10-3-5,2015,6000.0,157700.0,2015-06-19,2015-10-28,0.03804692454026633
C1,10-3-5,2016,0.0,249700.0,2016-05-01,2016-10-29,0.0
C1,10-3-5,2017,0.0,182000.0,2017-05-02,2017-10-30,0.0
C1,10-3-5,2018,0.0,165700.0,2018-05-04,2018-08-12,0.0
C1,10-3-5,2019,0.0,175600.0,2019-05-01,2019-10-28,0.0
C1,10-3-5,2020,0.0,148500.0,2020-05-05,2020-08-25,0.0
C1,10-3-5,2021,0.0,384400.0,2021-05-01,2021-08-25,0.0
C1,10-3-5,2022,0.0,307600.0,2022-05-01,2022-10-27,0.0
C1,10-3-6,2015,0.0,385700.0,2015-05-02,2015-09-05,0.0
C1,10-3-6,2016,0.0,390000.0,2016-05-01,2016-10-26,0.0
C1,10-3-6,2017,0.0,378975.0,2017-05-01,2017-10-24,0.0
C1,10-3-6,2018,0.0,204750.0,2018-05-04,2018-07-25,0.0
C1,10-3-6,2019,0.0,313536.0,2019-05-02,2019-09-10,0.0
C1,10-3-6,2020,0.0,296200.0,2020-05-02,2020-10-01,0.0
C1,10-3-6,2021,0.0,289851.0,2021-05-01,2021-08-12,0.0
