,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2,p1,p2,seed
11,0.5578243065211438,0.57053449054159,0.012710184020446214,0.57053449054159,0.5807984210259093,0.6015541116267032,0.020755690600793963,0.6015541116267032,0.026269233325314723,0.013746997995024173,0.026269233325314723,0.3555681706432089,0.9171053235992794,0.6148723785525518,61.76908682516775,0.3,0.15,0.23284547949108064,0.3974001646355597,11
12,0.5518587938958532,0.5549252688049656,0.003066474909112382,0.5549252688049656,0.5772260920315483,0.5751672039365868,0.002058888094961464,0.5772260920315483,0.016014303437423192,0.029552288431779747,0.029552288431779747,0.33012228031087953,1.0347407964518751,0.7541368581876275,77.50803677550951,0.15,0.15,0.3839651130495719,0.3740742985911504,12
13,0.5397747586559094,0.5249748966550656,0.014799862000843822,0.5397747586559094,0.5735506884670679,0.5850230454977522,0.011472357030684277,0.5850230454977522,0.039975814373797436,0.05585515421929674,0.05585515421929674,0.29926162794031397,1.0082735265352931,0.7539011427860263,77.99130884544769,0.2,0.1,0.32960302799465213,0.4226407723993451,13
14,0.5304887591147271,0.5682143146644195,0.03772555554969237,0.5682143146644195,0.5752850037474944,0.5749679557654477,0.00031704798204668094,0.5752850037474944,0.04566479755793943,0.02790990977578924,0.04566479755793943,0.2985939450010965,0.9511846041919405,0.6973797509410085,71.78497251099283,0.25,0.1,0.27175680297966914,0.426089564676787,14
15,0.5492388804176372,0.5796232807051769,0.030384400287539637,0.5796232807051769,0.5713961884115909,0.593456926681423,0.022060738269832125,0.593456926681423,0.022547886569199895,0.027909182384520892,0.027909182384520892,0.2901875676774688,0.8611046339120069,0.6144452013861584,62.800877285799196,0.2,0.25,0.31710853046282855,0.29276860583180436,15
16,0.5730879822242223,0.5875176095376046,0.014429627313382265,0.5875176095376046,0.587117081726608,0.5936170230297312,0.006499941303123147,0.5936170230297312,0.0233477122513651,0.013811189518597469,0.0233477122513651,0.25907114666045306,0.9517658203301025,0.7315553456687174,76.19641410366145,0.15,0.15,0.37167245024165635,0.3771799957254492,16
17,0.6053004335546399,0.5529183829242835,0.05238205063035639,0.6053004335546399,0.5975220457504031,0.5854507811266918,0.01207126462371133,0.5975220457504031,0.012748141233151064,0.040204058612375915,0.040204058612375915,0.31944449918237294,1.1267376568288958,0.8552098325238788,88.80224734111756,0.1,0.1,0.44492808063639355,0.4150609900662093,17
18,0.5601686364396099,0.5742380597435175,0.014069423303907591,0.5742380597435175,0.5770414091033433,0.5896249949748955,0.012583585871552172,0.5896249949748955,0.035948355362860576,0.0122657698492487,0.035948355362860576,0.3562224871489096,1.0882243282662665,0.7854352141896933,80.52020252290927,0.1,0.15,0.42482312992124105,0.38690472945955906,18
19,0.5606892621206488,0.5633821378186062,0.0026928756979573976,0.5633821378186062,0.5960830895575335,0.5726307235632938,0.02345236599423972,0.5960830895575335,0.03693534240306594,0.021099060329074,0.03693534240306594,0.2808767634446534,1.08502397572861,0.8462787268006546,88.45619335123527,0.1,0.1,0.43682243056817743,0.41200306032139283,19
20,0.5838127420077028,0.5651494658868638,0.018663276120839067,0.5838127420077028,0.5899735724676702,0.5615427260388217,0.028430846428848522,0.5899735724676702,0.01843057612008118,0.023212073408437624,0.023212073408437624,0.34026330280223027,1.0610730036447014,0.7718491962628057,79.28906709267181,0.15,0.1,0.3800255110510427,0.3979088435821498,20
21,0.5746026786478734,0.5945916507345985,0.01998897208672512,0.5945916507345985,0.5949074741661691,0.6012839388606724,0.00637646469450337,0.6012839388606724,0.014649034252881528,0.027124025722139938,0.027124025722139938,0.25416840839182664,0.8751037309094867,0.6590605837764341,68.3028854769426,0.3,0.1,0.24263207514386587,0.44381812332631193,21
22,0.5831002072433507,0.5308526035224579,0.052247603720892766,0.5831002072433507,0.5942715384331,0.5906922758524468,0.0035792625806532197,0.5942715384331,0.01330900417551151,0.04156512390258789,0.04156512390258789,0.40232894120118845,0.9167139117237616,0.5747343117027515,56.582346757483066,0.2,0.3,0.34020673295761694,0.23323640578057464,22
23,0.557486565377363,0.5441854201951634,0.013301145182199603,0.557486565377363,0.5763596698849399,0.5761452475596329,0.00021442232530699545,0.5763596698849399,0.0289774102955207,0.04419984797030746,0.04419984797030746,0.34927677484947905,1.0218902992251846,0.7250050406031274,73.98748768132761,0.2,0.15,0.3308901708431138,0.3714330493849524,23
24,0.5722852926941807,0.5494065154917783,0.02287877720240239,0.5722852926941807,0.6148024819334179,0.5706545756677325,0.04414790626568543,0.6148024819334179,0.04007859385055758,0.02534586821514371,0.04007859385055758,0.2633911672336,0.8763012204745724,0.6524187283260123,67.42010585650696,0.2,0.2,0.3508484288355344,0.32035213230831916,24
25,0.5525251843864365,0.5473387381224056,0.005186446264030864,0.5525251843864365,0.5765503873030154,0.5971540951740537,0.020603707871038268,0.5971540951740537,0.017534127593235558,0.03689916150487392,0.03689916150487392,0.38969477737240577,1.1206988130139235,0.7894582522473785,80.41044392056695,0.1,0.2,0.42554869324449757,0.3371136093464445,25
26,0.5414259061071488,0.5692300804328717,0.027804174325722908,0.5692300804328717,0.5770128031321605,0.5996763628293372,0.022663559697176705,0.5996763628293372,0.040442893262450624,0.021084352925925535,0.040442893262450624,0.3131670472003001,1.0091988426480638,0.7430068525278087,76.56349749925396,0.1,0.2,0.40858156152662767,0.34373927441810515,26
27,0.5696171968313335,0.5654054440276487,0.004211752803684798,0.5696171968313335,0.6069475184199343,0.5875443615664557,0.019403156853478598,0.6069475184199343,0.028005407284120647,0.020511433669554748,0.028005407284120647,0.26756417540716637,1.0716268240929672,0.8441972749968758,88.44689135543808,0.1,0.1,0.42163969684014785,0.43841556196050724,27
28,0.5762930949299229,0.5464717118297563,0.029821383100166576,0.5762930949299229,0.5927588214166324,0.5716818925494198,0.021076928867212574,0.5927588214166324,0.028698940772124447,0.024425306338307112,0.028698940772124447,0.26618348235401357,0.8770792447771723,0.6508232847762607,67.19853386654744,0.25,0.15,0.28896582569957646,0.38052209316999136,28
