,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2,p1,p2,seed
0,0.5840877812266506,0.5846681051824499,0.0005803239557993223,0.5846681051824499,0.6188223102284853,0.5693604701383415,0.04946184009014387,0.6188223102284853,0.022079767882394435,0.006901954794633437,0.022079767882394435,0.30276377959042017,0.7183734901712063,0.46102427751934916,45.71706816388647,0.95,0.89,0.28,0.25,0.2427865588278455,0.21961650472616281,0
1,0.6114357057969082,0.5494144460676944,0.062021259729213796,0.6114357057969082,0.6202974308839931,0.5768643332223159,0.043433097661677245,0.6202974308839931,0.027417498772397058,0.02548211289803361,0.027417498772397058,0.4164473609500016,0.8459122214486656,0.49193196464116423,47.241134654853035,0.95,1.0,0.31,0.28,0.23002170361381521,0.24188374683216218,1
2,0.5461583478811439,0.5611491364555122,0.014990788574368308,0.5611491364555122,0.5718446095109716,0.5719631717309087,0.0001185622199371128,0.5719631717309087,0.024309536001273332,0.020251327002064085,0.024309536001273332,0.3204620343410485,0.7520041631907446,0.4796114340008534,47.469634173466574,0.93,0.94,0.25,0.26,0.2449065057440082,0.24446447448574696,2
3,0.6103918344468703,0.5993208529888154,0.011070981458054852,0.6103918344468703,0.6097957549703075,0.6195009257871662,0.009705170816858733,0.6195009257871662,0.008599320371126292,0.014192176069065185,0.014192176069065185,0.2580721496636377,0.6497108798193918,0.4303495526052998,43.08026031713295,0.79,0.94,0.22,0.29,0.20345566968063236,0.22968193847517418,3
4,0.5607987361346135,0.5920922036952047,0.03129346756059115,0.5920922036952047,0.6006006689594066,0.5978493878561691,0.002751281103237413,0.6006006689594066,0.03305524499321043,0.011701953470369572,0.03305524499321043,0.3787208833055214,0.8255814320724768,0.5036686812627836,49.15466036436509,0.97,0.92,0.27,0.26,0.26189367393806473,0.22950496967876852,4
5,0.6425106169829532,0.5898127478250287,0.052697869157924515,0.6425106169829532,0.6285023666288069,0.6014018089118645,0.02710055771694242,0.6285023666288069,0.006280874442994481,0.009404628163519134,0.009404628163519134,0.26245970890795606,0.6390917569600594,0.41600100438829674,41.429525285731366,0.72,0.93,0.2,0.28,0.18554247482563804,0.23897752648334566,5
6,0.602442946610076,0.6131657238162629,0.010722777206186862,0.6131657238162629,0.6041513156245082,0.5989210071887426,0.005230308435765552,0.6041513156245082,0.030563998520978224,0.008330165905824218,0.030563998520978224,0.30100624584758834,0.7203707835805252,0.4645154746100751,46.13009915062307,0.96,0.94,0.29,0.27,0.23288129693713602,0.24376447661201836,6
7,0.5692696278460864,0.5942070780384905,0.02493745019240412,0.5942070780384905,0.5797296688854183,0.5811937337174878,0.0014640648320695115,0.5811937337174878,0.017268946447439433,0.015124546540078772,0.017268946447439433,0.2690181381244574,0.6667472640883465,0.43808184668255773,43.7502038560278,0.94,0.81,0.28,0.21,0.23080201882101173,0.2099373300485675,7
8,0.5740189636826767,0.5919562993878065,0.017937335705129787,0.5919562993878065,0.5840844130118453,0.5881367060931668,0.00405229308132149,0.5881367060931668,0.03833528709575926,0.007564806977904487,0.03833528709575926,0.30892194496721853,0.7353352237288793,0.47275157050674355,46.905460663782705,0.89,0.92,0.24,0.28,0.23541073516035282,0.22621140015166402,8
9,0.616039153560097,0.6148076952349457,0.0012314583251512579,0.616039153560097,0.6119038455556653,0.5966312770851382,0.01527256847052716,0.6119038455556653,0.019994920942704376,0.015746058216245976,0.019994920942704376,0.25980381040008305,0.6556454322057828,0.43481219336571214,43.54257839862696,0.84,0.93,0.24,0.28,0.21438417272115956,0.22582659694959756,9
10,0.5980323514201662,0.5398143394490016,0.05821801197116461,0.5980323514201662,0.5986215033313186,0.568121780090245,0.03049972324107353,0.5986215033313186,0.012203383102872773,0.03343793049886116,0.03343793049886116,0.29039319776935757,0.7392691748378726,0.4924349567339186,49.37635747753665,0.96,1.13,0.29,0.32,0.2366408633444329,0.2709409467297402,10
11,0.6092469581260684,0.5898356924708739,0.019411265655194576,0.6092469581260684,0.6036106272929903,0.6041939583278259,0.0005833310348355436,0.6041939583278259,0.011310447942869287,0.009789741500309937,0.011310447942869287,0.32607303102240764,0.7234486490636508,0.4462865726946043,43.71131798453675,0.8,0.95,0.22,0.28,0.20654181321714715,0.24902953069091877,11
12,0.5801254886426211,0.5806208406652956,0.0004953520226744779,0.5806208406652956,0.5911454727609745,0.586718123207746,0.004427349553228543,0.5911454727609745,0.010062094286135737,0.02131876118548517,0.02131876118548517,0.3069673745453485,0.7007952851875796,0.4398730168240334,43.32107017064543,0.95,0.96,0.3,0.29,0.22341897661786217,0.229229191535678,12
13,0.5810838959282627,0.5556831131595626,0.02540078276870006,0.5810838959282627,0.5884186017736421,0.5951904976407694,0.006771895867127231,0.5951904976407694,0.02453493940160533,0.04208058226794177,0.04208058226794177,0.3183703527097901,0.7522697187952041,0.4816549189918825,47.72893026939554,0.88,0.93,0.24,0.26,0.23491025730026588,0.23695834358433104,13
14,0.5910362419753133,0.5940973633792869,0.0030611214039735213,0.5940973633792869,0.5891169668501416,0.5768642692071453,0.012252697642996302,0.5891169668501416,0.022283599087655658,0.019870872016042374,0.022283599087655658,0.27773755519491955,0.6907272800483315,0.45465035813264987,45.42886973387534,0.81,0.93,0.22,0.26,0.20759294330043548,0.24015539751492074,14
15,0.5755843274807838,0.5941255037544816,0.01854117627369778,0.5941255037544816,0.5845624455856151,0.594342307309814,0.009779861724198868,0.594342307309814,0.01536109730662025,0.023232296364695343,0.023232296364695343,0.26032754484927295,0.6824757329091545,0.4611973197872725,46.43630068658695,0.94,0.97,0.28,0.29,0.21758906475034795,0.24396681790639785,15
16,0.6179020731964339,0.6099303771514194,0.007971696045014465,0.6179020731964339,0.613190176330153,0.6047589878684925,0.008431188461660577,0.613190176330153,0.011353635379654956,0.009122777476754827,0.011353635379654956,0.23426930151455072,0.6310703548171027,0.4319414485297346,43.64811586328074,0.86,0.95,0.26,0.26,0.20276904797195053,0.2536499902623321,16
17,0.6275498866210254,0.6204394763258795,0.007110410295145919,0.6275498866210254,0.6122371009659581,0.6182057822679691,0.005968681302011003,0.6182057822679691,0.008410430033955854,0.016913192759242267,0.016913192759242267,0.25453486277226106,0.6331372000711477,0.4167825667147258,41.64625710287752,0.94,0.79,0.29,0.22,0.2345920689930979,0.1982513778425847,17
18,0.5982364406138235,0.596868024180798,0.0013684164330255433,0.5982364406138235,0.6034247085270799,0.6027916398942791,0.0006330686328007706,0.6034247085270799,0.02270255014145903,0.008321664386337775,0.02270255014145903,0.3078621401480175,0.7171219615749695,0.4554391424491547,45.01858035696471,0.91,0.96,0.25,0.28,0.24324529644479204,0.2502293984122606,18
19,0.5813341421579331,0.6144398713183051,0.03310572916037202,0.6144398713183051,0.6030994406668401,0.5925383749759865,0.010561065690853577,0.6030994406668401,0.031044061368204045,0.009025090323528072,0.031044061368204045,0.3806844602911823,0.792362929048439,0.468781137800934,45.28463156329823,0.96,0.84,0.3,0.22,0.22960299959893007,0.22489128887252158,19
20,0.6040026655591194,0.6183225062173403,0.014319840658220895,0.6183225062173403,0.602411542946411,0.5945545258588112,0.007857017087599782,0.602411542946411,0.013637562687627327,0.009478414950283329,0.013637562687627327,0.27990190171887436,0.690436184630856,0.45251956816981276,45.15877112031799,0.96,0.83,0.27,0.21,0.25061162433371864,0.21731816898063697,20
21,0.6154045430528459,0.6105442770828705,0.0048602659699753525,0.6154045430528459,0.6105203079205817,0.6144309605310824,0.00391065261050072,0.6144309605310824,0.006379470843886923,0.02234503931243545,0.02234503931243545,0.24936679601540657,0.6713054591230391,0.4593436825099435,46.41325294183956,0.82,0.99,0.23,0.28,0.21863735250227587,0.272184514721799,21
22,0.5961852621258106,0.543578082628941,0.05260717949686955,0.5961852621258106,0.6020599640256046,0.5854417495062109,0.016618214519393715,0.6020599640256046,0.010590593374960908,0.03588443847524074,0.03588443847524074,0.35911394278436937,0.8160843456348519,0.510837494268138,50.26674431355308,0.97,0.93,0.27,0.24,0.2613748595449737,0.24929696370595147,22
23,0.5968285792477889,0.5610731846554687,0.03575539459232013,0.5968285792477889,0.5987127528589202,0.5832621513081303,0.015450601550789922,0.5987127528589202,0.016875959801287737,0.0373902102458956,0.0373902102458956,0.33080986508195104,0.7778283789230751,0.4966399936034167,49.17203652252363,0.88,0.99,0.25,0.28,0.22947923044773852,0.2502936209610408,23
24,0.5971830536199243,0.6012315520066845,0.004048498386760246,0.6012315520066845,0.633825713465965,0.5841414933893323,0.049684220076632646,0.633825713465965,0.030410006030629107,0.010781881481241354,0.030410006030629107,0.2447296312847767,0.6556779786853946,0.44765779209333434,45.20431821406796,0.94,0.82,0.28,0.22,0.24807765455674782,0.21571727889759254,24
25,0.5684281835226063,0.5665650700632421,0.0018631134593641852,0.5684281835226063,0.5895303751256987,0.6011915617624165,0.01166118663671778,0.6011915617624165,0.01387248073814872,0.02954854208408591,0.02954854208408591,0.3643267738625411,0.8375271346688613,0.5278493768857013,52.05203968869521,0.99,0.95,0.29,0.26,0.24385812365956686,0.25588729916600783,25
26,0.5808177714741881,0.5851770920241512,0.0043593205499631305,0.5851770920241512,0.5935967596755543,0.6066154008677401,0.013018641192185876,0.6066154008677401,0.02740451780566328,0.01682375191978471,0.02740451780566328,0.39287787606244395,0.8130034986792531,0.4790573040261758,46.21381848784903,0.89,0.97,0.25,0.28,0.21651733826326502,0.25673933422736883,26
27,0.5960648691196692,0.5906104988254262,0.005454370294243005,0.5960648691196692,0.6196596582628735,0.6020042163018766,0.017655441960996887,0.6196596582628735,0.01984093349789164,0.01412213508594978,0.01984093349789164,0.2707344385815114,0.724276531939037,0.49415225914475225,49.88963026932782,0.95,0.95,0.26,0.26,0.25049256199391745,0.2654225780161248,27
28,0.5976881973905379,0.5631774086286879,0.034510788761849986,0.5976881973905379,0.6034772262368442,0.5822315123055147,0.021245713931329457,0.6034772262368442,0.02152776500181016,0.019538001154631564,0.02152776500181016,0.2697811296651879,0.6921196288296434,0.46280566861423367,46.4572349080901,0.94,0.97,0.29,0.27,0.2235132422757558,0.25439706067726536,28
29,0.5966909054285078,0.6236049950836585,0.02691408965515074,0.6236049950836585,0.6116004858836749,0.6175089165608142,0.005908430677139309,0.6175089165608142,0.013690393220459137,0.016450078688217868,0.016450078688217868,0.2941815060401022,0.7048522605657246,0.4547979804316377,45.17378299781846,0.95,0.82,0.29,0.21,0.22717089349522995,0.21552484224819216,29
30,0.5892300993271226,0.5948175780406303,0.005587478713507732,0.5948175780406303,0.5949152826691962,0.6087600253992926,0.013844742730096393,0.6087600253992926,0.015332070024891634,0.030104955919226975,0.030104955919226975,0.2828887818858775,0.6909522145025263,0.4504967498995304,44.886977587831346,0.92,0.83,0.27,0.24,0.23135710718166272,0.21271529629614547,30
31,0.5962450559088022,0.6051842219503071,0.008939166041504909,0.6051842219503071,0.6103506584883609,0.5978107936483692,0.012539864839991699,0.6103506584883609,0.017268301898276626,0.012712576616234943,0.017268301898276626,0.27026099741124726,0.6906806907242187,0.4609588429246585,46.246166264426854,0.9,0.95,0.26,0.27,0.22880099983328386,0.25152208203613263,31
