,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2,p1,p2,seed
0,0.6100152582676033,0.582531556544473,0.027483701723130305,0.6100152582676033,0.6598680720668666,0.6318745902105575,0.02799348185630912,0.6598680720668666,0.02246583180962259,0.02013545512949883,0.02246583180962259,1.0660131175178524,1.8945775312007416,0.988466381310567,91.14208550511783,0.1,0.15,0.49047295822860076,0.4364183032358139,0
1,0.6096566253020845,0.6155379960718671,0.005881370769782568,0.6155379960718671,0.6527835666108814,0.6472140126836805,0.005569553927200932,0.6527835666108814,0.017600285008739176,0.020381345423104266,0.020381345423104266,1.0997169747439017,1.9645587140354492,1.0297992855031328,95.13259132207025,0.1,0.1,0.49376469493021063,0.48996323109930007,1
2,0.5596184834206902,0.5976525105433431,0.038034027122652914,0.5976525105433431,0.5986175545160273,0.611017194808353,0.012399640292325764,0.611017194808353,0.027495426968351288,0.015162575355403076,0.027495426968351288,1.0551789660638393,1.6744096524484977,0.7775075312942343,68.11537550231242,0.1,0.3,0.46152259107000526,0.27881446450260533,2
3,0.5924937125633083,0.606236195255508,0.013742482692199687,0.606236195255508,0.626657006414628,0.6326831274154349,0.0060261210008069055,0.6326831274154349,0.006852269993304178,0.015833786645713752,0.015833786645713752,0.9648203553674953,1.6307121277523222,0.8106148256899512,73.24809496233094,0.15,0.2,0.42137173991728594,0.3743859892166408,3
4,0.6054048690595181,0.605346100388725,5.876867079301906e-05,0.6054048690595181,0.6474265454273291,0.6463790156677384,0.0010475297595907707,0.6474265454273291,0.016065909757926496,0.026056962458505365,0.026056962458505365,1.0809762515156423,1.9099034387105878,0.9910736249222918,91.18199059144402,0.1,0.1,0.490969584878783,0.48279371141014116,4
5,0.642911609107697,0.6330362197888122,0.009875389318884764,0.642911609107697,0.6424971726376622,0.6420506035963677,0.0004465690412944756,0.6424971726376622,0.006042462125964295,0.009950638331651676,0.009950638331651676,0.6640575547597675,1.3012099410227853,0.7367610194769829,70.08676248893197,0.2,0.2,0.38098498975089345,0.38031277162611765,5
6,0.6149672936539633,0.6044917146614274,0.010475578992535928,0.6149672936539633,0.6451073391439653,0.6509634095967303,0.005856070452764928,0.6509634095967303,0.01419081028131782,0.0210307425611381,0.0210307425611381,0.9392174099974677,1.64904250710962,0.8507077086117724,78.08076068233676,0.15,0.2,0.43315198061943705,0.3824571171276795,6
7,0.6111074733114668,0.6025053907333008,0.00860208257816597,0.6111074733114668,0.634175569348126,0.6177321404682652,0.016443428879860833,0.634175569348126,0.01271865283087863,0.01083513826295469,0.01271865283087863,0.934562938276528,1.6383123707597542,0.8439338732247054,77.41243757315486,0.15,0.15,0.4472924349741002,0.4180115111567349,7
8,0.5737268765333141,0.5878813799342787,0.01415450340096458,0.5878813799342787,0.6135764680777566,0.615562919600064,0.0019864515223074752,0.615562919600064,0.03750208480730824,0.0361393022949976,0.03750208480730824,1.041854916076876,1.780169347656161,0.8945926689908165,81.21458747372138,0.15,0.2,0.4200757665928582,0.3738821896329176,8
9,0.5824749712099636,0.6126154390156998,0.030140467805736204,0.6126154390156998,0.6358361062095207,0.628679222838136,0.007156883371384648,0.6358361062095207,0.02565555717472941,0.015250478808010039,0.02565555717472941,0.9132827155626455,1.632094621670309,0.8558043134420603,79.06930967184297,0.15,0.2,0.43044569067854915,0.37651729758813923,9
10,0.6470965000875425,0.6410635206935329,0.006032979394009597,0.6470965000875425,0.6778667043095206,0.6565763560885626,0.02129034822095799,0.6778667043095206,0.006098641913953007,0.00590355087475446,0.006098641913953007,0.8965709473495295,1.5574728659013146,0.7953875606542146,72.69921104069638,0.1,0.25,0.5029300594451046,0.35452803892932505,10
11,0.5748317344403031,0.5977522618089594,0.02292052736865624,0.5977522618089594,0.5951895590242667,0.6212091335328942,0.026019574508627463,0.6212091335328942,0.034629894528999616,0.025318573460824598,0.034629894528999616,0.9073107359150028,1.5873687694838428,0.8161546439560904,74.8063836925724,0.1,0.25,0.4519134606605524,0.3145889295794373,11
12,0.6107481387603882,0.6220484398321544,0.011300301071766161,0.6220484398321544,0.6264160130621299,0.6313574216390655,0.004941408576935591,0.6313574216390655,0.016489731971333892,0.01603966435668335,0.016489731971333892,0.8091481129657729,1.4224209597533148,0.7346450637324078,67.4600131466296,0.2,0.2,0.3804173767847066,0.385978683314541,12
13,0.5918992715573196,0.5841960772346586,0.007703194322660978,0.5918992715573196,0.6206004125681666,0.6148789985209826,0.005721414047183959,0.6206004125681666,0.012168972124315088,0.022010635440053224,0.022010635440053224,0.8680215135939611,1.5468199413322825,0.8090016547774156,74.66782705121533,0.1,0.2,0.4760578347575857,0.3611055848577669,13
14,0.5772815317294137,0.6127409134474135,0.035459381717999894,0.6127409134474135,0.6209810075360062,0.6179523565113918,0.0030286510246143594,0.6209810075360062,0.03516760134386191,0.02226266845650502,0.03516760134386191,1.0283250647673312,1.6473831549314126,0.7733068498791812,68.09638991804896,0.15,0.25,0.4222321007405616,0.3211246856975082,14
15,0.5913096395810057,0.5837125220686177,0.0075971175123880075,0.5913096395810057,0.6180387786694187,0.6022012873244886,0.015837491344930066,0.6180387786694187,0.01206345181578026,0.016262213605551638,0.016262213605551638,0.7720057714301705,1.4669520539217147,0.8107471482060697,76.44409107406989,0.15,0.15,0.4105629581177835,0.40794608368808755,15
