,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2,p1,p2,seed
0,0.4476501437011494,0.48807416860565794,0.040424024904508526,0.48807416860565794,0.6356008331136631,0.5880622619023795,0.047538571211283576,0.6356008331136631,0.08568961883072937,0.03433545177737661,0.08568961883072937,0.40549101692746226,1.055241400797382,0.7105740364090392,71.47254222569117,1.54,1.36,0.46,0.38,0.386380079763968,0.3387743780508258,0
1,0.5127278241942625,0.46081020509207027,0.05191761910219228,0.5127278241942625,0.6228663125737933,0.5841338349031077,0.03873247767068566,0.6228663125737933,0.0753197965635364,0.05802437162543276,0.0753197965635364,0.38039178090168646,1.0,0.6766669862335665,68.15690410081451,1.39,1.39,0.45,0.38,0.3329836818995391,0.34014883731042445,1
2,0.4906047622941483,0.46207323777121156,0.028531524522936724,0.4906047622941483,0.5764103547648751,0.5853012760193104,0.008890921254435247,0.5853012760193104,0.047698923319059755,0.06361362188584001,0.06361362188584001,0.4580239110783425,1.0356339601800013,0.6463136357634102,63.53710540118246,1.16,1.32,0.31,0.36,0.30878092490690984,0.34550734247471937,2
3,0.5297175651248129,0.5222723892731183,0.007445175851694685,0.5297175651248129,0.5952944095793578,0.6234143682418326,0.028119958662474853,0.6234143682418326,0.03301712277565927,0.04100572363112236,0.04100572363112236,0.3658615826009076,0.9323913169256879,0.6214089717149164,62.31827077572582,1.15,1.32,0.32,0.4,0.2959214705071512,0.3292656954156722,3
4,0.4825178311811893,0.45946113136620725,0.02305669981498204,0.4825178311811893,0.5991734993333926,0.6038489553674077,0.004675456034015091,0.6038489553674077,0.07012541467989862,0.06292759322926442,0.07012541467989862,0.363961233813097,1.0079753794192892,0.6986083306781568,70.84155601668117,1.28,1.45,0.36,0.4,0.33810126214331415,0.3588993826759566,4
5,0.52532350850895,0.4894467422306207,0.035876766278329364,0.52532350850895,0.5833929773719508,0.6195704461213967,0.03617746874944583,0.6195704461213967,0.04090083867389166,0.04035454646849285,0.04090083867389166,0.41999612765124317,1.0515397872328462,0.6945430787292896,69.46980255397634,1.25,1.45,0.34,0.43,0.31834110649643876,0.3724334704311648,5
6,0.49546390322838313,0.5968854399928257,0.1014215367644426,0.5968854399928257,0.6093188796225145,0.6046392403094608,0.004679639313053707,0.6093188796225145,0.08412115696646066,0.012096287172001105,0.08412115696646066,0.42581782693535863,0.978640129993801,0.6166949770987462,60.810453336428694,1.41,1.07,0.42,0.31,0.3430540977538371,0.2795761011118585,6
7,0.4517607591689777,0.45347140045501816,0.0017106412860404818,0.45347140045501816,0.6000464825587637,0.564084445889692,0.03596203666907172,0.6000464825587637,0.06646481959071056,0.07618646744370175,0.07618646744370175,0.38381606619629405,1.0365434243298846,0.7102997680630346,71.80000939469495,1.45,1.38,0.43,0.35,0.35102432442929865,0.35429993688409006,7
8,0.4072051683993433,0.49516916766357943,0.08796399926423615,0.49516916766357943,0.6039336964961215,0.6056947484478288,0.001761051951707282,0.6056947484478288,0.13379644472248264,0.03936413635635548,0.13379644472248264,0.3404084709168327,1.0408393325971323,0.7514921323178245,77.047394784833,1.52,1.43,0.41,0.43,0.3973818901260454,0.3553839224055501,8
9,0.5309003502583358,0.5121215013779538,0.01877884888038206,0.5309003502583358,0.6001192792948697,0.6132147864005527,0.013095507105682969,0.6132147864005527,0.05449474355558207,0.054886979346390294,0.054886979346390294,0.3985667160204044,0.9941312010733184,0.6553494924559747,65.51209335582054,1.24,1.46,0.36,0.44,0.3110343937176346,0.3507584683876826,9
