Loss,Payout,Set
231.60298,50.559296,Train
195.99583,0.0,Train
233.95634,49.48195,Train
194.24376,0.0,Train
337.2736,101.764,Train
256.63998,61.489014,Train
323.07404,100.46598,Train
214.78204,0.0,Train
237.48166,31.862732,Train
269.5245,85.19698,Train
326.8132,100.04912,Train
170.059,0.0,Train
226.87245,50.05205,Train
227.75356,35.7472,Train
214.7023,44.24684,Train
251.80275,70.18823,Train
254.17377,65.89439,Train
237.96075,6.430214,Train
242.81538,74.90614,Train
245.7276,51.09962,Train
257.78516,66.99226,Train
227.91039,18.5397,Train
205.10326,0.52864414,Train
219.19194,39.700882,Train
155.0823,0.0,Train
171.18106,7.3029146,Train
257.34747,33.28354,Train
245.58151,80.922844,Train
227.38919,37.47881,Train
162.16656,0.0070363106,Train
140.20988,0.87382853,Train
150.52629,0.0,Train
167.91034,0.13644852,Train
370.88138,97.455666,Train
150.84529,0.0,Train
270.13522,66.61354,Train
175.99281,11.263301,Train
208.41092,35.025326,Train
236.97144,87.03759,Train
290.7954,96.02809,Train
123.55889,24.002213,Train
201.39,54.892883,Train
313.89093,91.892975,Train
196.4742,37.573757,Train
296.08984,80.93599,Train
132.95035,0.6344805,Train
195.18782,22.60467,Train
184.56894,0.0,Train
210.66986,26.639624,Train
226.12737,97.55696,Train
258.73215,103.55444,Train
238.94621,96.68891,Train
222.244,97.84595,Train
278.15555,101.82228,Train
245.02522,99.47122,Train
268.00418,99.8022,Train
239.59662,96.87053,Train
249.26942,97.71434,Train
224.2318,101.34013,Train
272.48434,103.22872,Train
237.27452,97.218094,Train
258.17395,101.20748,Train
275.68268,101.45713,Train
261.80066,106.04491,Train
276.36444,97.676186,Train
277.3653,99.20099,Train
257.02963,100.833115,Train
285.80322,101.329636,Train
238.67824,100.05627,Train
257.27963,102.62285,Train
223.49033,97.601776,Train
235.31027,99.62765,Train
234.77797,98.97432,Train
187.54904,92.69939,Train
221.0246,92.01657,Train
202.10944,99.55775,Train
347.80353,104.093704,Train
190.79004,103.914,Train
176.15575,93.69655,Train
197.82736,98.64003,Train
236.76978,101.59966,Train
195.32146,86.47712,Train
238.75261,103.0261,Train
143.71889,82.82941,Train
312.92618,103.04685,Train
111.242744,98.68641,Train
226.20367,91.59261,Train
266.34805,98.382034,Train
269.9646,100.51045,Train
201.93678,100.47818,Train
158.51823,97.49082,Train
220.43672,94.490486,Train
210.60352,92.28111,Train
150.72057,100.03522,Train
299.78204,98.896126,Train
209.22107,101.82979,Train
345.76987,98.43199,Train
266.87744,74.24334,Train
255.15965,46.23534,Train
268.02008,86.12926,Train
244.07072,51.56895,Train
308.99564,97.16988,Train
283.8254,97.74681,Train
